,Player,KM
229,Jeremiah Robinson-Earl,12
236,Joe Ingles,1
321,Luka Garza,1
473,Ty Jerome,1
25,Anthony Lamb,1
91,Daniel Theis,1
262,Joshua Primo,12
299,Kevon Looney,13
30,Ben Simmons,12
139,Dwight Powell,14
494,Will Barton,1
112,Delon Wright,1
356,Mo Bamba,12
144,Evan Fournier,1
42,Brandon Boston Jr.,1
271,Justise Winslow,12
175,Isaiah Jackson,14
188,JaMychal Green,14
99,David Roddy,1
284,Kendrick Nunn,1
6,Aaron Wiggins,1
173,Isaac Okoro,1
138,Duncan Robinson,1
94,Dario Saric,14
449,Terence Davis,1
234,Jock Landale,14
372,Nickeil Alexander-Walker,1
162,Goran Dragic,1
496,Xavier Tillman Sr.,14
177,Isaiah Livers,1
394,Patrick Beverley,14
380,Obi Toppin,1
365,Nassir Little,1
465,Trendon Watford,14
497,Yuta Watanabe,1
17,Andre Drummond,12
425,Sam Hauser,1
143,Eugene Omoruyi,1
82,Cory Joseph,1
353,Mike Muscala,14
396,Patty Mills,1
373,Nicolas Batum,14
135,Drew Eubanks,14
345,Maxi Kleber,14
403,R.J. Hampton,1
381,Ochai Agbaji,1
220,Javonte Green,14
437,Stanley Johnson,14
224,Jaylin Williams,14
492,Wenyen Gabriel,14
248,Jordan Goodwin,14
384,Oshae Brissett,14
64,Charles Bassey,14
410,Robert Covington,14
126,Dewayne Dedmon,14
119,Derrick Rose,1
11,Alex Caruso,14
100,Davion Mitchell,1
409,Ricky Rubio,1
386,Ousmane Dieng,14
455,Theo Maledon,1
358,Montrezl Harrell,14
385,Otto Porter Jr.,1
311,Lamar Stevens,14
221,Jaxson Hayes,14
241,John Konchar,14
375,Nikola Jovic,1
488,Vlatko Cancar,1
413,Rodney McGruder,9
255,Josh Christopher,9
423,Saben Lee,1
95,Darius Bazley,14
331,MarJon Beauchamp,9
203,Jalen Johnson,14
501,Ziaire Williams,9
34,Blake Wesley,1
158,George Hill,1
27,Austin Rivers,9
500,Zeke Nnaji,9
317,Lindy Waters III,9
435,Simone Fontecchio,9
295,Kevin Knox,9
417,Rudy Gay,14
77,Cody Martin,14
245,Jonathan Isaac,14
66,Chimezie Metu,14
303,Kira Lewis Jr.,9
118,Derrick Jones Jr.,9
174,Isaiah Hartenstein,14
107,DeAndre Jordan,14
399,Payton Pritchard,9
74,Chuma Okeke,14
170,Haywood Highsmith,14
109,Dean Wade,14
269,Justin Holiday,9
324,Malachi Flynn,9
474,TyTy Washington Jr.,9
154,Garrison Mathews,9
393,Patrick Baldwin Jr.,9
361,Moses Moody,9
33,Blake Griffin,14
85,Dalano Banton,9
453,Thaddeus Young,14
208,Jamal Cain,9
218,Jarrett Culver,14
84,Daishen Nix,9
0,A.J. Green,9
71,Christian Braun,9
183,Ish Wainright,9
93,Danuel House Jr.,9
210,James Bouknight,9
101,Davis Bertans,9
136,Dru Smith,9
7,Admiral Schofield,9
430,Serge Ibaka,9
103,Day'Ron Sharpe,14
179,Isaiah Roby,9
140,Dyson Daniels,14
189,JaVale McGee,9
156,Gary Payton II,9
291,Keon Johnson,9
4,Aaron Holiday,9
383,Orlando Robinson,14
55,Caleb Houstan,9
48,Bruno Fernando,14
151,Furkan Korkmaz,9
341,Matt Ryan,9
340,Matisse Thybulle,9
96,Darius Days,9
366,Nathan Knight,9
161,Goga Bitadze,9
323,Luke Kornet,9
16,Amir Coffey,9
49,Bryce McGowens,9
250,Jordan McLaughlin,9
50,Bryn Forbes,9
346,McKinley Wright IV,9
354,Miles McBride,9
231,Jericho Sims,14
387,P.J. Tucker,14
298,Kevon Harris,9
98,David Duke Jr.,9
426,Sandro Mamukelashvili,9
398,Paul Reed,9
129,Dominick Barlow,9
343,Max Christie,9
35,Boban Marjanovic,9
493,Wesley Matthews,9
336,Markieff Morris,9
444,Taj Gibson,9
72,Christian Koloko,9
483,Usman Garuba,14
408,Richaun Holmes,9
219,Jason Preston,9
24,Anthony Gill,9
92,Danny Green,4
249,Jordan Hall,9
198,Jake LaRavia,9
164,Gorgui Dieng,9
259,Josh Minott,9
467,Trevelin Queen,9
405,Raul Neto,4
362,Moussa Diabate,9
265,Juancho Hernangomez,9
87,Damian Jones,9
51,Buddy Boeheim,4
274,Kai Jones,9
466,Trent Forrest,9
441,Svi Mykhailiuk,4
186,JT Thor,9
191,Jabari Walker,9
412,Robin Lopez,4
1,A.J. Lawson,4
452,Terry Taylor,4
264,Juan Toscano-Anderson,9
182,Ish Smith,4
214,Jared Rhoden,4
212,James Johnson,4
226,Jeff Dowtin,4
286,Kenneth Lofton Jr.,4
147,Frank Kaminsky,4
429,Scotty Pippen Jr.,4
148,Frank Ntilikina,4
285,Kennedy Chandler,4
102,Davon Reed,4
300,Khem Birch,4
196,Jaden Springer,4
18,Andre Iguodala,9
153,Garrett Temple,4
369,Nerlens Noel,9
292,Kessler Edwards,4
422,Ryan Rollins,4
290,Keon Ellis,4
468,Trevor Hudgins,4
243,Johnny Davis,4
456,Theo Pinson,4
86,Dalen Terry,4
13,Alize Johnson,4
167,Greg Brown III,4
460,Tony Bradley,4
400,Peyton Watson,4
62,Carlik Jones,4
283,Kendall Brown,4
491,Wendell Moore Jr.,4
342,Matthew Dellavedova,4
273,KZ Okpala,4
146,Facundo Campazzo,4
487,Vit Krejci,4
192,Jack White,4
478,Tyrese Martin,4
377,Noah Vonleh,4
270,Justin Jackson,4
12,Alex Len,4
454,Thanasis Antetokounmpo,4
482,Udonis Haslem,4
