Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
137,Quentin Grimes,SG,22,NYK,3,3,62,2,11,.182,1,9,.111,1,2,.500,.227,6,7,.857,2,8,10,3,3,2,2,5,11,grimequ01
138,Malik Beasley,SG,26,LAL,4,0,45,3,12,.250,2,9,.222,1,3,.333,.333,2,2,1.000,1,2,3,0,0,0,1,4,10,beaslma01
139,Austin Rivers,SG,30,MIN,4,0,46,4,8,.500,2,6,.333,2,2,1.000,.625,0,0,,1,4,5,1,1,0,1,1,10,riverau01
140,Haywood Highsmith,SF,26,MIA,3,0,30,3,7,.429,1,4,.250,2,3,.667,.500,2,2,1.000,1,5,6,1,3,1,0,2,9,highsha01
141,Damion Lee,SG,30,PHO,4,0,35,2,6,.333,2,6,.333,0,0,,.500,2,2,1.000,0,2,2,1,1,0,1,7,8,leeda03
142,Robin Lopez,C,34,CLE,2,0,6,3,3,1.000,0,0,,3,3,1.000,1.000,2,2,1.000,1,0,1,0,0,0,1,2,8,lopezro01
143,Jae Crowder,SF,32,MIL,3,0,41,3,13,.231,0,6,.000,3,7,.429,.231,1,2,.500,1,3,4,3,2,0,1,5,7,crowdja01
144,Joe Harris,SG,31,BRK,4,0,44,2,13,.154,1,12,.083,1,1,1.000,.192,2,2,1.000,0,5,5,0,2,0,3,5,7,harrijo01
145,Landry Shamet,SG,25,PHO,5,0,55,3,14,.214,1,7,.143,2,7,.286,.250,0,0,,1,3,4,3,2,0,0,2,7,shamela01
146,Wesley Matthews,SG,36,MIL,1,0,18,2,4,.500,2,4,.500,0,0,,.750,0,0,,1,2,3,1,1,1,0,2,6,matthwe02
147,Day'Ron Sharpe,C,21,BRK,2,0,20,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,2,4,6,5,0,1,2,3,6,sharpda01
148,Cam Thomas,SG,21,BRK,2,0,16,3,7,.429,0,2,.000,3,5,.600,.429,0,0,,0,1,1,1,0,0,1,2,6,thomaca02
149,Cody Zeller,C,30,MIA,3,0,27,3,4,.750,0,0,,3,4,.750,.750,0,2,.000,1,9,10,3,1,0,2,2,6,zelleco01
150,MarJon Beauchamp,SF,22,MIL,2,0,5,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,0,0,0,0,0,5,beaucma01
151,Jevon Carter,PG,27,MIL,4,0,49,2,9,.222,1,7,.143,1,2,.500,.278,0,0,,0,4,4,4,1,0,0,1,5,carteje01
152,DeAndre Jordan,C,34,DEN,3,0,10,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,0,4,4,1,0,0,2,2,5,jordade01
153,Zeke Nnaji,PF,22,DEN,1,0,4,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,1,1,0,1,0,1,0,5,nnajize01
154,Goran Dragić,PG,36,MIL,2,0,7,0,2,.000,0,1,.000,0,1,.000,.000,4,4,1.000,0,0,0,1,0,0,0,0,4,dragigo01
155,Jock Landale,C,27,PHO,1,0,8,1,3,.333,0,0,,1,3,.333,.333,2,4,.500,2,0,2,1,0,1,0,1,4,landajo01
156,Shake Milton,SG,26,PHI,2,0,7,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,2,2,0,1,0,0,3,4,miltosh01
157,Terence Davis,SG,25,SAC,2,0,13,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,4,4,1,0,0,1,2,3,daviste02
158,PJ Dozier,SG,26,SAC,1,0,3,1,2,.500,1,2,.500,0,0,,.750,0,0,,1,1,2,0,0,0,0,0,3,doziepj01
159,Danny Green,SG,35,CLE,3,0,35,1,5,.200,1,4,.250,0,1,.000,.300,0,0,,2,4,6,1,2,1,1,5,3,greenda02
160,Miles McBride,PG,22,NYK,3,0,11,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,2,2,0,0,0,0,0,3,mcbrimi01
161,Yuta Watanabe,SF,28,BRK,1,0,5,1,2,.500,1,2,.500,0,0,,.750,0,2,.000,0,1,1,0,0,0,1,0,3,watanyu01
162,David Duke Jr.,SG,23,BRK,1,0,5,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,0,0,0,0,0,1,1,2,dukeda01
163,Nathan Knight,PF,25,MIN,2,0,5,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,1,0,1,0,0,0,1,0,2,knighna01
164,John Konchar,SG,26,MEM,3,0,24,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,2,4,6,3,2,2,0,3,2,konchjo01
165,Lamar Stevens,PF,25,CLE,1,0,4,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,3,3,0,0,0,0,0,2,stevela01
166,Dean Wade,PF,26,CLE,2,0,11,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,3,3,0,0,0,0,0,2,wadede01
167,Chimezie Metu,C,25,SAC,1,0,3,0,0,,0,0,,0,0,,,1,1,1.000,0,0,0,0,0,0,1,0,1,metuch01
168,Raul Neto,PG,30,CLE,2,0,7,0,1,.000,0,1,.000,0,0,,.000,1,2,.500,0,0,0,1,0,0,2,2,1,netora01
169,Thanasis Antetokounmpo,SF,30,MIL,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,antetth01
170,Patrick Baldwin Jr.,SF,20,GSW,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,baldwpa01
171,Mo Bamba,C,24,LAL,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bambamo01
172,Brandon Boston Jr.,SG,21,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,bostobr01
173,Vlatko Čančar,PF,25,DEN,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0,cancavl01
174,Max Christie,SG,19,LAL,2,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,chrisma02
175,Amir Coffey,SG,25,LAC,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,coffeam01
176,Robert Covington,PF,32,LAC,2,0,12,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,2,2,2,0,1,0,2,0,covinro01
177,Kessler Edwards,SF,22,SAC,3,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,edwarke02
