player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
A.J. Green,1,2023-10-29,24-032,MIL,1,ATL,-17,0,5.616666666666667,2,2,1.000,2,2,1.000,1,1,1.000,0,1,1,0,0,0,0,0,7,6.7,+10,SG,2024,15
A.J. Green,2,2023-10-30,24-033,MIL,1,MIA,8,0,15.35,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,0,3,0,-2.6,+8,SG,2024,15
A.J. Green,3,2023-11-01,24-035,MIL,0,TOR,-19,0,5.516666666666667,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,+6,SG,2024,15
A.J. Green,4,2023-11-11,24-045,MIL,0,ORL,-15,0,9.483333333333333,1,3,.333,1,3,.333,0,0,,0,2,2,3,0,0,0,0,3,4.0,+5,SG,2024,15
A.J. Green,5,2023-11-15,24-049,MIL,0,TOR,16,0,7.25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-20,SG,2024,15
A.J. Green,6,2023-11-17,24-051,MIL,0,CHA,31,0,2.6666666666666665,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6,5.0,+11,SG,2024,15
A.J. Green,7,2023-11-18,24-052,MIL,1,DAL,7,0,11.15,3,5,.600,2,4,.500,0,0,,0,0,0,1,0,0,0,1,8,6.0,+7,SG,2024,15
A.J. Green,8,2023-11-20,24-054,MIL,0,WAS,13,0,14.516666666666667,1,4,.250,0,3,.000,0,0,,0,2,2,1,0,0,0,1,2,0.5,-9,SG,2024,15
A.J. Green,9,2023-11-24,24-058,MIL,1,WAS,3,0,3.6666666666666665,1,4,.250,1,4,.250,0,0,,0,0,0,0,0,0,0,0,3,0.6,-2,SG,2024,15
A.J. Green,10,2023-11-26,24-060,MIL,1,POR,6,0,3.9,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,-9,SG,2024,15
A.J. Green,11,2023-11-28,24-062,MIL,0,MIA,7,0,2.3666666666666667,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2,SG,2024,15
A.J. Green,12,2023-12-02,24-066,MIL,1,ATL,11,0,8.633333333333333,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,+9,SG,2024,15
A.J. Green,13,2023-12-05,24-069,MIL,1,NYK,24,0,15.183333333333334,3,4,.750,3,4,.750,0,0,,0,0,0,1,0,0,0,0,9,8.1,+8,SG,2024,15
A.J. Green,14,2023-12-07,24-071,MIL,1,IND,-9,0,4.216666666666667,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,SG,2024,15
A.J. Green,15,2023-12-11,24-075,MIL,1,CHI,4,0,13.616666666666667,4,6,.667,4,5,.800,0,0,,0,5,5,3,0,0,0,1,12,12.6,0,SG,2024,15
A.J. Lawson,1,2023-12-01,23-139,DAL,1,MEM,-14,0,4.3,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,+4,SG,2024,15
A.J. Lawson,2,2023-12-02,23-140,DAL,1,OKC,-6,0,18.866666666666667,4,10,.400,3,7,.429,1,2,.500,0,0,0,2,0,1,0,1,12,7.9,+9,SG,2024,15
A.J. Lawson,3,2023-12-06,23-144,DAL,1,UTA,50,0,6.65,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1,+7,SG,2024,15
A.J. Lawson,4,2023-12-08,23-146,DAL,0,POR,13,0,6.616666666666667,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,0.2,-4,SG,2024,15
A.J. Lawson,5,2023-12-11,23-149,DAL,0,MEM,7,0,13.633333333333333,2,7,.286,0,4,.000,0,0,,1,0,1,1,0,0,1,0,4,0.3,+1,SG,2024,15
AJ Griffin,1,2023-10-25,20-061,ATL,0,CHA,-6,0,9.6,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,0.2,+2,SF,2024,15
AJ Griffin,2,2023-10-27,20-063,ATL,1,NYK,-6,0,8.216666666666667,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,0,6,4.6,-4,SF,2024,15
AJ Griffin,3,2023-10-29,20-065,ATL,0,MIL,17,0,9.5,2,3,.667,2,2,1.000,0,0,,1,0,1,1,1,0,1,0,6,6.1,-7,SF,2024,15
AJ Griffin,4,2023-10-30,20-066,ATL,1,MIN,14,0,6.2,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,3.4,-8,SF,2024,15
AJ Griffin,5,2023-11-01,20-068,ATL,1,WAS,9,0,11.7,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-14,SF,2024,15
AJ Griffin,6,2023-11-09,20-076,ATL,0,ORL,1,0,10.25,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,2,1,2,-1.4,-11,SF,2024,15
AJ Griffin,7,2023-11-14,20-081,ATL,0,DET,6,0,8.216666666666667,1,3,.333,1,3,.333,2,2,1.000,0,0,0,0,0,0,0,2,5,2.5,+1,SF,2024,15
AJ Griffin,8,2023-11-22,20-089,ATL,1,BKN,2,0,3.283333333333333,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+10,SF,2024,15
AJ Griffin,9,2023-11-25,20-092,ATL,0,WAS,28,0,6.166666666666667,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,4.7,-4,SF,2024,15
AJ Griffin,10,2023-11-26,20-093,ATL,0,BOS,-10,0,12.433333333333334,0,5,.000,0,3,.000,0,0,,0,4,4,1,0,0,0,0,0,-1.6,+7,SF,2024,15
AJ Griffin,11,2023-11-28,20-095,ATL,0,CLE,-23,0,15.333333333333334,0,8,.000,0,4,.000,0,0,,1,0,1,0,0,0,0,1,0,-5.3,-2,SF,2024,15
AJ Griffin,12,2023-12-11,20-108,ATL,1,DEN,-7,0,9.033333333333333,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,0.2,+1,SF,2024,15
Aaron Gordon,1,2023-10-24,28-038,DEN,1,LAL,12,1,34.983333333333334,7,11,.636,1,2,.500,0,0,,2,5,7,5,2,1,0,0,15,19.2,+6,PF,2024,15
Aaron Gordon,2,2023-10-27,28-041,DEN,0,MEM,4,1,30.333333333333332,5,11,.455,0,1,.000,0,1,.000,1,1,2,3,3,1,1,3,10,8.5,+8,PF,2024,15
Aaron Gordon,3,2023-10-29,28-043,DEN,0,OKC,33,1,23.083333333333332,4,7,.571,0,1,.000,1,3,.333,1,2,3,2,1,3,1,1,9,9.3,+22,PF,2024,15
Aaron Gordon,4,2023-10-30,28-044,DEN,1,UTA,8,1,33.2,10,12,.833,0,0,,1,4,.250,3,4,7,2,0,0,3,2,21,16.3,+8,PF,2024,15
Aaron Gordon,5,2023-11-01,28-046,DEN,0,MIN,-21,1,18.45,2,3,.667,0,1,.000,0,0,,1,1,2,2,0,1,2,4,4,2.2,-13,PF,2024,15
Aaron Gordon,6,2023-11-03,28-048,DEN,1,DAL,11,1,35.233333333333334,8,17,.471,2,6,.333,0,0,,2,6,8,6,2,1,4,2,18,14.6,+22,PF,2024,15
