player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Precious Achiuwa,1,2020-12-23,21-095,MIA,0,ORL,-6,0,13.65,3,4,.750,0,0,,2,4,.500,1,2,3,0,0,0,0,2,8,6.1,+6,PF,2021,15
Precious Achiuwa,2,2020-12-25,21-097,MIA,1,NOP,13,0,19.466666666666665,5,7,.714,0,0,,1,2,.500,1,2,3,2,0,1,1,6,11,7.7,+4,PF,2021,15
Precious Achiuwa,3,2020-12-29,21-101,MIA,1,MIL,-47,0,17.633333333333333,5,8,.625,0,0,,0,2,.000,0,4,4,0,1,0,2,3,10,4.6,-15,PF,2021,15
Precious Achiuwa,4,2020-12-30,21-102,MIA,1,MIL,11,0,12.016666666666667,0,2,.000,0,0,,0,0,,3,2,5,0,0,1,3,2,0,-1.8,-2,PF,2021,15
Precious Achiuwa,5,2021-01-01,21-104,MIA,0,DAL,-10,0,11.983333333333333,3,4,.750,0,0,,4,6,.667,2,4,6,1,0,0,1,0,10,9.9,-5,PF,2021,15
Precious Achiuwa,6,2021-01-04,21-107,MIA,1,OKC,28,0,19.6,2,5,.400,0,0,,2,5,.400,2,5,7,0,1,0,1,3,6,3.8,+3,PF,2021,15
Precious Achiuwa,7,2021-01-06,21-109,MIA,1,BOS,-2,0,14.233333333333333,2,5,.400,0,0,,2,2,1.000,3,2,5,3,0,1,1,1,6,7.4,+7,PF,2021,15
Precious Achiuwa,8,2021-01-09,21-112,MIA,0,WAS,4,0,12.666666666666666,3,4,.750,0,0,,1,1,1.000,0,2,2,0,0,0,2,4,7,2.4,+5,PF,2021,15
Precious Achiuwa,9,2021-01-12,21-115,MIA,0,PHI,-3,1,35.666666666666664,7,10,.700,0,0,,3,4,.750,6,7,13,3,0,1,3,4,17,16.9,-6,PF,2021,15
Precious Achiuwa,10,2021-01-14,21-117,MIA,0,PHI,-17,1,27.4,4,6,.667,0,0,,2,6,.333,5,6,11,2,0,0,2,1,10,10.1,-18,PF,2021,15
Precious Achiuwa,11,2021-01-16,21-119,MIA,1,DET,-20,0,11.25,1,3,.333,0,0,,3,4,.750,1,3,4,0,0,0,0,1,5,4.1,-6,PF,2021,15
Precious Achiuwa,12,2021-01-18,21-121,MIA,1,DET,6,0,12.766666666666667,4,5,.800,0,0,,0,2,.000,2,3,5,0,0,0,0,5,8,5.6,-1,PF,2021,15
Precious Achiuwa,13,2021-01-20,21-123,MIA,0,TOR,9,0,14.4,2,3,.667,0,0,,0,2,.000,1,3,4,0,1,1,0,0,4,5.2,+7,PF,2021,15
Precious Achiuwa,14,2021-01-22,21-125,MIA,0,TOR,-20,0,11.533333333333333,2,2,1.000,0,0,,0,0,,0,1,1,1,1,2,2,1,4,4.4,-17,PF,2021,15
Precious Achiuwa,15,2021-01-23,21-126,MIA,0,BKN,-4,0,10.133333333333333,1,1,1.000,0,0,,5,6,.833,1,1,2,0,0,0,1,3,7,5.1,-8,PF,2021,15
Precious Achiuwa,16,2021-01-25,21-128,MIA,0,BKN,-13,0,12.683333333333334,2,4,.500,0,0,,0,0,,0,4,4,1,1,1,2,2,4,2.8,-10,PF,2021,15
Precious Achiuwa,17,2021-01-27,21-130,MIA,1,DEN,-27,0,20.266666666666666,4,8,.500,0,0,,2,2,1.000,1,5,6,3,2,3,1,2,10,12.6,-3,PF,2021,15
Precious Achiuwa,18,2021-01-28,21-131,MIA,1,LAC,-4,0,13.35,4,4,1.000,0,0,,2,5,.400,2,3,5,0,0,0,0,1,10,9.5,-1,PF,2021,15
Precious Achiuwa,19,2021-01-30,21-133,MIA,1,SAC,1,0,12.3,3,4,.750,0,0,,0,0,,2,0,2,0,0,0,1,0,6,4.8,-1,PF,2021,15
Precious Achiuwa,20,2021-02-01,21-135,MIA,1,CHA,-8,0,13.7,1,3,.333,0,0,,2,4,.500,1,2,3,0,0,2,0,1,4,3.8,-6,PF,2021,15
Precious Achiuwa,21,2021-02-03,21-137,MIA,1,WAS,-3,0,13.083333333333334,2,4,.500,0,0,,3,6,.500,0,4,4,0,2,0,0,0,7,7.0,-5,PF,2021,15
Precious Achiuwa,22,2021-02-05,21-139,MIA,1,WAS,27,0,20.316666666666666,2,8,.250,0,0,,0,0,,0,1,1,0,1,0,2,3,4,-2.7,-2,PF,2021,15
Precious Achiuwa,23,2021-02-07,21-141,MIA,0,NYK,6,0,9.266666666666667,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-4,PF,2021,15
Precious Achiuwa,24,2021-02-09,21-143,MIA,1,NYK,2,0,9.433333333333334,0,2,.000,0,0,,0,0,,1,1,2,1,0,1,0,1,0,0.6,+5,PF,2021,15
Precious Achiuwa,25,2021-02-11,21-145,MIA,0,HOU,7,0,5.166666666666667,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-5,PF,2021,15
Precious Achiuwa,26,2021-02-13,21-147,MIA,0,UTA,-18,0,4.633333333333333,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,3,2,0,-3.9,+2,PF,2021,15
Precious Achiuwa,27,2021-02-15,21-149,MIA,0,LAC,-7,0,12.1,3,6,.500,0,0,,2,2,1.000,0,1,1,0,2,0,0,3,8,6.1,-2,PF,2021,15
Precious Achiuwa,28,2021-02-17,21-151,MIA,0,GSW,-8,0,17.05,6,7,.857,0,0,,1,1,1.000,0,6,6,0,0,0,0,1,13,11.9,+17,PF,2021,15
Precious Achiuwa,29,2021-02-18,21-152,MIA,0,SAC,8,0,12.466666666666667,0,4,.000,0,0,,0,0,,1,3,4,1,0,2,1,0,0,-0.1,-10,PF,2021,15
Precious Achiuwa,30,2021-02-20,21-154,MIA,0,LAL,2,0,11.6,2,4,.500,0,0,,0,2,.000,1,3,4,0,0,0,1,1,4,1.4,+10,PF,2021,15
Precious Achiuwa,31,2021-02-22,21-156,MIA,0,OKC,14,0,9.483333333333333,1,1,1.000,0,0,,0,2,.000,1,2,3,1,0,0,0,0,2,2.9,+3,PF,2021,15
Precious Achiuwa,32,2021-02-24,21-158,MIA,1,TOR,8,0,6.0,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,0.8,-4,PF,2021,15
Precious Achiuwa,33,2021-02-28,21-162,MIA,1,ATL,10,0,12.033333333333333,4,5,.800,0,0,,6,7,.857,4,3,7,1,1,1,1,0,14,16.8,+4,PF,2021,15
Precious Achiuwa,34,2021-03-02,21-164,MIA,1,ATL,-14,0,15.033333333333333,1,1,1.000,0,0,,0,2,.000,1,3,4,0,1,1,0,2,2,3.4,-9,PF,2021,15
Precious Achiuwa,35,2021-03-04,21-166,MIA,0,NOP,10,0,16.466666666666665,4,8,.500,0,0,,0,0,,2,3,5,0,1,0,0,0,8,7.3,-3,PF,2021,15
Precious Achiuwa,36,2021-03-11,21-173,MIA,1,ORL,8,0,4.55,1,1,1.000,0,0,,0,2,.000,1,1,2,0,0,0,1,0,2,0.9,-5,PF,2021,15
Precious Achiuwa,37,2021-03-12,21-174,MIA,0,CHI,11,0,3.033333333333333,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1,PF,2021,15
Precious Achiuwa,38,2021-03-14,21-176,MIA,0,ORL,5,0,11.883333333333333,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,4,2,-0.9,-1,PF,2021,15
Precious Achiuwa,39,2021-03-17,21-179,MIA,0,MEM,-4,0,10.466666666666667,1,5,.200,0,0,,0,2,.000,2,3,5,0,0,0,0,0,2,0.4,-17,PF,2021,15
Precious Achiuwa,40,2021-03-19,21-181,MIA,1,IND,-27,0,4.366666666666666,2,2,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,4,4.1,-1,PF,2021,15
Precious Achiuwa,41,2021-03-21,21-183,MIA,1,IND,-3,0,3.2333333333333334,0,2,.000,0,0,,0,2,.000,1,0,1,0,0,0,0,1,0,-1.9,-10,PF,2021,15
Precious Achiuwa,42,2021-03-23,21-185,MIA,1,PHX,-10,0,12.966666666666667,3,4,.750,0,0,,3,4,.750,2,1,3,1,0,0,0,0,9,9.4,+9,PF,2021,15
Precious Achiuwa,43,2021-03-25,21-187,MIA,1,POR,-3,0,13.916666666666666,1,4,.250,0,0,,0,0,,0,1,1,0,0,1,2,1,2,-1.8,-9,PF,2021,15
Precious Achiuwa,44,2021-03-26,21-188,MIA,0,CHA,-5,0,10.966666666666667,2,4,.500,0,0,,0,3,.000,2,3,5,2,0,1,0,1,4,4.8,-3,PF,2021,15
Precious Achiuwa,45,2021-03-29,21-191,MIA,0,NYK,10,0,10.516666666666667,1,3,.333,0,0,,0,0,,1,2,3,1,0,1,1,5,2,0.0,0,PF,2021,15
Precious Achiuwa,46,2021-03-31,21-193,MIA,0,IND,5,0,7.583333333333333,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,0,2,2,2.2,-13,PF,2021,15
Precious Achiuwa,47,2021-04-03,21-196,MIA,1,CLE,14,0,8.883333333333333,3,3,1.000,0,0,,0,0,,0,2,2,1,0,1,1,0,6,6.1,-3,PF,2021,15
