player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Steven Adams,1,2019-10-23,26-095,OKC,0,UTA,-5,1,27.7,1,8,.125,0,0,,1,6,.167,3,8,11,2,1,0,2,4,3,-0.9,-1,C,2020,15
Steven Adams,2,2019-10-25,26-097,OKC,1,WAS,-12,1,29.166666666666668,3,9,.333,0,0,,1,2,.500,4,10,14,0,1,1,1,1,7,7.6,-2,C,2020,15
Steven Adams,3,2019-10-27,26-099,OKC,1,GSW,28,1,25.4,4,8,.500,0,0,,0,2,.000,5,5,10,3,0,0,1,2,8,8.5,+26,C,2020,15
Steven Adams,4,2019-10-28,26-100,OKC,0,HOU,-4,1,26.8,2,7,.286,0,0,,2,4,.500,2,10,12,1,0,2,1,3,6,5.4,-4,C,2020,15
Steven Adams,5,2019-11-05,26-108,OKC,1,ORL,8,1,25.766666666666666,5,7,.714,0,0,,1,2,.500,4,7,11,3,0,1,1,1,11,14.0,+10,C,2020,15
Steven Adams,6,2019-11-07,26-110,OKC,0,SAS,-9,1,27.383333333333333,5,6,.833,0,0,,0,4,.000,2,3,5,3,0,0,3,2,10,6.8,-6,C,2020,15
Steven Adams,7,2019-11-09,26-112,OKC,1,GSW,6,1,25.133333333333333,6,7,.857,0,0,,1,3,.333,4,4,8,2,1,2,1,0,13,16.5,-1,C,2020,15
Steven Adams,8,2019-11-12,26-115,OKC,0,IND,-26,1,19.066666666666666,5,8,.625,0,0,,0,0,,1,5,6,1,0,0,0,0,10,9.3,-4,C,2020,15
Steven Adams,9,2019-11-15,26-118,OKC,1,PHI,8,1,31.15,3,6,.500,0,0,,1,2,.500,4,3,7,4,1,2,1,2,7,10.7,+8,C,2020,15
Steven Adams,10,2019-11-18,26-121,OKC,0,LAC,-2,1,27.033333333333335,4,8,.500,0,0,,1,2,.500,0,10,10,6,2,0,2,2,9,11.0,0,C,2020,15
Steven Adams,11,2019-11-19,26-122,OKC,0,LAL,-5,1,24.15,1,3,.333,0,0,,0,0,,2,4,6,4,0,0,2,2,2,2.9,-4,C,2020,15
Steven Adams,12,2019-11-22,26-125,OKC,1,LAL,-3,1,26.783333333333335,9,10,.900,0,0,,4,4,1.000,2,4,6,4,0,0,3,4,22,19.4,-4,C,2020,15
Steven Adams,13,2019-11-25,26-128,OKC,0,GSW,3,1,27.616666666666667,4,6,.667,0,0,,2,4,.500,4,6,10,5,0,3,2,1,10,14.4,+10,C,2020,15
Steven Adams,14,2019-11-27,26-130,OKC,0,POR,-17,1,24.666666666666668,4,7,.571,0,0,,0,0,,1,5,6,3,0,0,1,1,8,7.6,-19,C,2020,15
Steven Adams,15,2019-11-29,26-132,OKC,1,NOP,5,1,24.233333333333334,7,11,.636,0,0,,0,0,,3,9,12,2,1,2,0,2,14,16.9,+4,C,2020,15
Steven Adams,16,2019-12-01,26-134,OKC,0,NOP,3,1,28.0,6,7,.857,0,0,,5,6,.833,2,8,10,2,1,2,1,3,17,19.5,+2,C,2020,15
Steven Adams,17,2019-12-04,26-137,OKC,1,IND,-7,1,28.716666666666665,8,8,1.000,0,0,,4,4,1.000,5,4,9,3,0,2,2,2,20,23.0,-2,C,2020,15
Steven Adams,18,2019-12-06,26-139,OKC,1,MIN,12,1,36.4,9,13,.692,0,1,.000,4,8,.500,6,5,11,2,2,4,2,4,22,23.2,+5,C,2020,15
Steven Adams,19,2019-12-08,26-141,OKC,0,POR,12,1,28.0,2,6,.333,0,0,,2,2,1.000,4,5,9,4,0,0,1,1,6,8.3,+5,C,2020,15
Steven Adams,20,2019-12-09,26-142,OKC,0,UTA,14,1,28.433333333333334,4,4,1.000,0,0,,3,4,.750,2,11,13,4,0,4,2,1,11,17.3,+14,C,2020,15
