player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Al Jefferson,69,2013-03-29,28-084,UTA,0,POR,10,1,37.21666666666667,11,21,.524,0,0,,0,0,,2,6,8,2,4,2,1,3,22,19.5,+2,C,2013,15
Al Jefferson,70,2013-03-30,28-085,UTA,1,BKN,9,1,33.61666666666667,10,17,.588,0,1,.000,0,3,.000,4,3,7,2,3,2,2,2,20,17.6,+15,C,2013,15
Al Jefferson,71,2013-04-01,28-087,UTA,1,POR,10,1,30.6,12,21,.571,0,0,,0,2,.000,3,7,10,2,2,2,1,0,24,21.3,+15,C,2013,15
Al Jefferson,72,2013-04-03,28-089,UTA,1,DEN,-17,1,36.2,7,11,.636,0,0,,2,4,.500,1,8,9,3,1,1,1,3,16,15.0,-20,C,2013,15
Al Jefferson,73,2013-04-05,28-091,UTA,1,NOH,12,1,30.7,7,11,.636,0,0,,0,0,,1,4,5,1,3,0,1,1,14,13.3,-6,C,2013,15
Al Jefferson,74,2013-04-07,28-093,UTA,0,GSW,7,1,31.766666666666666,8,17,.471,0,0,,3,3,1.000,2,10,12,5,2,1,1,3,19,18.7,+2,C,2013,15
Al Jefferson,75,2013-04-09,28-095,UTA,1,OKC,-10,1,32.4,7,13,.538,0,0,,1,1,1.000,2,9,11,1,1,1,1,2,15,13.4,-5,C,2013,15
Al Jefferson,76,2013-04-12,28-098,UTA,1,MIN,7,1,40.61666666666667,19,27,.704,0,0,,2,2,1.000,3,10,13,6,0,0,5,1,40,32.6,+6,C,2013,15
Al Jefferson,77,2013-04-15,28-101,UTA,0,MIN,16,1,32.18333333333333,8,15,.533,0,0,,6,6,1.000,0,8,8,0,1,2,3,0,22,16.5,+15,C,2013,15
Al Jefferson,78,2013-04-17,28-103,UTA,0,MEM,-16,1,40.35,8,19,.421,0,0,,6,6,1.000,2,14,16,2,0,1,1,5,22,16.6,-15,C,2013,15
Al-Farouq Aminu,1,2012-10-31,22-040,NOH,1,SAS,-4,1,37.1,8,16,.500,0,1,.000,1,2,.500,0,7,7,3,2,3,3,2,17,13.1,-17,SF,2013,15
Al-Farouq Aminu,2,2012-11-02,22-042,NOH,1,UTA,2,1,34.233333333333334,7,10,.700,0,0,,1,2,.500,2,6,8,2,2,0,2,2,15,14.2,+14,SF,2013,15
Al-Farouq Aminu,3,2012-11-03,22-043,NOH,0,CHI,7,1,26.9,4,6,.667,0,0,,0,0,,2,4,6,1,2,2,3,4,8,7.5,+6,SF,2013,15
Al-Farouq Aminu,4,2012-11-07,22-047,NOH,1,PHI,-15,1,39.95,3,11,.273,0,2,.000,4,6,.667,4,12,16,3,2,0,4,3,10,8.0,-14,SF,2013,15
Al-Farouq Aminu,5,2012-11-09,22-049,NOH,1,CHA,8,1,28.766666666666666,6,9,.667,0,0,,2,3,.667,2,4,6,3,2,1,2,5,14,13.1,+4,SF,2013,15
Al-Farouq Aminu,6,2012-11-14,22-054,NOH,0,HOU,-4,1,30.133333333333333,6,15,.400,0,2,.000,2,2,1.000,1,6,7,2,2,2,1,2,14,11.4,+2,SF,2013,15
Al-Farouq Aminu,7,2012-11-16,22-056,NOH,1,OKC,-15,1,23.866666666666667,3,7,.429,0,0,,3,4,.750,1,6,7,2,1,0,2,2,9,7.0,-4,SF,2013,15
Al-Farouq Aminu,8,2012-11-17,22-057,NOH,0,MIL,-4,1,31.45,4,7,.571,1,1,1.000,0,0,,1,7,8,4,1,1,4,4,9,7.4,+4,SF,2013,15
Al-Farouq Aminu,9,2012-11-20,22-060,NOH,1,NYK,-22,1,24.466666666666665,0,4,.000,0,0,,0,0,,0,6,6,1,1,0,2,2,0,-2.1,-9,SF,2013,15
Al-Farouq Aminu,10,2012-11-21,22-061,NOH,0,IND,-8,1,45.916666666666664,6,9,.667,0,1,.000,2,3,.667,3,7,10,2,1,0,3,2,14,12.5,-5,SF,2013,15
Al-Farouq Aminu,11,2012-11-23,22-063,NOH,0,PHX,-3,1,41.61666666666667,6,7,.857,0,0,,4,4,1.000,1,5,6,5,2,1,4,1,16,17.5,+14,SF,2013,15
Al-Farouq Aminu,12,2012-11-25,22-065,NOH,0,DEN,-18,1,15.05,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,2,2,2,-2.6,-21,SF,2013,15
