player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Precious Achiuwa,1,2022-10-19,23-030,TOR,1,CLE,3,0,17.933333333333334,4,11,.364,1,4,.250,1,2,.500,1,4,5,0,0,0,0,1,10,5.0,-4,C,2023,15
Precious Achiuwa,2,2022-10-21,23-032,TOR,0,BKN,-4,0,17.483333333333334,1,6,.167,0,1,.000,2,3,.667,0,6,6,0,0,0,3,2,4,-2.2,-8,C,2023,15
Precious Achiuwa,3,2022-10-22,23-033,TOR,0,MIA,-3,0,33.53333333333333,5,9,.556,2,5,.400,6,7,.857,3,8,11,1,0,0,1,1,18,17.1,+16,C,2023,15
Precious Achiuwa,4,2022-10-24,23-035,TOR,0,MIA,8,0,33.71666666666667,5,12,.417,0,1,.000,0,1,.000,4,18,22,2,0,1,0,2,10,12.7,+10,C,2023,15
Precious Achiuwa,5,2022-10-26,23-037,TOR,1,PHI,10,0,21.3,3,7,.429,1,3,.333,0,0,,3,3,6,4,0,0,2,3,7,5.9,+14,C,2023,15
Precious Achiuwa,6,2022-10-28,23-039,TOR,1,PHI,-22,0,14.95,0,6,.000,0,3,.000,0,0,,2,1,3,1,0,1,2,1,0,-3.5,-10,C,2023,15
Precious Achiuwa,7,2022-10-31,23-042,TOR,1,ATL,30,0,17.75,2,3,.667,0,1,.000,6,6,1.000,0,3,3,1,0,0,1,1,10,8.9,+11,C,2023,15
Precious Achiuwa,8,2022-11-02,23-044,TOR,0,SAS,43,0,21.0,4,9,.444,0,3,.000,4,4,1.000,0,6,6,1,1,1,1,1,12,10.1,+6,C,2023,15
Precious Achiuwa,9,2022-11-04,23-046,TOR,0,DAL,-1,0,26.6,4,9,.444,1,3,.333,6,6,1.000,3,5,8,2,0,1,2,1,15,13.6,+2,C,2023,15
Precious Achiuwa,10,2022-11-06,23-048,TOR,1,CHI,9,0,14.183333333333334,2,6,.333,0,2,.000,1,2,.500,3,1,4,2,1,1,1,3,5,4.5,-20,C,2023,15
