player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
A.J. Hammons,1,2016-10-28,24-062,DAL,1,HOU,-8,0,1.4333333333333333,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+6,C,2017,15
A.J. Hammons,2,2016-11-04,24-069,DAL,1,POR,-10,0,0.5666666666666667,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,C,2017,15
A.J. Hammons,3,2016-11-09,24-074,DAL,0,GSW,-21,0,6.1,3,5,.600,1,1,1.000,2,2,1.000,2,1,3,0,0,0,0,1,9,8.0,-1,C,2017,15
A.J. Hammons,4,2016-11-14,24-079,DAL,0,NYK,-16,0,3.3333333333333335,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,+3,C,2017,15
A.J. Hammons,5,2016-11-18,24-083,DAL,1,MEM,-16,0,3.2,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,1.0,0,C,2017,15
A.J. Hammons,6,2016-11-23,24-088,DAL,1,LAC,-20,0,3.4333333333333336,0,1,.000,0,0,,0,0,,2,0,2,1,0,0,0,0,0,1.4,+9,C,2017,15
A.J. Hammons,7,2016-11-25,24-090,DAL,0,CLE,-38,0,6.016666666666667,0,1,.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-1.2,+1,C,2017,15
A.J. Hammons,8,2016-12-03,24-098,DAL,1,CHI,25,0,2.183333333333333,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,+5,C,2017,15
A.J. Hammons,9,2016-12-07,24-102,DAL,1,SAC,-31,0,10.783333333333333,0,2,.000,0,0,,0,2,.000,0,5,5,0,0,2,0,1,0,0.3,-10,C,2017,15
A.J. Hammons,10,2016-12-10,24-105,DAL,0,HOU,-22,0,3.9833333333333334,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-6,C,2017,15
A.J. Hammons,11,2016-12-12,24-107,DAL,1,DEN,20,0,3.4833333333333334,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,1.6,-8,C,2017,15
A.J. Hammons,12,2016-12-14,24-109,DAL,1,DET,-10,0,1.2833333333333332,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,0,C,2017,15
A.J. Hammons,13,2016-12-16,24-111,DAL,0,UTA,-3,0,3.1166666666666667,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,3,3,0.8,+1,C,2017,15
A.J. Hammons,14,2016-12-18,24-113,DAL,1,SAC,20,0,15.866666666666667,0,4,.000,0,1,.000,0,2,.000,0,3,3,0,0,2,0,4,0,-2.9,+12,C,2017,15
