player,G,date,age,team,H/A,opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Alex Abrines,1,2017-10-19,24-079,OKC,1,NYK,21,0,24.25,1,5,.200,1,5,.200,0,0,,0,3,3,0,1,0,2,3,3,-1.4,+23,SG,2018,15
Alex Abrines,2,2017-10-21,24-081,OKC,0,UTA,-9,0,29.066666666666666,2,6,.333,1,4,.250,2,2,1.000,2,2,4,1,1,0,0,1,7,6.9,+6,SG,2018,15
Alex Abrines,3,2017-10-22,24-082,OKC,1,MIN,-2,0,14.333333333333334,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,0,4,4,2.8,+13,SG,2018,15
Alex Abrines,4,2017-10-25,24-085,OKC,1,IND,18,0,13.433333333333334,2,5,.400,1,1,1.000,0,0,,1,1,2,1,1,0,0,3,5,3.8,+5,SG,2018,15
Alex Abrines,5,2017-10-27,24-087,OKC,0,MIN,-3,0,8.45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-1.9,+9,SG,2018,15
Alex Abrines,6,2017-10-28,24-088,OKC,0,CHI,32,0,18.15,2,8,.250,1,5,.200,0,0,,0,2,2,1,2,0,1,2,5,1.7,-1,SG,2018,15
Alex Abrines,7,2017-10-31,24-091,OKC,0,MIL,19,0,27.183333333333334,2,4,.500,2,2,1.000,0,0,,0,1,1,1,1,0,2,4,6,2.4,+11,SG,2018,15
Alex Abrines,8,2017-11-03,24-094,OKC,1,BOS,-7,0,12.683333333333334,2,5,.400,2,5,.400,0,0,,0,1,1,0,0,1,0,3,6,3.1,+6,SG,2018,15
Alex Abrines,9,2017-11-05,24-096,OKC,0,POR,-4,0,14.6,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-0.4,+11,SG,2018,15
Alex Abrines,10,2017-11-07,24-098,OKC,0,SAC,-8,0,5.216666666666667,1,3,.333,0,2,.000,0,0,,1,0,1,0,0,0,0,1,2,0.6,-4,SG,2018,15
Alex Abrines,11,2017-11-09,24-100,OKC,0,DEN,-8,0,12.033333333333333,0,0,,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,1,1.3,-1,SG,2018,15
Alex Abrines,12,2017-11-10,24-101,OKC,1,LAC,9,0,20.7,4,5,.800,3,4,.750,3,4,.750,1,2,3,0,0,0,0,1,14,12.6,-2,SG,2018,15
Alex Abrines,13,2017-11-12,24-103,OKC,1,DAL,13,0,14.566666666666666,1,2,.500,1,1,1.000,0,0,,1,1,2,0,0,0,1,2,3,1.2,-1,SG,2018,15
Alex Abrines,14,2017-11-15,24-106,OKC,1,CHI,13,0,23.266666666666666,1,5,.200,1,5,.200,1,2,.500,0,4,4,0,0,0,0,1,4,1.3,+13,SG,2018,15
Alex Abrines,15,2017-11-17,24-108,OKC,0,SAS,-3,0,17.783333333333335,4,8,.500,1,5,.200,0,0,,1,0,1,0,1,0,1,1,9,5.3,0,SG,2018,15
Alex Abrines,16,2017-11-20,24-111,OKC,0,NOP,-7,0,16.416666666666668,2,6,.333,1,4,.250,2,2,1.000,0,1,1,1,0,0,0,1,7,4.2,-17,SG,2018,15
Alex Abrines,17,2017-11-22,24-113,OKC,1,GSW,17,0,6.116666666666666,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,2,0,-0.5,+6,SG,2018,15
Alex Abrines,18,2017-11-24,24-115,OKC,1,DET,-1,0,8.883333333333333,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,0.6,+1,SG,2018,15
Alex Abrines,19,2017-11-25,24-116,OKC,0,DAL,-16,0,1.8333333333333335,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1,SG,2018,15
Alex Abrines,20,2017-12-03,24-124,OKC,1,SAS,3,0,15.366666666666667,2,5,.400,1,4,.250,0,1,.000,1,2,3,1,1,0,1,2,5,3.1,+3,SG,2018,15
Alex Abrines,21,2017-12-05,24-126,OKC,1,UTA,6,0,18.166666666666668,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,4,2,0.7,0,SG,2018,15
Alex Abrines,22,2017-12-07,24-128,OKC,0,BKN,-5,1,25.6,2,8,.250,1,3,.333,0,0,,1,1,2,2,1,1,0,4,5,2.7,-8,SG,2018,15
Alex Abrines,23,2017-12-09,24-130,OKC,0,MEM,1,1,42.56666666666667,7,10,.700,6,8,.750,0,1,.000,0,4,4,0,2,0,3,3,20,14.4,+4,SG,2018,15
Alex Abrines,24,2017-12-11,24-132,OKC,1,CHA,-13,1,26.183333333333334,2,9,.222,2,7,.286,6,6,1.000,0,0,0,0,0,0,1,4,12,3.9,-22,SG,2018,15
Alex Abrines,25,2017-12-13,24-134,OKC,0,IND,5,1,31.733333333333334,5,8,.625,4,6,.667,0,0,,1,3,4,1,1,0,1,3,14,11.5,+4,SG,2018,15
Alex Abrines,26,2017-12-15,24-136,OKC,0,PHI,2,0,17.066666666666666,1,6,.167,1,5,.200,0,0,,1,3,4,0,0,0,2,1,3,-1.6,-6,SG,2018,15
Alex Abrines,27,2017-12-16,24-137,OKC,0,NYK,-15,0,8.3,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.1,+3,SG,2018,15
Alex Abrines,28,2017-12-18,24-139,OKC,1,DEN,1,0,13.666666666666666,3,3,1.000,3,3,1.000,2,2,1.000,0,5,5,0,1,0,0,1,11,12.2,+2,SG,2018,15
Alex Abrines,29,2017-12-20,24-141,OKC,1,UTA,28,0,22.95,1,4,.250,1,3,.333,0,0,,0,2,2,1,1,0,1,1,3,1.5,-9,SG,2018,15
Alex Abrines,30,2017-12-22,24-143,OKC,1,ATL,3,0,3.6666666666666665,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,1,0,-1.7,0,SG,2018,15
Alex Abrines,31,2017-12-23,24-144,OKC,0,UTA,14,0,16.383333333333333,1,3,.333,1,3,.333,0,0,,0,3,3,0,1,0,0,3,3,2.0,+2,SG,2018,15
Alex Abrines,32,2017-12-25,24-146,OKC,1,HOU,5,0,2.9166666666666665,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+1,SG,2018,15
Alex Abrines,33,2017-12-27,24-148,OKC,1,TOR,17,0,6.55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-19,SG,2018,15
Alex Abrines,34,2017-12-29,24-150,OKC,1,MIL,-2,1,9.7,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-24,SG,2018,15
Alex Abrines,35,2017-12-31,24-152,OKC,1,DAL,-3,0,14.766666666666667,1,3,.333,1,1,1.000,0,0,,1,0,1,0,0,0,0,4,3,0.4,-2,SG,2018,15
Alex Abrines,36,2018-01-07,24-159,OKC,0,PHX,-14,0,2.7,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,SG,2018,15
Alex Abrines,37,2018-01-09,24-161,OKC,1,POR,-11,0,12.316666666666666,2,5,.400,1,3,.333,2,2,1.000,2,0,2,2,0,0,0,1,7,6.7,+1,SG,2018,15
Alex Abrines,38,2018-01-10,24-162,OKC,0,MIN,-16,0,4.283333333333333,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,0.3,0,SG,2018,15
Alex Abrines,39,2018-01-13,24-165,OKC,0,CHA,10,0,14.216666666666667,3,7,.429,2,3,.667,1,1,1.000,2,1,3,0,0,0,0,1,9,6.6,+13,SG,2018,15
Alex Abrines,40,2018-01-15,24-167,OKC,1,SAC,7,0,18.466666666666665,1,4,.250,1,4,.250,2,2,1.000,0,1,1,0,1,0,0,0,5,3.9,+6,SG,2018,15
Alex Abrines,41,2018-01-17,24-169,OKC,1,LAL,24,0,8.383333333333333,2,3,.667,1,2,.500,2,2,1.000,1,1,2,0,0,0,1,0,7,5.7,+2,SG,2018,15
Alex Abrines,42,2018-01-20,24-172,OKC,0,CLE,24,0,1.6666666666666665,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,SG,2018,15
Alex Abrines,43,2018-01-27,24-179,OKC,0,DET,13,0,6.183333333333334,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,0.9,-7,SG,2018,15
Alex Abrines,44,2018-01-28,24-180,OKC,1,PHI,10,0,2.6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1,SG,2018,15
Alex Abrines,45,2018-01-30,24-182,OKC,0,WAS,-6,0,12.533333333333333,1,4,.250,1,4,.250,2,2,1.000,0,2,2,0,1,0,0,2,5,3.4,+9,SG,2018,15
Alex Abrines,46,2018-02-01,24-184,OKC,0,DEN,-3,0,28.683333333333334,4,7,.571,2,5,.400,3,4,.750,0,2,2,1,0,2,1,1,13,10.6,-1,SG,2018,15
Alex Abrines,47,2018-02-02,24-185,OKC,1,NOP,-14,0,23.583333333333332,4,8,.500,4,8,.500,2,2,1.000,0,1,1,0,0,0,0,3,14,9.1,+5,SG,2018,15
Alex Abrines,48,2018-02-04,24-187,OKC,1,LAL,-4,0,26.433333333333334,1,4,.250,1,4,.250,0,0,,0,1,1,2,1,1,1,4,3,1.4,+15,SG,2018,15
Alex Abrines,49,2018-02-06,24-189,OKC,0,GSW,20,0,24.3,3,7,.429,3,7,.429,0,0,,0,1,1,0,2,0,0,5,9,5.6,+7,SG,2018,15
Alex Abrines,50,2018-02-08,24-191,OKC,0,LAL,-25,0,24.3,3,10,.300,1,6,.167,1,1,1.000,0,3,3,1,1,0,0,1,8,4.4,-28,SG,2018,15
Alex Abrines,51,2018-02-11,24-194,OKC,1,MEM,18,1,36.61666666666667,6,13,.462,4,7,.571,0,0,,3,3,6,0,1,0,1,4,16,10.7,+7,SG,2018,15
Alex Abrines,52,2018-02-13,24-196,OKC,1,CLE,-8,1,23.416666666666668,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,0,0,2,0,-1.3,+1,SG,2018,15
Alex Abrines,53,2018-02-14,24-197,OKC,0,MEM,7,1,11.916666666666666,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,1,0,-0.9,-10,SG,2018,15
Alex Abrines,54,2018-02-22,24-205,OKC,0,SAC,3,0,6.7,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,1,0,3,2.3,+2,SG,2018,15
Alex Abrines,55,2018-02-24,24-207,OKC,0,GSW,-32,0,20.316666666666666,1,5,.200,1,4,.250,0,0,,0,1,1,1,0,0,0,2,3,0.1,-30,SG,2018,15
Alex Abrines,56,2018-02-26,24-209,OKC,1,ORL,7,0,21.483333333333334,4,10,.400,2,7,.286,2,2,1.000,2,1,3,0,1,1,1,0,12,9.0,+8,SG,2018,15
Alex Abrines,57,2018-02-28,24-211,OKC,0,DAL,1,0,19.816666666666666,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,0,0,3,3,1.4,-2,SG,2018,15
Alex Abrines,58,2018-03-02,24-213,OKC,0,PHX,8,0,10.533333333333333,2,6,.333,2,6,.333,0,0,,0,0,0,0,0,1,0,3,6,2.1,+4,SG,2018,15
Alex Abrines,59,2018-03-03,24-214,OKC,0,POR,-8,0,14.65,0,1,.000,0,1,.000,0,0,,1,0,1,1,1,0,0,1,0,1.3,-7,SG,2018,15
Alex Abrines,60,2018-03-06,24-217,OKC,1,HOU,-10,0,0.2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,SG,2018,15
Alex Abrines,61,2018-03-08,24-219,OKC,1,PHX,28,0,9.316666666666666,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,1,0,1,1,6,6.0,-1,SG,2018,15
Alex Abrines,62,2018-03-10,24-221,OKC,1,SAS,10,0,17.583333333333332,4,6,.667,3,4,.750,0,0,,1,1,2,0,0,0,0,1,11,9.0,+7,SG,2018,15
Alex Abrines,63,2018-03-12,24-223,OKC,1,SAC,5,0,6.616666666666667,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,5.0,+5,SG,2018,15
Alex Abrines,64,2018-03-13,24-224,OKC,0,ATL,12,0,14.383333333333333,1,4,.250,1,3,.333,0,0,,0,2,2,1,1,1,0,0,3,3.6,-14,SG,2018,15
Alex Abrines,65,2018-03-16,24-227,OKC,1,LAC,8,0,9.55,1,4,.250,0,3,.000,0,0,,0,1,1,0,1,0,0,0,2,0.9,+3,SG,2018,15
Alex Abrines,66,2018-03-18,24-229,OKC,0,TOR,7,0,6.883333333333333,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,1,0,0,1,6,6.0,0,SG,2018,15
Alex Abrines,67,2018-03-20,24-231,OKC,0,BOS,-1,0,4.05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3,SG,2018,15
Alex Abrines,68,2018-03-23,24-234,OKC,1,MIA,6,0,10.833333333333334,2,3,.667,2,3,.667,0,0,,0,0,0,1,0,0,0,2,6,4.6,+6,SG,2018,15
