,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred
476,Tyreek Hill,38949,94.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,1,0.5,0.5,95.18995455890033
477,Tyreek Hill,38949,95.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,1,0.5,0.5,95.18995455890033
478,Yordan Alvarez,3514,0.5,Home Runs,5,2023-10-16T20:37:00,HOU,TEX,3,,,0.5
479,Yordan Alvarez,3514,0.5,Home Runs,5,2023-10-16T20:37:00,HOU,TEX,6,,,0.5
480,Yordan Alvarez,3514,0.5,Total Hits,5,2023-10-16T20:37:00,HOU,TEX,3,,,0.5
481,Yordan Alvarez,3514,0.5,Total Hits,5,2023-10-16T20:37:00,HOU,TEX,5,,,0.5
482,Zachary Gallen,39326,5.0,Pitcher Strikeouts,5,2023-10-17T00:07:00,PHI,ARI,2,0.5,0.5,5.339334275699933
483,Zachary Gallen,39326,5.5,Pitcher Strikeouts,5,2023-10-17T00:07:00,PHI,ARI,14,0.44699501461201485,0.5530049853879851,5.339334275699933
484,Zachary Wheeler,41618,6.5,Pitcher Strikeouts,5,2023-10-17T00:07:00,PHI,ARI,15,0.4999550930735288,0.5000449069264712,6.667127816086174
485,Zay Flowers,410752,55.5,Receiving Yards,1,2023-10-22T17:00:00,BAL,DET,1,0.5,0.5,55.68443649466717
