,player,player_id,points,price,side,stat,book,league_id,event_time,prob,opp,Team,time
0,D'Andre Swift,38710,64.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,D'Andre Swift,38710,66.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,D'Andre Swift,38710,64.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,D'Andre Swift,38710,66.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Jalen Hurts,34413,251.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,Jalen Hurts,34413,250.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,Jalen Hurts,34413,251.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,Jalen Hurts,34413,250.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Terry McLaurin,36688,57.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,Terry McLaurin,36688,58.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,Terry McLaurin,36688,57.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,Terry McLaurin,36688,58.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Sam Howell,37456,226.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,Sam Howell,37456,229.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,Sam Howell,37456,226.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,Sam Howell,37456,229.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,A.J. Brown,38856,86.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
1,A.J. Brown,38856,87.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
2,A.J. Brown,38856,86.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
3,A.J. Brown,38856,87.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,WAS,PHI,2023-10-23 16:04:00
0,Josh Allen,34275,260.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Josh Allen,34275,264.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Josh Allen,34275,260.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Josh Allen,34275,264.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Stefon Diggs,34309,85.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Stefon Diggs,34309,87.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Stefon Diggs,34309,85.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Stefon Diggs,34309,87.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Rachaad White,37510,42.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Rachaad White,37510,42.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Baker Mayfield,37483,230.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Baker Mayfield,37483,228.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Baker Mayfield,37483,230.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Baker Mayfield,37483,228.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Chris Godwin,35809,60.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Chris Godwin,35809,60.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,James Cook,34320,53.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,James Cook,34320,55.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,James Cook,34320,53.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,James Cook,34320,55.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Mike Evans,36822,60.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
1,Mike Evans,36822,60.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
2,Mike Evans,36822,60.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
3,Mike Evans,36822,60.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-27T00:15:00,0.574468085106383,BUF,TB,2023-10-23 16:04:00
0,Travis Etienne,38823,67.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,Travis Etienne,38823,67.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,Najee Harris,36469,48.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,Najee Harris,36469,48.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,George Pickens,39143,52.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,George Pickens,39143,52.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
2,George Pickens,39143,52.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
3,George Pickens,39143,52.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,Trevor Lawrence,8637,247.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,Trevor Lawrence,8637,247.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,Diontae Johnson,37916,53.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,Diontae Johnson,37916,53.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,Kenny Pickett,37427,219.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,Kenny Pickett,37427,220.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
2,Kenny Pickett,37427,219.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
3,Kenny Pickett,37427,220.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,Calvin Ridley,408461,52.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
1,Calvin Ridley,408461,52.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,PIT,JAX,2023-10-23 16:04:00
0,Matthew Stafford,38227,254.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
1,Matthew Stafford,38227,260.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
2,Matthew Stafford,38227,254.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
3,Matthew Stafford,38227,260.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
0,Dak Prescott,35704,251.5,-135.0,under,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
1,Dak Prescott,35704,259.5,-135.0,under,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
2,Dak Prescott,35704,251.5,-135.0,over,Passing Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
3,Dak Prescott,35704,259.5,-135.0,over,Passing Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
0,Tony Pollard,35610,65.5,-135.0,under,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
1,Tony Pollard,35610,63.5,-135.0,under,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
2,Tony Pollard,35610,65.5,-135.0,over,Rush Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
3,Tony Pollard,35610,63.5,-135.0,over,Rush Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
0,Puka Nacua,410885,70.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
1,Puka Nacua,410885,70.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
0,Cooper Kupp,38140,91.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
1,Cooper Kupp,38140,88.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
2,Cooper Kupp,38140,91.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
3,Cooper Kupp,38140,88.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
0,CeeDee Lamb,39125,70.5,-135.0,under,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
1,CeeDee Lamb,39125,71.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
2,CeeDee Lamb,39125,70.5,-135.0,over,Receiving Yards,PrizePicks,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
3,CeeDee Lamb,39125,71.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-29T17:00:00,0.574468085106383,DAL,LAR,2023-10-23 16:04:00
0,Ray-Ray McCloud,36091,11.5,-116.0,over,Longest Reception,Pinnacle,1,2023-10-24T00:15:00,0.5370370370370371,MIN,SF,2023-10-23 16:04:00
1,Ray-Ray McCloud,36091,1.5,-111.0,over,Receptions,Pinnacle,1,2023-10-24T00:15:00,0.5260663507109005,MIN,SF,2023-10-23 16:04:00
2,Ray-Ray McCloud,36091,15.5,-123.0,over,Receiving Yards,Pinnacle,1,2023-10-24T00:15:00,0.5515695067264574,MIN,SF,2023-10-23 16:04:00
3,Ray-Ray McCloud,36091,11.5,-115.0,over,Longest Reception,DraftKings,1,2023-10-24T00:15:00,0.5348837209302325,MIN,SF,2023-10-23 16:04:00
4,Ray-Ray McCloud,36091,19.5,-120.0,over,Rush+Rec Yards,DraftKings,1,2023-10-24T00:15:00,0.5454545454545454,MIN,SF,2023-10-23 16:04:00
5,Ray-Ray McCloud,36091,1.5,100.0,over,Receptions,DraftKings,1,2023-10-24T00:15:00,0.5,MIN,SF,2023-10-23 16:04:00
6,Ray-Ray McCloud,36091,15.5,-130.0,over,Receiving Yards,DraftKings,1,2023-10-24T00:15:00,0.5652173913043478,MIN,SF,2023-10-23 16:04:00
7,Ray-Ray McCloud,36091,11.5,-114.0,over,Longest Reception,Caesars,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
8,Ray-Ray McCloud,36091,1.5,-111.0,over,Receptions,Caesars,1,2023-10-24T00:15:00,0.5260663507109005,MIN,SF,2023-10-23 16:04:00
9,Ray-Ray McCloud,36091,15.5,-132.0,over,Receiving Yards,Caesars,1,2023-10-24T00:15:00,0.5689655172413793,MIN,SF,2023-10-23 16:04:00
10,Ray-Ray McCloud,36091,11.5,-114.0,over,Longest Reception,Parx,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
11,Ray-Ray McCloud,36091,1.5,-112.0,over,Receptions,Parx,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
12,Ray-Ray McCloud,36091,16.5,-112.0,over,Receiving Yards,Parx,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
13,Ray-Ray McCloud,36091,11.5,-114.0,over,Longest Reception,Four Winds,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
14,Ray-Ray McCloud,36091,1.5,-112.0,over,Receptions,Four Winds,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
15,Ray-Ray McCloud,36091,16.5,-112.0,over,Receiving Yards,Four Winds,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
16,Ray-Ray McCloud,36091,11.5,-114.0,over,Longest Reception,BetRivers,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
17,Ray-Ray McCloud,36091,1.5,-112.0,over,Receptions,BetRivers,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
18,Ray-Ray McCloud,36091,16.5,-112.0,over,Receiving Yards,BetRivers,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
19,Ray-Ray McCloud,36091,11.5,-114.0,over,Longest Reception,Sugarhouse,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
20,Ray-Ray McCloud,36091,1.5,-112.0,over,Receptions,Sugarhouse,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
21,Ray-Ray McCloud,36091,16.5,-112.0,over,Receiving Yards,Sugarhouse,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
22,Ray-Ray McCloud,36091,11.5,-114.0,over,Longest Reception,Unibet,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
23,Ray-Ray McCloud,36091,1.5,-112.0,over,Receptions,Unibet,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
24,Ray-Ray McCloud,36091,16.5,-112.0,over,Receiving Yards,Unibet,1,2023-10-24T00:15:00,0.5283018867924528,MIN,SF,2023-10-23 16:04:00
25,Ray-Ray McCloud,36091,1.5,-103.0,over,Receptions,BetOnline,1,2023-10-24T00:15:00,0.5073891625615764,MIN,SF,2023-10-23 16:04:00
26,Ray-Ray McCloud,36091,15.5,-119.0,over,Receiving Yards,BetOnline,1,2023-10-24T00:15:00,0.54337899543379,MIN,SF,2023-10-23 16:04:00
27,Ray-Ray McCloud,36091,1.5,-103.0,over,Receptions,SportsBetting,1,2023-10-24T00:15:00,0.5073891625615764,MIN,SF,2023-10-23 16:04:00
28,Ray-Ray McCloud,36091,15.5,-119.0,over,Receiving Yards,SportsBetting,1,2023-10-24T00:15:00,0.54337899543379,MIN,SF,2023-10-23 16:04:00
29,Ray-Ray McCloud,36091,1.5,-103.0,over,Receptions,Bovada,1,2023-10-24T00:15:00,0.5073891625615764,MIN,SF,2023-10-23 16:04:00
30,Ray-Ray McCloud,36091,15.5,-119.0,over,Receiving Yards,Bovada,1,2023-10-24T00:15:00,0.54337899543379,MIN,SF,2023-10-23 16:04:00
31,Ray-Ray McCloud,36091,1.5,-105.0,over,Receptions,888sports,1,2023-10-24T00:15:00,0.5121951219512195,MIN,SF,2023-10-23 16:04:00
32,Ray-Ray McCloud,36091,1.5,-135.0,over,Receptions,Underdog Fantasy,1,2023-10-24T00:15:00,0.574468085106383,MIN,SF,2023-10-23 16:04:00
33,Ray-Ray McCloud,36091,15.5,-135.0,over,Receiving Yards,Underdog Fantasy,1,2023-10-24T00:15:00,0.574468085106383,MIN,SF,2023-10-23 16:04:00
34,Ray-Ray McCloud,36091,14.5,-110.0,over,Receiving Yards,FanDuel,1,2023-10-24T00:15:00,0.5238095238095238,MIN,SF,2023-10-23 16:04:00
35,Ray-Ray McCloud,36091,19.5,-110.0,under,Rush+Rec Yards,DraftKings,1,2023-10-24T00:15:00,0.5238095238095238,MIN,SF,2023-10-23 16:04:00
36,Ray-Ray McCloud,36091,11.5,-115.0,under,Longest Reception,DraftKings,1,2023-10-24T00:15:00,0.5348837209302325,MIN,SF,2023-10-23 16:04:00
37,Ray-Ray McCloud,36091,1.5,-130.0,under,Receptions,DraftKings,1,2023-10-24T00:15:00,0.5652173913043478,MIN,SF,2023-10-23 16:04:00
38,Ray-Ray McCloud,36091,15.5,100.0,under,Receiving Yards,DraftKings,1,2023-10-24T00:15:00,0.5,MIN,SF,2023-10-23 16:04:00
39,Ray-Ray McCloud,36091,11.5,-114.0,under,Longest Reception,Pinnacle,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
40,Ray-Ray McCloud,36091,1.5,-118.0,under,Receptions,Pinnacle,1,2023-10-24T00:15:00,0.5412844036697247,MIN,SF,2023-10-23 16:04:00
41,Ray-Ray McCloud,36091,15.5,-107.0,under,Receiving Yards,Pinnacle,1,2023-10-24T00:15:00,0.5169082125603864,MIN,SF,2023-10-23 16:04:00
42,Ray-Ray McCloud,36091,11.5,-120.0,under,Longest Reception,Caesars,1,2023-10-24T00:15:00,0.5454545454545454,MIN,SF,2023-10-23 16:04:00
43,Ray-Ray McCloud,36091,1.5,-123.0,under,Receptions,Caesars,1,2023-10-24T00:15:00,0.5515695067264574,MIN,SF,2023-10-23 16:04:00
44,Ray-Ray McCloud,36091,15.5,-104.0,under,Receiving Yards,Caesars,1,2023-10-24T00:15:00,0.5098039215686274,MIN,SF,2023-10-23 16:04:00
45,Ray-Ray McCloud,36091,11.5,-114.0,under,Longest Reception,Parx,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
46,Ray-Ray McCloud,36091,1.5,-117.0,under,Receptions,Parx,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
47,Ray-Ray McCloud,36091,16.5,-117.0,under,Receiving Yards,Parx,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
48,Ray-Ray McCloud,36091,11.5,-114.0,under,Longest Reception,Four Winds,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
49,Ray-Ray McCloud,36091,1.5,-117.0,under,Receptions,Four Winds,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
50,Ray-Ray McCloud,36091,16.5,-117.0,under,Receiving Yards,Four Winds,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
51,Ray-Ray McCloud,36091,11.5,-114.0,under,Longest Reception,BetRivers,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
52,Ray-Ray McCloud,36091,1.5,-117.0,under,Receptions,BetRivers,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
53,Ray-Ray McCloud,36091,16.5,-117.0,under,Receiving Yards,BetRivers,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
54,Ray-Ray McCloud,36091,11.5,-114.0,under,Longest Reception,Sugarhouse,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
55,Ray-Ray McCloud,36091,1.5,-117.0,under,Receptions,Sugarhouse,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
56,Ray-Ray McCloud,36091,16.5,-117.0,under,Receiving Yards,Sugarhouse,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
57,Ray-Ray McCloud,36091,11.5,-114.0,under,Longest Reception,Unibet,1,2023-10-24T00:15:00,0.5327102803738317,MIN,SF,2023-10-23 16:04:00
58,Ray-Ray McCloud,36091,1.5,-117.0,under,Receptions,Unibet,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
59,Ray-Ray McCloud,36091,16.5,-117.0,under,Receiving Yards,Unibet,1,2023-10-24T00:15:00,0.5391705069124424,MIN,SF,2023-10-23 16:04:00
60,Ray-Ray McCloud,36091,1.5,-125.0,under,Receptions,SportsBetting,1,2023-10-24T00:15:00,0.5555555555555556,MIN,SF,2023-10-23 16:04:00
61,Ray-Ray McCloud,36091,15.5,-109.0,under,Receiving Yards,SportsBetting,1,2023-10-24T00:15:00,0.5215311004784688,MIN,SF,2023-10-23 16:04:00
62,Ray-Ray McCloud,36091,1.5,-125.0,under,Receptions,BetOnline,1,2023-10-24T00:15:00,0.5555555555555556,MIN,SF,2023-10-23 16:04:00
63,Ray-Ray McCloud,36091,15.5,-109.0,under,Receiving Yards,BetOnline,1,2023-10-24T00:15:00,0.5215311004784688,MIN,SF,2023-10-23 16:04:00
64,Ray-Ray McCloud,36091,1.5,-125.0,under,Receptions,Bovada,1,2023-10-24T00:15:00,0.5555555555555556,MIN,SF,2023-10-23 16:04:00
65,Ray-Ray McCloud,36091,15.5,-109.0,under,Receiving Yards,Bovada,1,2023-10-24T00:15:00,0.5215311004784688,MIN,SF,2023-10-23 16:04:00
66,Ray-Ray McCloud,36091,1.5,-138.0,under,Receptions,888sports,1,2023-10-24T00:15:00,0.5798319327731093,MIN,SF,2023-10-23 16:04:00
67,Ray-Ray McCloud,36091,1.5,-135.0,under,Receptions,Underdog Fantasy,1,2023-10-24T00:15:00,0.574468085106383,MIN,SF,2023-10-23 16:04:00
68,Ray-Ray McCloud,36091,15.5,-135.0,under,Receiving Yards,Underdog Fantasy,1,2023-10-24T00:15:00,0.574468085106383,MIN,SF,2023-10-23 16:04:00
69,Ray-Ray McCloud,36091,14.5,-110.0,under,Receiving Yards,FanDuel,1,2023-10-24T00:15:00,0.5238095238095238,MIN,SF,2023-10-23 16:04:00
0,Cam Akers,2449,5.5,-108.0,over,Receiving Yards,BetOnline,1,2023-10-24T00:15:00,0.5192307692307693,MIN,SF,2023-10-23 16:04:00
1,Cam Akers,2449,15.5,100.0,over,Rush Yards,BetOnline,1,2023-10-24T00:15:00,0.5,MIN,SF,2023-10-23 16:04:00
2,Cam Akers,2449,5.5,-108.0,over,Receiving Yards,SportsBetting,1,2023-10-24T00:15:00,0.5192307692307693,MIN,SF,2023-10-23 16:04:00
3,Cam Akers,2449,15.5,100.0,over,Rush Yards,SportsBetting,1,2023-10-24T00:15:00,0.5,MIN,SF,2023-10-23 16:04:00
4,Cam Akers,2449,5.5,-108.0,over,Receiving Yards,Bovada,1,2023-10-24T00:15:00,0.5192307692307693,MIN,SF,2023-10-23 16:04:00
5,Cam Akers,2449,15.5,100.0,over,Rush Yards,Bovada,1,2023-10-24T00:15:00,0.5,MIN,SF,2023-10-23 16:04:00
6,Cam Akers,2449,5.5,-105.0,over,Receiving Yards,Pinnacle,1,2023-10-24T00:15:00,0.5121951219512195,MIN,SF,2023-10-23 16:04:00
7,Cam Akers,2449,1.5,187.0,over,Receptions,Pinnacle,1,2023-10-24T00:15:00,0.3484320557491289,MIN,SF,2023-10-23 16:04:00
8,Cam Akers,2449,15.5,113.0,over,Rush Yards,Pinnacle,1,2023-10-24T00:15:00,0.4694835680751174,MIN,SF,2023-10-23 16:04:00
9,Cam Akers,2449,5.5,-110.0,over,Receiving Yards,BetMGM,1,2023-10-24T00:15:00,0.5238095238095238,MIN,SF,2023-10-23 16:04:00
10,Cam Akers,2449,23.5,-115.0,over,Rush+Rec Yards,BetMGM,1,2023-10-24T00:15:00,0.5348837209302325,MIN,SF,2023-10-23 16:04:00
11,Cam Akers,2449,15.5,-110.0,over,Rush Yards,BetMGM,1,2023-10-24T00:15:00,0.5238095238095238,MIN,SF,2023-10-23 16:04:00
