,prop_id,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred,scrape_time
0,001b5ff5-4,Taurean Prince,43133,9.5,PTS+AST,3,2023-10-24T23:30:00,DEN,LAL,4,0.4792133315783057,0.5207866684216942,9.506826625825,2023-10-23 16:48:00-05:00
1,007003a6-2,RJ Barrett,43290,1.5,3P,3,2023-10-25T23:00:00,NYK,BOS,5,0.5347479232988313,0.4652520767011688,1.7895670713139462,2023-10-23 16:48:00-05:00
2,008edd5a-e,Bennedict Mathurin,43529,0.5,3P,3,2023-10-25T23:00:00,IND,WAS,3,0.6600121455232586,0.3399878544767415,1.0767251165496965,2023-10-23 16:48:00-05:00
3,00ae7b20-8,Jimmy Butler,43429,5.0,TRB,3,2023-10-25T23:30:00,MIA,DET,1,0.5,0.5,5.3337767124794295,2023-10-23 16:48:00-05:00
4,00ae7b20-8,Jimmy Butler,43429,5.5,TRB,3,2023-10-25T23:30:00,MIA,DET,2,0.4566795911173775,0.5433204088826225,5.3337767124794295,2023-10-23 16:48:00-05:00
5,010be3d8-9,Paolo Banchero,42838,0.5,STL,3,2023-10-25T23:00:00,ORL,HOU,3,0.5456319434624621,0.454368056537538,0.7872335011213116,2023-10-23 16:48:00-05:00
6,0151c613-2,Kevin Huerter,43496,5.5,TRB + AST,3,2023-10-26T01:00:00,UTA,SAC,3,0.5354270160259089,0.4645729839740911,5.9511816146841365,2023-10-23 16:48:00-05:00
7,0151c613-2,Kevin Huerter,43496,6.0,TRB + AST,3,2023-10-26T01:00:00,UTA,SAC,1,0.5,0.5,5.9511816146841365,2023-10-23 16:48:00-05:00
8,016e4ebd-5,José Abreu,42407,0.5,Total Hits,5,2023-10-24T00:03:00,HOU,TEX,3,,,0.5,2023-10-23 16:48:00-05:00
9,016e4ebd-5,José Abreu,42407,0.5,Total Hits,5,2023-10-24T00:03:00,HOU,TEX,4,,,0.5,2023-10-23 16:48:00-05:00
10,017f3089-f,Derrick White,42962,2.5,AST,3,2023-10-25T23:00:00,NYK,BOS,7,0.5169949779548301,0.48300502204517,2.741503673873947,2023-10-23 16:48:00-05:00
11,0183ce0c-0,Jusuf Nurkic,43154,2.5,AST,3,2023-10-25T02:00:00,GSW,PHX,13,0.494170865974262,0.5058291340257379,2.6485000393724647,2023-10-23 16:48:00-05:00
12,01c02319-5,Taurean Prince,43133,2.5,TRB,3,2023-10-24T23:30:00,DEN,LAL,4,0.4409748532122972,0.5590251467877028,2.443218120893248,2023-10-23 16:48:00-05:00
13,023988c1-3,Bennedict Mathurin,43529,5.5,TRB + AST,3,2023-10-25T23:00:00,IND,WAS,2,0.556547734789167,0.4434522652108331,6.060904007180665,2023-10-23 16:48:00-05:00
14,023988c1-3,Bennedict Mathurin,43529,6.0,TRB + AST,3,2023-10-25T23:00:00,IND,WAS,1,0.5,0.5,6.060904007180665,2023-10-23 16:48:00-05:00
15,024691b9-5,Stephen Curry,42631,35.5,PTS+TRB,3,2023-10-25T02:00:00,GSW,PHX,8,0.499016110762671,0.5009838892373292,35.66593237157157,2023-10-23 16:48:00-05:00
16,025bde18-9,Jaren Jackson,42485,20.5,PTS+AST,3,2023-10-26T00:00:00,MEM,NOP,6,0.5018056855630376,0.4981943144369624,20.688024744197715,2023-10-23 16:48:00-05:00
17,0292bede-3,George Pickens,39143,52.5,Receiving Yards,1,2023-10-29T17:00:00,PIT,JAX,2,0.5,0.5,52.68413202694259,2023-10-23 16:48:00-05:00
18,0296c843-2,Kirk Cousins,35272,36.5,Longest Pass Completion,1,2023-10-24T00:15:00,MIN,SF,12,0.5017888351623719,0.4982111648376281,36.7077114678394,2023-10-23 16:48:00-05:00
19,02be4ef6-9,John Collins,43567,17.5,PTS+TRB,3,2023-10-26T01:00:00,UTA,SAC,5,0.5018190753791565,0.4981809246208436,17.686129423654645,2023-10-23 16:48:00-05:00
20,035d0f34-3,Josh Giddey,42679,16.5,PTS,3,2023-10-26T00:00:00,CHI,OKC,7,0.5139286921117424,0.4860713078882576,16.81022413759481,2023-10-23 16:48:00-05:00
21,037e8236-6,Anfernee Simons,43387,8.0,TRB + AST,3,2023-10-26T02:30:00,LAC,POR,1,0.5,0.5,8.414033161083783,2023-10-23 16:48:00-05:00
22,037e8236-6,Anfernee Simons,43387,8.5,TRB + AST,3,2023-10-26T02:30:00,LAC,POR,4,0.4729182705272464,0.5270817294727537,8.414033161083783,2023-10-23 16:48:00-05:00
23,03954ada-6,Jrue Holiday,42798,23.5,PTS+AST,3,2023-10-25T23:00:00,NYK,BOS,7,0.4937853235821199,0.5062146764178801,23.591795903763103,2023-10-23 16:48:00-05:00
24,03b4e29b-3,Mitchell Robinson,43549,1.5,BLK,3,2023-10-25T23:00:00,NYK,BOS,4,0.4862769699010874,0.5137230300989126,1.6327923718355566,2023-10-23 16:48:00-05:00
25,03fadd99-c,Danielle Hunter,36102,3.5,Tackles and Assists,1,2023-10-24T00:15:00,MIN,SF,3,0.571808109606421,0.4281918903935788,4.024547792653946,2023-10-23 16:48:00-05:00
26,04018a74-4,Mitchell Robinson,43549,6.5,PTS,3,2023-10-25T23:00:00,NYK,BOS,5,0.512476667415979,0.487523332584021,6.8945227884936005,2023-10-23 16:48:00-05:00
27,04018a74-4,Mitchell Robinson,43549,7.0,PTS,3,2023-10-25T23:00:00,NYK,BOS,1,0.5,0.5,6.8945227884936005,2023-10-23 16:48:00-05:00
28,04018a74-4,Mitchell Robinson,43549,7.5,PTS,3,2023-10-25T23:00:00,NYK,BOS,1,0.453298796282188,0.5467012037178121,6.8945227884936005,2023-10-23 16:48:00-05:00
29,0415bf6a-1,Tyrese Haliburton,42813,3.5,TRB,3,2023-10-25T23:00:00,IND,WAS,5,0.5449044085093339,0.4550955914906661,3.8888928181390425,2023-10-23 16:48:00-05:00
30,048981ac-9,Kawhi Leonard,42597,2.5,3P,3,2023-10-26T02:30:00,LAC,POR,3,0.4018920647023749,0.5981079352976251,2.2942744860713407,2023-10-23 16:48:00-05:00
31,05583a63-2,Tua Tagovailoa,35383,272.5,Passing Yards,1,2023-10-29T17:00:00,MIA,NE,1,0.5,0.5,277.20727998452224,2023-10-23 16:48:00-05:00
32,05583a63-2,Tua Tagovailoa,35383,281.5,Passing Yards,1,2023-10-29T17:00:00,MIA,NE,1,0.5,0.5,277.20727998452224,2023-10-23 16:48:00-05:00
33,057dfb08-3,Jalen Williams,241037,1.5,BLK + STL,3,2023-10-26T00:00:00,CHI,OKC,4,0.5072497269304931,0.4927502730695069,1.6993246831361253,2023-10-23 16:48:00-05:00
34,05a1ca30-9,Anfernee Simons,43387,0.5,STL,3,2023-10-26T02:30:00,LAC,POR,2,0.5628722667123228,0.4371277332876771,0.8257533009568356,2023-10-23 16:48:00-05:00
35,05babd04-7,Myles Turner,42819,1.5,TO,3,2023-10-25T23:00:00,IND,WAS,3,0.4613036039209557,0.5386963960790442,1.555985160888893,2023-10-23 16:48:00-05:00
36,05fac933-2,Mike Conley,43358,0.5,BLK,3,2023-10-25T23:30:00,TOR,MIN,3,0.2353701168315831,0.7646298831684168,0.2686256849537537,2023-10-23 16:48:00-05:00
37,06241487-3,Jordan Addison,410075,48.5,Rush+Rec Yards,1,2023-10-24T00:15:00,MIN,SF,1,0.5,0.5,50.13943580077023,2023-10-23 16:48:00-05:00
38,06241487-3,Jordan Addison,410075,49.5,Rush+Rec Yards,1,2023-10-24T00:15:00,MIN,SF,1,0.5,0.5,50.13943580077023,2023-10-23 16:48:00-05:00
39,06241487-3,Jordan Addison,410075,50.5,Rush+Rec Yards,1,2023-10-24T00:15:00,MIN,SF,4,0.4963279096812645,0.5036720903187355,50.13943580077023,2023-10-23 16:48:00-05:00
40,062a22ef-f,Rui Hachimura,42896,0.5,AST,3,2023-10-24T23:30:00,DEN,LAL,2,0.635922193049321,0.364077806950679,1.0081769918922372,2023-10-23 16:48:00-05:00
41,06342abf-f,Kyle Tucker,42270,0.5,Home Runs,5,2023-10-24T00:03:00,HOU,TEX,5,,,0.5,2023-10-23 16:48:00-05:00
42,06342abf-f,Kyle Tucker,42270,0.5,Home Runs,5,2023-10-24T00:03:00,HOU,TEX,7,,,0.5,2023-10-23 16:48:00-05:00
43,06d504b5-d,Taurean Prince,43133,3.5,TRB + AST,3,2023-10-24T23:30:00,DEN,LAL,4,0.4871792787930423,0.5128207212069578,3.608861626381968,2023-10-23 16:48:00-05:00
44,06ea190b-9,Pascal Siakam,43005,0.5,BLK,3,2023-10-25T23:30:00,TOR,MIN,4,0.3288471762381907,0.6711528237618092,0.3992106355427596,2023-10-23 16:48:00-05:00
45,0704ba4a-e,Jonas Valanciunas,42511,14.5,PTS+AST,3,2023-10-26T00:00:00,MEM,NOP,4,0.5101541163213071,0.4898458836786928,14.906897602777793,2023-10-23 16:48:00-05:00
46,0704ba4a-e,Jonas Valanciunas,42511,15.5,PTS+AST,3,2023-10-26T00:00:00,MEM,NOP,1,0.4796954314720812,0.5203045685279188,14.906897602777793,2023-10-23 16:48:00-05:00
47,070f2773-7,Mark Williams,238574,21.0,PTS+TRB,3,2023-10-25T23:00:00,CHA,ATL,1,0.5,0.5,21.456202157961908,2023-10-23 16:48:00-05:00
48,070f2773-7,Mark Williams,238574,21.5,PTS+TRB,3,2023-10-25T23:00:00,CHA,ATL,3,0.4901808005837397,0.5098191994162603,21.456202157961908,2023-10-23 16:48:00-05:00
49,071c8f27-1,Alperen Sengun,43037,13.5,TRB + AST,3,2023-10-25T23:00:00,ORL,HOU,7,0.4916147888058246,0.5083852111941753,13.589036064930667,2023-10-23 16:48:00-05:00
