,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred
0,A.J. Brown,38856,5.5,bt15,1,2023-10-23T00:20:00,PHI,MIA,16,0.5126255865368695,0.4873744134631303,5.742798913673535
1,A.J. Brown,38856,27.5,bt66,1,2023-10-23T00:20:00,PHI,MIA,12,0.5048279117782629,0.495172088221737,27.740650912635378
2,A.J. Brown,38856,79.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,10,0.5004439696818628,0.4995560303181372,80.4584243960266
3,A.J. Brown,38856,80.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,6,0.4982931658360073,0.5017068341639925,80.4584243960266
4,A.J. Brown,38856,82.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,1,0.5,0.5,80.4584243960266
5,A.J. Brown,38856,84.5,Receiving Yards,1,2023-10-23T00:20:00,PHI,MIA,1,0.5,0.5,80.4584243960266
6,AJ Barner,144463,11.5,Receiving Yards,2,2023-10-21T23:30:00,MSU,MICH,1,0.5,0.5,12.114103765691532
7,AJ Barner,144463,12.5,Receiving Yards,2,2023-10-21T23:30:00,MSU,MICH,1,0.488167080818838,0.511832919181162,12.114103765691532
8,AJ Dillon,39136,10.5,Rush Attempts,1,2023-10-22T20:25:00,DEN,GB,2,0.5224651213885533,0.4775348786114468,10.851317642548752
9,AJ Dillon,39136,38.5,Rush Yards,1,2023-10-22T20:25:00,DEN,GB,1,0.5,0.5,39.55630885850197
10,AJ Dillon,39136,39.5,Rush Yards,1,2023-10-22T20:25:00,DEN,GB,10,0.4935983262487325,0.5064016737512673,39.55630885850197
11,AJ Dillon,39136,40.5,Rush Yards,1,2023-10-22T20:25:00,DEN,GB,1,0.4693877551020409,0.5306122448979592,39.55630885850197
12,Aaron Donald,37648,10.5,bt66,1,2023-10-22T20:25:00,KC,LAC,1,0.4898785425101215,0.5101214574898786,10.584784309651678
13,Aaron Donald,37648,14.5,Receiving Yards,1,2023-10-22T20:25:00,KC,LAC,5,0.4981745052175488,0.501825494782451,14.64852068616467
14,Aaron Gordon,42722,0.5,3P,3,2023-10-24T23:30:00,DEN,LAL,1,0.5828822517990193,0.4171177482009807,0.8727643812194027
15,Aaron Gordon,42722,2.5,AST,3,2023-10-24T23:30:00,DEN,LAL,2,0.5189550132627709,0.481044986737229,2.7495416158206867
16,Aaron Gordon,42722,6.0,TRB,3,2023-10-24T23:30:00,DEN,LAL,1,0.5,0.5,6.256873501494377
17,Aaron Gordon,42722,6.5,TRB,3,2023-10-24T23:30:00,DEN,LAL,1,0.449438202247191,0.550561797752809,6.256873501494377
18,Aaron Gordon,42722,8.5,TRB + AST,3,2023-10-24T23:30:00,DEN,LAL,1,0.5467012037178121,0.453298796282188,9.015330941032298
19,Aaron Gordon,42722,14.5,PTS,3,2023-10-24T23:30:00,DEN,LAL,3,0.4873386334459921,0.5126613665540078,14.546379000779783
20,Aaron Gordon,42722,17.5,PTS+AST,3,2023-10-24T23:30:00,DEN,LAL,1,0.4710743801652893,0.5289256198347108,17.373873531071585
21,Aaron Gordon,42722,20.5,PTS+TRB,3,2023-10-24T23:30:00,DEN,LAL,1,0.5,0.5,20.667485373172106
22,Aaron Gordon,42722,23.5,PTS+TRB+AST,3,2023-10-24T23:30:00,DEN,LAL,2,0.4980050171695863,0.5019949828304138,23.643074869300783
23,Aaron Jones,34136,12.5,bt66,1,2023-10-22T20:25:00,DEN,GB,10,0.4816621816178477,0.5183378183821522,12.5
24,Aaron Jones,34136,14.5,Rush Attempts,1,2023-10-22T20:25:00,DEN,GB,7,0.4971091270908406,0.5028908729091593,14.63845796300083
25,Aaron Jones,34136,19.5,Receiving Yards,1,2023-10-22T20:25:00,DEN,GB,2,0.5,0.5,20.435771252232765
26,Aaron Jones,34136,20.5,Receiving Yards,1,2023-10-22T20:25:00,DEN,GB,11,0.4919513143122139,0.508048685687786,20.435771252232765
27,Aaron Jones,34136,48.5,Rush Yards,1,2023-10-22T20:25:00,DEN,GB,6,0.5,0.5,49.81064613220503
28,Aaron Jones,34136,49.5,Rush Yards,1,2023-10-22T20:25:00,DEN,GB,1,0.5,0.5,49.81064613220503
29,Aaron Jones,34136,50.5,Rush Yards,1,2023-10-22T20:25:00,DEN,GB,10,0.4907272573473742,0.5092727426526258,49.81064613220503
30,Aaron Jones,34136,70.5,Rush+Rec Yards,1,2023-10-22T20:25:00,DEN,GB,2,0.5050698406080019,0.4949301593919982,74.43447968784977
31,Aaron Jones,34136,75.5,Rush+Rec Yards,1,2023-10-22T20:25:00,DEN,GB,6,0.4982216055530414,0.5017783944469586,74.43447968784977
32,Adonai Mitchell,212237,3.5,bt15,2,2023-10-21T20:00:00,HOU,TEX,3,0.4986684024654387,0.5013315975345614,3.66352347463089
33,Adonai Mitchell,212237,47.5,Receiving Yards,2,2023-10-21T20:00:00,HOU,TEX,4,0.5048739392665117,0.4951260607334884,49.91974942415222
34,Adonai Mitchell,212237,50.5,Receiving Yards,2,2023-10-21T20:00:00,HOU,TEX,3,0.4773429454170958,0.5226570545829042,49.91974942415222
35,Adonai Mitchell,212237,53.5,Receiving Yards,2,2023-10-21T20:00:00,HOU,TEX,2,0.5,0.5,49.91974942415222
36,Aidan Hutchinson,34240,0.25,Sacks,1,2023-10-22T17:00:00,BAL,DET,2,0.5048789602624257,0.4951210397375743,0.6981469307449859
37,Aidan Hutchinson,34240,0.5,Sacks,1,2023-10-22T17:00:00,BAL,DET,1,0.5,0.5,0.6981469307449859
38,Alan Bowman,223475,1.5,Pass Touchdowns,2,2023-10-21T19:30:00,WVU,OKS,6,0.4572808307516987,0.5427191692483013,1.5436383552809498
39,Alan Bowman,223475,1.5,Pass Yards,2,2023-10-21T19:30:00,WVU,OKS,1,0.4592085979482169,0.5407914020517831,213.1773490479657
40,Alan Bowman,223475,242.5,Pass Yards,2,2023-10-21T19:30:00,WVU,OKS,4,0.5147171814347336,0.4852828185652664,213.1773490479657
41,Alan Bowman,223475,243.5,Pass Yards,2,2023-10-21T19:30:00,WVU,OKS,3,0.4969046636401156,0.5030953363598845,213.1773490479657
42,Alec Bohm,39636,0.5,Home Runs,5,2023-10-21T00:07:00,ARI,PHI,4,,,0.5
43,Alec Bohm,39636,0.5,Home Runs,5,2023-10-21T00:07:00,ARI,PHI,6,,,0.5
44,Alec Bohm,39636,0.5,Total Hits,5,2023-10-21T00:07:00,ARI,PHI,1,,,1.2069367535171942
45,Alec Bohm,39636,1.5,Total Hits,5,2023-10-21T00:07:00,ARI,PHI,12,0.3605930075972774,0.6394069924027225,1.2069367535171942
46,Alek Thomas,41381,0.5,Home Runs,5,2023-10-21T00:07:00,ARI,PHI,1,,,0.5
47,Alek Thomas,41381,0.5,Total Hits,5,2023-10-21T00:07:00,ARI,PHI,3,,,0.5
48,Alek Thomas,41381,0.5,Total Hits,5,2023-10-21T00:07:00,ARI,PHI,4,,,0.5
49,Alex Anzalone,34194,8.5,Tackles+Ast,1,2023-10-22T17:00:00,BAL,DET,3,0.4444453859433407,0.5555546140566594,8.270993062793377
50,Alex Bullock,143746,12.5,Receiving Yards,2,2023-10-21T19:30:00,NEB,NW,2,0.4980928343322282,0.5019071656677718,12.650176492831106
51,Alex Singleton,35503,8.5,Tackles+Ast,1,2023-10-22T20:25:00,DEN,GB,3,0.5537616980916878,0.4462383019083122,9.068906957725892
52,Alexander Bregman,41839,0.5,Home Runs,5,2023-10-20T21:07:00,TEX,HOU,4,,,0.5
53,Alexander Bregman,41839,0.5,Home Runs,5,2023-10-20T21:07:00,TEX,HOU,6,,,0.5
54,Alexander Bregman,41839,0.5,Total Hits,5,2023-10-20T21:07:00,TEX,HOU,12,,,0.5
55,Alexander Bregman,41839,0.5,Total Hits,5,2023-10-20T21:07:00,TEX,HOU,13,,,0.5
56,Alexander Mattison,38241,10.5,bt66,1,2023-10-24T00:15:00,MIN,SF,11,0.4903708500968883,0.5096291499031117,10.58872582668548
57,Alexander Mattison,38241,12.5,Rush Attempts,1,2023-10-24T00:15:00,MIN,SF,8,0.4995705230058261,0.5004294769941738,12.663231110885157
