,player,team,line,stat,league,date,time
1361,Pierre-Luc Dubois,COL,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1362,Trevor Moore,COL,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1363,Valeri Nichushkin,LA,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1364,Brock Boeser,EDM,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1365,Connor McDavid,VAN,4.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1366,Travis Etienne,IND,0.5,Pass+Rush+Rec TDs,9,2023-10-15,2023-10-11 13:51:00
1367,Travis Etienne,IND,68.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1368,Conor Garland,EDM,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1369,Darnell Nurse,VAN,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1370,Elias Pettersson,EDM,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1371,Evan Bouchard,VAN,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1372,J.T. Miller,EDM,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1373,Evander Kane,VAN,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1374,Leon Draisaitl,VAN,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1375,Quinn Hughes,EDM,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1376,Calvin Ridley,IND,64.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1377,Ryan Nugent-Hopkins,VAN,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1378,Zach Hyman,VAN,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1379,Christian Kirk,IND,59.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1380,Alex Iafallo,CGY,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1381,Andrew Mangiapane,WPG,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1382,Kyle Connor,CGY,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1383,Elias Lindholm,WPG,2.5,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1384,Mark Scheifele,CGY,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1385,MacKenzie Weegar,WPG,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1386,Nikolaj Ehlers,CGY,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1387,Mikael Backlund,WPG,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1388,Nino Niederreiter,CGY,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1389,Nazem Kadri,WPG,3.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1390,Matt Olson,PHI,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1391,Noah Hanifin,WPG,2.0,Shots On Goal,8,2023-10-11,2023-10-11 13:51:00
1392,Marcell Ozuna,PHI,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1393,Bryson Stott,ATL,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1394,Austin Riley,PHI,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1395,J.T. Realmuto,ATL,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1396,Bryce Harper,ATL,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1397,Matt Olson,PHI,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1398,Ronald Acuna Jr. + Bryce Harper,PHI/ATL,4.0,Hits+Runs+RBIs (Combo),2,2023-10-11,2023-10-11 13:51:00
1399,Matt Olson + Trea Turner,PHI/ATL,4.0,Hits+Runs+RBIs (Combo),2,2023-10-11,2023-10-11 13:51:00
1400,Tua Tagovailoa,CAR,284.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1401,Jose Urquidy + Joe Ryan,MIN/HOU,0.5,1st Inning Runs Allowed,2,2023-10-11,2023-10-11 13:51:00
1402,Jose Altuve + Carlos Correa,MIN/HOU,3.5,Hits+Runs+RBIs (Combo),2,2023-10-11,2023-10-11 13:51:00
1403,Trevor Lawrence,IND,247.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1404,Carlos Correa,HOU,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1405,Alex Bregman,MIN,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1406,Yordan Alvarez + Edouard Julien,MIN/HOU,3.5,Hits+Runs+RBIs (Combo),2,2023-10-11,2023-10-11 13:51:00
1407,Alex Kirilloff,HOU,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1408,Kyle Tucker,MIN,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1409,Jorge Polanco,HOU,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1410,Max Kepler,HOU,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1411,Royce Lewis,HOU,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1412,Edouard Julien,HOU,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1413,Yordan Alvarez,MIN,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1414,Tyreek Hill,CAR,91.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1415,Tyreek Hill,CAR,0.5,Pass+Rush+Rec TDs,9,2023-10-15,2023-10-11 13:51:00
1416,Jorge Polanco,HOU,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1417,Edouard Julien,HOU,0.5,Total Bases,2,2023-10-11,2023-10-11 13:51:00
1418,Adam Thielen,MIA,68.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1419,Jaylen Waddle,CAR,63.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1420,Matt Wallner,HOU,0.5,Total Bases,2,2023-10-11,2023-10-11 13:51:00
1421,Christian Walker,LAD,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1422,Freddie Freeman + Corbin Carroll,ARI/LAD,4.0,Hits+Runs+RBIs (Combo),2,2023-10-11,2023-10-11 13:51:00
1423,Mookie Betts + Ketel Marte,ARI/LAD,4.0,Hits+Runs+RBIs (Combo),2,2023-10-11,2023-10-11 13:51:00
1424,J.D. Martinez,ARI,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1425,Gabriel Moreno,LAD,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1426,Max Muncy,ARI,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1427,Lourdes Gurriel Jr.,LAD,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1428,Tommy Pham,LAD,1.5,Hits+Runs+RBIS,2,2023-10-11,2023-10-11 13:51:00
1429,Freddie Freeman,ARI,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1430,Corbin Carroll,LAD,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1431,Mookie Betts,ARI,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1432,Ketel Marte,LAD,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1433,Max Muncy,ARI,0.5,Runs,2,2023-10-11,2023-10-11 13:51:00
1434,David Peralta,ARI,0.5,Hitter Strikeouts,2,2023-10-11,2023-10-11 13:51:00
1435,Jason Heyward,ARI,0.5,Hitter Strikeouts,2,2023-10-11,2023-10-11 13:51:00
1436,Freddie Freeman,ARI,1.5,Total Bases,2,2023-10-11,2023-10-11 13:51:00
1437,Evan Longoria,LAD,0.5,Total Bases,2,2023-10-11,2023-10-11 13:51:00
1438,Mookie Betts,ARI,1.5,Total Bases,2,2023-10-11,2023-10-11 13:51:00
1439,Geraldo Perdomo,LAD,0.5,Total Bases,2,2023-10-11,2023-10-11 13:51:00
1440,Auston Matthews + Cole Caufield,MTL/TOR,7.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1441,Justin Fields,Weeks 6-9,799.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1442,Auston Matthews,MTL,20.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1443,Justin Fields,Weeks 6-9,5.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
1444,Cole Caufield,TOR,18.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1445,William Nylander + Mitch Marner,MTL,6.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1446,Sebastian Aho + Brady Tkachuk,OTT/CAR,7.0,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1447,Rachaad White,DET,51.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1448,Morgan Rielly,MTL,21.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1449,Tim Stutzle + Drake Batherson,CAR,5.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1450,Michael Matheson,TOR,24.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1451,D.J. Moore,Weeks 6-9,265.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1452,D.J. Moore,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1453,Brent Burns + Martin Necas,OTT,7.0,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1454,Jake McCabe,MTL,20.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1455,David Pastrnak + Connor Bedard,CHI/BOS,8.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1456,David Savard,TOR,22.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1457,D.J. Moore,Weeks 6-9,18.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1458,Sebastian Aho,OTT,19.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1459,Brad Marchand + Jake DeBrusk,CHI,5.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1460,Nathan MacKinnon + Adrian Kempe,LA/COL,8.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1461,Brady Tkachuk,CAR,18.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1462,Brent Burns,OTT,23.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1463,Thomas Chabot,CAR,25.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1464,Connor McDavid + Brock Boeser,EDM/VAN,6.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1465,Leon Draisaitl + Evander Kane,VAN,6.0,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1466,Mike Evans,DET,60.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1467,Brett Pesce,OTT,21.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1468,Jakob Chychrun,CAR,22.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1469,Elias Pettersson + J.T. Miller,EDM,6.0,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1470,David Pastrnak,CHI,20.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1471,Nazem Kadri + Kyle Connor,WPG/CGY,6.5,Shots On Goal (Combo),8,2023-10-11,2023-10-11 13:51:00
1472,Connor Bedard,BOS,21.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1473,Charlie McAvoy,CHI,22.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1474,Connor Murphy,BOS,18.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1475,Hampus Lindholm,CHI,23.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1476,Seth Jones,BOS,24.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1477,Anze Kopitar,COL,20.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1478,Nathan MacKinnon,LA,22.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1479,Drew Doughty,COL,26.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1480,Cale Makar,LA,26.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1481,Vladislav Gavrikov,COL,22.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1482,Bowen Byram,LA,21.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1483,Elias Pettersson,EDM,20.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1484,Connor McDavid,VAN,23.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1485,Quinn Hughes,EDM,26.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1486,Mattias Ekholm,VAN,21.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1487,Filip Hronek,EDM,22.25,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1488,Darnell Nurse,VAN,23.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1489,Elias Lindholm,WPG,18.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1490,Kyle Connor,CGY,20.5,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1491,MacKenzie Weegar,WPG,20.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1492,Josh Morrissey,CGY,24.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1493,Noah Hanifin,WPG,22.75,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1494,Neal Pionk,CGY,22.0,Time On Ice,8,2023-10-11,2023-10-11 13:51:00
1495,Michael Pittman Jr.,Weeks 6-9,255.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1496,Joshua Dobbs,LAR,199.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1497,Matt Gay,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1498,Matthew Stafford,ARI,268.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1499,Matt Gay,Weeks 6-9,7.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1500,Brett Maher,ARI,7.5,Kicking Points,9,2023-10-15,2023-10-11 13:51:00
1501,Brett Maher,ARI,1.5,FG Made,9,2023-10-15,2023-10-11 13:51:00
1502,Matt Prater,LAR,1.5,FG Made,9,2023-10-15,2023-10-11 13:51:00
1503,Matt Prater,LAR,6.5,Kicking Points,9,2023-10-15,2023-10-11 13:51:00
1504,Cooper Kupp,ARI,87.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1505,Marquise Brown,LAR,54.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1506,Bryce Elder + Aaron Nola,PHI/ATL,8.0,Pitcher Strikeouts (Combo),2,2023-10-11,2023-10-11 13:51:00
1507,Puka Nacua,ARI,71.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1508,Aaron Nola + Joe Ryan,ATL/HOU,9.5,Pitcher Strikeouts (Combo),2,2023-10-11,2023-10-11 13:51:00
1509,Desmond Ridder,Weeks 6-9,799.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1510,Zach Wilson,PHI,192.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1511,Jalen Hurts,NYJ,239.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1512,Jalen Hurts,NYJ,0.5,Rush+Rec TDs,9,2023-10-15,2023-10-11 13:51:00
1513,Jose Urquidy + Joe Ryan,MIN/HOU,8.0,Pitcher Strikeouts (Combo),2,2023-10-11,2023-10-11 13:51:00
1514,Desmond Ridder,Weeks 6-9,4.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
1515,Breece Hall,PHI,61.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1516,Drake London,Weeks 6-9,199.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1517,D'Andre Swift,NYJ,64.5,Rush Yards,9,2023-10-15,2023-10-11 13:51:00
1518,Drake London,Weeks 6-9,16.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1519,Younghoe Koo,Weeks 6-9,7.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1520,Younghoe Koo,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1521,Jessie Bates III,Weeks 6-9,0.5,INT,263,2023-10-12,2023-10-11 13:51:00
1522,A.J. Brown,NYJ,77.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1523,Garrett Wilson,PHI,55.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1524,DeVonta Smith,NYJ,63.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1525,Lance Lynn + Brandon Pfaadt,ARI/LAD,7.5,Pitcher Strikeouts (Combo),2,2023-10-11,2023-10-11 13:51:00
1526,Dallas Goedert,NYJ,41.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1527,Josh Allen,NYG,263.5,Pass Yards,9,2023-10-15,2023-10-11 13:51:00
1528,Stefon Diggs,NYG,84.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1529,Gabriel Davis,NYG,45.5,Receiving Yards,9,2023-10-15,2023-10-11 13:51:00
1530,Dak Prescott,LAC,248.5,Pass Yards,9,2023-10-16,2023-10-11 13:51:00
1531,Joshua Dobbs,Weeks 6-9,4.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
1532,Joshua Dobbs,Weeks 6-9,845.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1533,Justin Herbert,DAL,283.5,Pass Yards,9,2023-10-16,2023-10-11 13:51:00
1534,Marquise Brown,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1535,Marquise Brown,Weeks 6-9,20.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1536,Marquise Brown,Weeks 6-9,259.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1537,Matt Prater,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1538,Budda Baker,Weeks 6-9,0.5,INT,263,2023-10-12,2023-10-11 13:51:00
1539,Tony Pollard,LAC,70.5,Rush Yards,9,2023-10-16,2023-10-11 13:51:00
1540,Matt Prater,Weeks 6-9,6.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1541,CeeDee Lamb,LAC,69.5,Receiving Yards,9,2023-10-16,2023-10-11 13:51:00
1542,Keenan Allen,DAL,74.5,Receiving Yards,9,2023-10-16,2023-10-11 13:51:00
1543,Geno Smith,Weeks 6-9,985.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1544,D.K. Metcalf,Weeks 6-9,261.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1545,D.K. Metcalf,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1546,D.K. Metcalf,Weeks 6-9,18.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1547,Tyler Lockett,Weeks 6-9,232.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1548,Tyler Lockett,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1549,Tyler Lockett,Weeks 6-9,18.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1550,Jason Myers,Weeks 6-9,7.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1551,Jason Myers,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1552,Devon Witherspoon,Weeks 6-9,0.5,INT,263,2023-10-12,2023-10-11 13:51:00
1553,Chris Olave,Weeks 6-9,265.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1554,Chris Olave,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1555,Chris Olave,Weeks 6-9,18.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1556,Michael Thomas,Weeks 6-9,225.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1557,Michael Thomas,Weeks 6-9,20.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1558,Graham Gano,Weeks 6-9,6.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1559,Graham Gano,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1560,Ilya Samsonov,MTL,26.0,Goalie Saves,8,2023-10-11,2023-10-11 13:51:00
1561,Jake Allen,TOR,30.5,Goalie Saves,8,2023-10-11,2023-10-11 13:51:00
1562,Arvid Soderblom,BOS,30.5,Goalie Saves,8,2023-10-11,2023-10-11 13:51:00
1563,Linus Ullmark,CHI,25.5,Goalie Saves,8,2023-10-11,2023-10-11 13:51:00
1564,Auston Matthews,MTL,0.5,Goals,8,2023-10-11,2023-10-11 13:51:00
1565,David Pastrnak,CHI,0.5,Goals,8,2023-10-11,2023-10-11 13:51:00
1566,Connor McDavid,VAN,0.5,Goals,8,2023-10-11,2023-10-11 13:51:00
1567,Leon Draisaitl,VAN,0.5,Goals,8,2023-10-11,2023-10-11 13:51:00
1568,Jimmy Garoppolo,Weeks 6-9,940.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1569,Jakobi Meyers,Weeks 6-9,249.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1570,Jakobi Meyers,Weeks 6-9,1.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1571,Jakobi Meyers,Weeks 6-9,21.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1572,Daniel Carlson,Weeks 6-9,6.5,FG Made,263,2023-10-12,2023-10-11 13:51:00
1573,Daniel Carlson,Weeks 6-9,1.5,50+ Yard FG Made,263,2023-10-12,2023-10-11 13:51:00
1574,Woro2k,B8,33.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1575,Baker Mayfield,Weeks 6-9,855.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1576,sdy,B8,30.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1577,DemQQ,B8,30.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1578,Baker Mayfield,Weeks 6-9,5.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
1579,kRaSnaL,B8,28.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1580,Rachaad White,Weeks 6-9,1.5,Rush TDs,263,2023-10-12,2023-10-11 13:51:00
1581,br0,B8,27.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1582,r1nkle,Monte,28.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1583,Rachaad White,Weeks 6-9,0.5,Rec TDs,263,2023-10-12,2023-10-11 13:51:00
1584,Mike Evans,Weeks 6-9,275.5,Receiving Yards,263,2023-10-12,2023-10-11 13:51:00
1585,cptkurtka023,Monte,28.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1586,OWNER,Monte,27.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1587,Mike Evans,Weeks 6-9,19.5,Receptions,263,2023-10-12,2023-10-11 13:51:00
1588,npl,Monte,25.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1589,Jamel Dean,Weeks 6-9,0.5,INT,263,2023-10-12,2023-10-11 13:51:00
1590,amster,Monte,21.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1591,Woro2k,B8,12.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1592,sdy,B8,14.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1593,DemQQ,B8,15.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1594,kRaSnaL,B8,14.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1595,br0,B8,16.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1596,r1nkle,Monte,11.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1597,cptkurtka023,Monte,17.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1598,OWNER,Monte,15.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1599,npl,Monte,14.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1600,amster,Monte,10.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1601,TruNiQ,FORZE,32.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1602,leri511,FORZE,31.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1603,fozil,FORZE,30.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1604,enzero,FORZE,26.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1605,Vert,FORZE,24.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1606,r3salt,Space,31.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1607,shalfey,Space,30.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1608,sstiNiX,Space,28.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1609,tN1R,Space,26.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1610,matusik,Space,27.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1611,TruNiQ,FORZE,17.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1612,leri511,FORZE,10.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1613,fozil,FORZE,17.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1614,enzero,FORZE,14.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1615,Vert,FORZE,12.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1616,r3salt,Space,20.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1617,shalfey,Space,14.5,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1618,sstiNiX,Space,17.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1619,tN1R,Space,16.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1620,matusik,Space,10.0,MAPS 1-2 Headshots,265,2023-10-12,2023-10-11 13:51:00
1621,BOROS,PARIVISION,33.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1622,lauNX,PARIVISION,29.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1623,bodyy,PARIVISION,29.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1624,mhL,PARIVISION,30.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1625,NBK-,PARIVISION,24.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1626,BELCHONOKK,Falcons,30.0,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1627,xsepower,Falcons,27.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
1628,X5G7V,Falcons,28.5,MAPS 1-2 Kills,265,2023-10-12,2023-10-11 13:51:00
