,player,team,line,stat,league,date,time
1156,Kyrie Irving,2023-2024 Season,5.5,Double-Doubles,173,2023-10-25,2023-10-11 13:51:00
1157,Keldon Johnson,2023-2024 Season,20.8,Points Per Game AVG,173,2023-10-25,2023-10-11 13:51:00
1158,Quinn,nouns (MAPS 1-2 Kills),16.0,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1159,K1,GG (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1160,Gunnar,GG (MAPS 1-2 Kills),8.5,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1161,Timado,Quest (MAPS 1-2 Kills),12.0,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1162,Bryle,Quest (MAPS 1-2 Kills),12.5,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1163,TA2000,TSM (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1164,No!ob,TSM (MAPS 1-2 Kills),14.5,MAPS 1-2 Kills,174,2023-10-12,2023-10-11 13:51:00
1165,Paul George,2023-2024 Season,4.5,Technical Fouls,173,2023-10-25,2023-10-11 13:51:00
1166,Donovan Smith,WVU,26.5,Rush Yards,15,2023-10-12,2023-10-11 13:51:00
1167,Lamar Jackson,Weeks 6-9,5.5,Pass TDs,263,2023-10-12,2023-10-11 13:51:00
1168,Donovan Smith,WVU,260.5,Pass Yards,15,2023-10-12,2023-10-11 13:51:00
1169,Donovan Smith,WVU,1.5,Pass TDs,15,2023-10-12,2023-10-11 13:51:00
1170,Donovan Smith,WVU,287.5,Pass+Rush Yds,15,2023-10-12,2023-10-11 13:51:00
1171,Lamar Jackson,Weeks 6-9,865.5,Pass Yards,263,2023-10-12,2023-10-11 13:51:00
1172,Garrett Greene,HOU,51.5,Rush Yards,15,2023-10-12,2023-10-11 13:51:00
1173,Garrett Greene,HOU,182.5,Pass Yards,15,2023-10-12,2023-10-11 13:51:00
1174,Garrett Greene,HOU,0.5,Pass INTs,15,2023-10-12,2023-10-11 13:51:00
