,player,player_id,line,stat,league_id,event_time,Opp,Team,count,over_prob,under_prob,pred
40,Adam Thielen,36815,53.5,bt68,1,2023-10-08T17:00:00,DET,CAR,5,0.4973379487353044,0.5026620512646955,53.63492098672292
41,Adley Rutschman,42388,0.5,Home Runs,5,2023-10-07T17:03:00,BAL,TEX,3,,,0.5
42,Adley Rutschman,42388,0.5,Home Runs,5,2023-10-07T17:03:00,BAL,TEX,5,,,0.5
43,Adley Rutschman,42388,0.5,Total Hits,5,2023-10-07T17:03:00,BAL,TEX,6,,,0.5
44,Adley Rutschman,42388,0.5,Total Hits,5,2023-10-07T17:03:00,BAL,TEX,7,,,0.5
45,Adonai Mitchell,212237,4.5,bt15,2,2023-10-07T16:00:00,TEX,OKL,2,0.4266268260292164,0.5733731739707836,4.288476291540385
46,Adonai Mitchell,212237,56.5,bt16,2,2023-10-07T16:00:00,TEX,OKL,3,0.5,0.5,60.22732284041828
47,Adonai Mitchell,212237,59.5,bt16,2,2023-10-07T16:00:00,TEX,OKL,2,0.4947698744769875,0.5052301255230125,60.22732284041828
48,Adonai Mitchell,212237,65.5,bt16,2,2023-10-07T16:00:00,TEX,OKL,1,0.5,0.5,60.22732284041828
49,Adonai Mitchell,212237,66.5,bt16,2,2023-10-07T16:00:00,TEX,OKL,1,0.5,0.5,60.22732284041828
50,Adoree' Jackson,33960,4.5,bt57,1,2023-10-08T17:00:00,MIA,NYG,1,0.4164924830074163,0.5835075169925836,4.236140940675948
51,Ahmari Huggins-Bruce,225378,26.5,bt16,2,2023-10-07T23:30:00,LOU,ND,2,0.5020774472328402,0.4979225527671597,27.43798827952396
52,Ahmari Huggins-Bruce,225378,27.5,bt16,2,2023-10-07T23:30:00,LOU,ND,7,0.4981506825112539,0.5018493174887463,27.43798827952396
53,Ainias Smith,64210,4.0,bt15,2,2023-10-07T19:30:00,TXAM,BAMA,1,0.5,0.5,4.159760045749018
54,Ainias Smith,64210,49.5,bt16,2,2023-10-07T19:30:00,TXAM,BAMA,3,0.4966095826179793,0.5033904173820206,51.49052052786541
55,Ainias Smith,64210,50.5,bt16,2,2023-10-07T19:30:00,TXAM,BAMA,1,0.5,0.5,51.49052052786541
56,Ainias Smith,64210,53.5,bt16,2,2023-10-07T19:30:00,TXAM,BAMA,3,0.4969046636401156,0.5030953363598845,51.49052052786541
57,Alan Bowman,223475,1.5,bt14,2,2023-10-06T23:30:00,OKS,KST,1,0.4334891627709307,0.5665108372290693,203.39162227367416
58,Alan Bowman,223475,224.5,bt14,2,2023-10-06T23:30:00,OKS,KST,5,0.4872259454748904,0.5127740545251095,203.39162227367416
59,Alan Bowman,223475,227.5,bt14,2,2023-10-06T23:30:00,OKS,KST,3,0.4868692801881178,0.5131307198118822,203.39162227367416
60,Alan Bowman,223475,229.5,bt14,2,2023-10-06T23:30:00,OKS,KST,1,0.5,0.5,203.39162227367416
61,Alan Bowman,223475,1.5,bt62,2,2023-10-06T23:30:00,OKS,KST,3,0.3409842689685498,0.6590157310314502,1.2114149427728098
62,Alan Bowman,223475,1.5,bt65,2,2023-10-06T23:30:00,OKS,KST,7,0.4124475924173453,0.5875524075826546,1.4137387563820856
63,Alec Bohm,39636,0.5,Home Runs,5,2023-10-07T22:07:00,ATL,PHI,3,,,0.5
64,Alec Bohm,39636,0.5,Home Runs,5,2023-10-07T22:07:00,ATL,PHI,4,,,0.5
65,Alec Bohm,39636,0.5,Total Hits,5,2023-10-07T22:07:00,ATL,PHI,11,0.6252554972617341,0.3747445027382658,0.9794420969611448
66,Alec Pierce,38454,24.5,bt16,1,2023-10-08T17:00:00,IND,TEN,1,0.5,0.5,27.20429260561099
67,Alec Pierce,38454,25.5,bt16,1,2023-10-08T17:00:00,IND,TEN,1,0.4898785425101215,0.5101214574898786,27.20429260561099
68,Alec Pierce,38454,27.5,bt16,1,2023-10-08T17:00:00,IND,TEN,11,0.4935630889954865,0.5064369110045134,27.20429260561099
69,Alek Thomas,41381,0.5,Home Runs,5,2023-10-08T01:20:00,LAD,ARI,1,,,0.5
70,Alek Thomas,41381,0.5,Total Hits,5,2023-10-08T01:20:00,LAD,ARI,1,,,0.5
71,Alex Bullock,143746,15.5,bt16,2,2023-10-07T00:00:00,ILL,NEB,6,0.4978231190842271,0.5021768809157728,16.02547363768115
72,Alex Bullock,143746,16.5,bt16,2,2023-10-07T00:00:00,ILL,NEB,1,0.5,0.5,16.02547363768115
73,Alex Bullock,143746,17.5,bt16,2,2023-10-07T00:00:00,ILL,NEB,1,0.5,0.5,16.02547363768115
74,Alexander Bregman,41839,0.5,Home Runs,5,2023-10-07T20:00:00,HOU,MIN,3,,,0.5
75,Alexander Bregman,41839,0.5,Home Runs,5,2023-10-07T20:00:00,HOU,MIN,5,,,0.5
76,Alexander Bregman,41839,0.5,Total Hits,5,2023-10-07T20:00:00,HOU,MIN,8,,,0.5
77,Alexander Bregman,41839,0.5,Total Hits,5,2023-10-07T20:00:00,HOU,MIN,9,,,0.5
78,Alexander Kirilloff,41805,0.5,Home Runs,5,2023-10-07T20:00:00,HOU,MIN,3,,,0.5
79,Alexander Kirilloff,41805,0.5,Home Runs,5,2023-10-07T20:00:00,HOU,MIN,5,,,0.5
80,Alexander Kirilloff,41805,0.5,Total Bases,5,2023-10-07T20:00:00,HOU,MIN,4,0.6215706171821314,0.3784293828178687,0.9697027905637084
