,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred
0,A'ja Wilson,410295,1.5,AST,7,2023-10-12T01:00:00,LVA,NYL,1,0.4693877551020409,0.5306122448979592,1.5806545044885592
1,A'ja Wilson,410295,8.5,TRB,7,2023-10-12T01:00:00,LVA,NYL,1,0.4693877551020409,0.5306122448979592,9.214332272921382
2,A'ja Wilson,410295,9.0,TRB,7,2023-10-12T01:00:00,LVA,NYL,1,0.5,0.5,9.214332272921382
3,A'ja Wilson,410295,9.5,TRB,7,2023-10-12T01:00:00,LVA,NYL,9,0.4519009437179747,0.5480990562820253,9.214332272921382
4,A'ja Wilson,410295,21.5,PTS,7,2023-10-12T01:00:00,LVA,NYL,9,0.5248894334440959,0.4751105665559041,21.98887185987568
5,A'ja Wilson,410295,22.0,PTS,7,2023-10-12T01:00:00,LVA,NYL,1,0.5,0.5,21.98887185987568
6,A'ja Wilson,410295,22.5,PTS,7,2023-10-12T01:00:00,LVA,NYL,1,0.449438202247191,0.550561797752809,21.98887185987568
7,A'ja Wilson,410295,33.5,PTS+TRB+AST,7,2023-10-12T01:00:00,LVA,NYL,1,0.4693877551020409,0.5306122448979592,33.23655988328768
8,A.J. Brown,38856,77.5,Receiving Yards,1,2023-10-15T20:25:00,NYJ,PHI,1,0.5,0.5,78.6877053690241
9,A.J. Brown,38856,79.5,Receiving Yards,1,2023-10-15T20:25:00,NYJ,PHI,1,0.5,0.5,78.6877053690241
10,Aaron Hicks,41635,0.5,Home Runs,5,2023-10-11T00:03:00,TEX,BAL,4,,,0.5
11,Aaron Hicks,41635,0.5,Home Runs,5,2023-10-11T00:03:00,TEX,BAL,6,,,0.5
12,Aaron Hicks,41635,0.5,Total Bases,5,2023-10-11T00:03:00,TEX,BAL,10,0.5282308132459532,0.4717691867540468,0.749805789667072
13,Aaron Hicks,41635,0.5,Total Hits,5,2023-10-11T00:03:00,TEX,BAL,12,,,0.5
14,Aaron Hicks,41635,0.5,Total Hits,5,2023-10-11T00:03:00,TEX,BAL,13,,,0.5
15,Aaron Nola,41605,4.5,Pitcher Strikeouts,5,2023-10-11T21:07:00,PHI,ATL,6,0.5558522995493993,0.4441477004506008,5.0223797999470845
16,Aaron Nola,41605,5.0,Pitcher Strikeouts,5,2023-10-11T21:07:00,PHI,ATL,2,0.5,0.5,5.0223797999470845
17,Adam Frazier,42435,0.5,Home Runs,5,2023-10-11T00:03:00,TEX,BAL,4,,,0.5
18,Adam Frazier,42435,0.5,Home Runs,5,2023-10-11T00:03:00,TEX,BAL,6,,,0.5
19,Adam Frazier,42435,0.5,Total Bases,5,2023-10-11T00:03:00,TEX,BAL,10,0.5117170950062413,0.4882829049937586,0.7152645717775609
