,prop_id,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred,time
0,00105134-b,D'Onta Foreman,36680,4.5,Receiving Yards,1,2023-11-05 12:00:00-06:00,NO,CHI,8,0.5148851385977813,0.48511486140221866,5.159516513537803,2023-11-03 11:29:00
1,00105134-b,D'Onta Foreman,36680,5.5,Receiving Yards,1,2023-11-05 12:00:00-06:00,NO,CHI,7,0.4935123316224409,0.5064876683775591,5.159516513537803,2023-11-03 11:29:00
2,0023cc0a-8,Michael Porter,43516,6.5,TRB,3,2023-11-03 21:00:00-05:00,DEN,DAL,8,0.4949291854329815,0.5050708145670186,6.635198202768887,2023-11-03 11:29:00
3,002c4448-8,Bobby Portis,43201,16.5,PTS+TRB+AST,3,2023-11-03 18:30:00-05:00,MIL,NYK,3,0.5023495855132907,0.49765041448670927,16.6906255044962,2023-11-03 11:29:00
4,006a6ebf-a,Damien Martinez,169673,93.5,Rush Yards,2,2023-11-04 21:00:00-05:00,COL,ORS,6,0.49847896919828005,0.5015210308017198,93.80058832503131,2023-11-03 11:29:00
5,006a6ebf-a,Damien Martinez,169673,94.5,Rush Yards,2,2023-11-04 21:00:00-05:00,COL,ORS,1,0.5,0.5,93.80058832503131,2023-11-03 11:29:00
6,00ab4088-c,Josh Jacobs,36184,71.5,Rush Yards,1,2023-11-05 15:25:00-06:00,LV,NYG,15,0.4974594504674481,0.5025405495325519,71.93361533532975,2023-11-03 11:29:00
7,00ab4088-c,Josh Jacobs,36184,73.5,Rush Yards,1,2023-11-05 15:25:00-06:00,LV,NYG,1,0.5,0.5,71.93361533532975,2023-11-03 11:29:00
8,00ab4088-c,Josh Jacobs,36184,74.5,Rush Yards,1,2023-11-05 15:25:00-06:00,LV,NYG,1,0.5,0.5,71.93361533532975,2023-11-03 11:29:00
9,00bc4c99-1,Romeo Doubs,34148,40.5,Receiving Yards,1,2023-11-05 12:00:00-06:00,GB,LAR,16,0.5014017701339728,0.4985982298660272,40.70449341194807,2023-11-03 11:29:00
10,00ce96bf-9,Chet Holmgren,242856,1.5,3P,3,2023-11-03 19:00:00-05:00,OKC,GSW,11,0.589708448200118,0.41029155179988197,1.982192411729101,2023-11-03 11:29:00
11,00d0088a-9,Jaren Jackson,42485,20.5,PTS,3,2023-11-03 21:00:00-05:00,POR,MEM,9,0.5111831062092094,0.4888168937907907,20.79492680315111,2023-11-03 11:29:00
12,018ab89d-3,Lamar Jackson,36635,20.5,Passing Completions,1,2023-11-05 12:00:00-06:00,BAL,SEA,6,0.4903515593740184,0.5096484406259815,20.55748514355607,2023-11-03 11:29:00
13,01c8c78b-d,Luguentz Dort,42667,6.0,TRB+AST,3,2023-11-03 19:00:00-05:00,OKC,GSW,1,0.5,0.5,6.368557365269446,2023-11-03 11:29:00
14,01c8c78b-d,Luguentz Dort,42667,6.5,TRB+AST,3,2023-11-03 19:00:00-05:00,OKC,GSW,3,0.46285405859120926,0.5371459414087907,6.368557365269446,2023-11-03 11:29:00
15,01d0a2f0-4,Isaiah Williams,28244,51.5,Receiving Yards,2,2023-11-04 14:30:00-05:00,MIN,ILL,1,0.4960606657474887,0.5039393342525114,52.14845438867472,2023-11-03 11:29:00
16,01d0a2f0-4,Isaiah Williams,28244,52.5,Receiving Yards,2,2023-11-04 14:30:00-05:00,MIN,ILL,1,0.5,0.5,52.14845438867472,2023-11-03 11:29:00
17,0209fcd3-c,Marquez Valdes-Scantling,36287,1.5,Receptions,1,2023-11-05 08:30:00-06:00,KC,MIA,15,0.4692266341290088,0.5307733658709913,1.5801693703145159,2023-11-03 11:29:00
