,prop_id,player,player_id,line,stat,league_id,event_time,opp,Team,count,over_prob,under_prob,pred,scrape_time
1138,bef0ee63-b,Bennedict Mathurin,43529,0.5,BLK,3,2023-10-30 18:00:00-05:00,IND,CHI,3,0.2707781340406976,0.7292218659593023,0.316146652587546,2023-10-31 09:18:00-05:00
1139,bf3b78c2-1,Chet Holmgren,242856,14.5,PTS,3,2023-10-30 19:00:00-05:00,OKC,DET,1,0.5,0.5,14.665773603468075,2023-10-31 09:18:00-05:00
1140,bf3e9590-6,John Collins,43567,19.5,PTS+TRB,3,2023-10-30 20:00:00-05:00,DEN,UTA,6,0.4993730198260023,0.5006269801739978,19.66046177895818,2023-10-31 09:18:00-05:00
1141,bfd2586e-5,Grant Williams,43458,1.5,AST,3,2023-10-30 19:00:00-05:00,MEM,DAL,4,0.4525623675751733,0.5474376324248268,1.529492003070709,2023-10-31 09:18:00-05:00
1142,c06f8cf4-2,Ausar Thompson,417201,16.5,PTS+TRB,3,2023-10-30 19:00:00-05:00,OKC,DET,5,0.5062363041187589,0.4937636958812411,16.879054748161767,2023-10-31 09:18:00-05:00
1143,c06f8cf4-2,Ausar Thompson,417201,17.5,PTS+TRB,3,2023-10-30 19:00:00-05:00,OKC,DET,1,0.4958445875753168,0.5041554124246831,16.879054748161767,2023-10-31 09:18:00-05:00
1144,c09a5656-f,Tyrese Haliburton,42813,23.5,PTS+TRB,3,2023-10-30 18:00:00-05:00,IND,CHI,6,0.5107547512167387,0.4892452487832612,23.88195943436437,2023-10-31 09:18:00-05:00
1145,c09a5656-f,Tyrese Haliburton,42813,24.5,PTS+TRB,3,2023-10-30 18:00:00-05:00,IND,CHI,1,0.4761410788381742,0.5238589211618258,23.88195943436437,2023-10-31 09:18:00-05:00
1146,c0bf466b-2,Jordan Clarkson,43106,18.5,PTS+TRB,3,2023-10-30 20:00:00-05:00,DEN,UTA,3,0.516257379534807,0.4837426204651929,19.115414767001152,2023-10-31 09:18:00-05:00
1147,c0bf466b-2,Jordan Clarkson,43106,19.5,PTS+TRB,3,2023-10-30 20:00:00-05:00,DEN,UTA,2,0.4870315983157001,0.5129684016842999,19.115414767001152,2023-10-31 09:18:00-05:00
1148,c0e46a27-1,Jahmyr Gibbs,418576,100.5,Rush+Rec Yards,1,2023-10-30 19:15:00-05:00,DET,LV,7,0.5,0.5,101.59337275332722,2023-10-31 09:18:00-05:00
1149,c0e46a27-1,Jahmyr Gibbs,418576,102.5,Rush+Rec Yards,1,2023-10-30 19:15:00-05:00,DET,LV,6,0.498252728280681,0.5017472717193189,101.59337275332722,2023-10-31 09:18:00-05:00
1150,c12d7874-1,John Cominsky,34220,0.25,Sacks,1,2023-10-30 19:15:00-05:00,DET,LV,1,0.3306973400431344,0.6693026599568656,0.40039293361974,2023-10-31 09:18:00-05:00
1151,c12f142d-6,Cam Thomas,43316,24.5,PTS,3,2023-10-30 18:00:00-05:00,CHA,BKN,1,0.4761410788381742,0.5238589211618258,24.382893950159527,2023-10-31 09:18:00-05:00
1152,c166cbd2-5,Karl-Anthony Towns,43144,3.5,AST,3,2023-10-30 18:30:00-05:00,ATL,MIN,12,0.4514199749614118,0.5485800250385882,3.4477676542891893,2023-10-31 09:18:00-05:00
1153,c1681f3d-3,Desmond Bane,235715,25.5,PTS,3,2023-10-30 19:00:00-05:00,MEM,DAL,13,0.4940395935329057,0.5059604064670944,25.59257165038648,2023-10-31 09:18:00-05:00
1154,c1732680-c,Jalen Williams,241037,15.5,PTS,3,2023-10-30 19:00:00-05:00,OKC,DET,5,0.4811741965606851,0.518825803439315,15.490577150149225,2023-10-31 09:18:00-05:00
1155,c1a9fdd1-9,Scoot Henderson,417263,8.0,TRB+AST,3,2023-10-30 18:30:00-05:00,TOR,POR,1,0.5,0.5,8.418544870078032,2023-10-31 09:18:00-05:00
