,player,player_id,points,price,side,stat,book,league_id,event_time,prob,opp,Team
0,Jackie Young,409927,6.5,-135.0,over,TRB,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
1,Jackie Young,409927,19.5,-135.0,over,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
2,Jackie Young,409927,6.5,-135.0,under,TRB,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
3,Jackie Young,409927,19.5,-135.0,under,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
0,A'ja Wilson,410295,11.5,-135.0,over,TRB,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
1,A'ja Wilson,410295,23.5,-135.0,over,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
2,A'ja Wilson,410295,23.5,-135.0,under,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
3,A'ja Wilson,410295,11.5,-135.0,under,TRB,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
0,Kelsey Plum,410285,3.5,-135.0,over,TRB,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
1,Kelsey Plum,410285,21.5,-135.0,over,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
2,Kelsey Plum,410285,3.5,-135.0,under,TRB,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
3,Kelsey Plum,410285,21.5,-135.0,under,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
0,Breanna Stewart,410221,20.5,-135.0,over,PTS,Underdog Fantasy,7,2023-10-19T00:00:00,0.574468085106383,NYL,LVA
1,Breanna Stewart,410221,20.5,100.0,over,PTS,Sugarhouse,7,2023-10-19T00:00:00,0.5,NYL,LVA
2,Breanna Stewart,410221,10.5,-115.0,over,TRB,Sugarhouse,7,2023-10-19T00:00:00,0.5348837209302325,NYL,LVA
