East,West
BOS,DAL
PHI,GSW
ATL,DEN
BKN,NOP
ORL,OKC
IND,LAL
MIL,LAC
CHI,MIN
CLE,PHX
TOR,SAC
DET,SAS
NYK,POR
WAS,UTA
CHA,HOU
MIA,MEM
