Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
285,Yuta Watanabe,SF,28,BRK,49,0,835,103,204,.505,53,115,.461,50,89,.562,.635,31,41,.756,27,98,125,42,22,15,20,71,290,watanyu01
286,Chimezie Metu,C,25,SAC,59,0,636,118,198,.596,9,36,.250,109,162,.673,.619,44,58,.759,44,134,178,40,20,21,29,77,289,metuch01
287,Isaiah Livers,PF,24,DET,46,16,1030,101,248,.407,63,179,.352,38,69,.551,.534,23,30,.767,23,93,116,34,27,25,26,88,288,liveris01
288,Rudy Gay,PF,36,UTA,55,0,806,107,282,.379,31,126,.246,76,156,.487,.434,41,47,.872,33,129,162,56,19,18,37,68,286,gayru01
289,Delon Wright,PG,30,WAS,43,9,1023,106,226,.469,33,95,.347,73,131,.557,.542,40,44,.909,52,85,137,164,83,15,40,54,285,wrighde01
290,Montrezl Harrell,C,29,PHI,51,7,626,112,186,.602,0,2,.000,112,184,.609,.602,59,85,.694,60,80,140,31,16,25,31,74,283,harremo01
291,Jae'Sean Tate,SF,27,HOU,31,7,677,110,229,.480,13,46,.283,97,183,.530,.509,50,69,.725,41,77,118,84,21,7,47,106,283,tateja01
292,Christian Braun,SG,21,DEN,66,3,955,111,221,.502,29,72,.403,82,149,.550,.568,30,48,.625,39,109,148,49,30,16,29,81,281,braunch01
293,Vlatko Čančar,PF,25,DEN,51,8,802,102,208,.490,42,105,.400,60,103,.583,.591,30,32,.938,22,94,116,73,18,12,32,77,276,cancavl01
294,Aleksej Pokusevski,PF,21,OKC,31,25,677,107,243,.440,38,101,.376,69,142,.486,.519,21,33,.636,45,112,157,62,20,41,41,57,273,pokusal01
295,Romeo Langford,SG,23,SAS,37,21,748,110,230,.478,14,52,.269,96,178,.539,.509,32,47,.681,53,50,103,46,19,13,24,63,266,langfro01
296,Joe Ingles,SF,35,MIL,37,0,855,90,207,.435,67,166,.404,23,41,.561,.597,16,19,.842,12,106,118,119,25,5,45,67,263,inglejo01
297,Derrick Jones Jr.,SF,25,CHI,54,0,737,94,186,.505,19,59,.322,75,127,.591,.556,56,73,.767,50,77,127,31,22,31,22,72,263,jonesde02
298,Kevin Knox,PF-SF,23,TOT,52,1,648,93,195,.477,46,124,.371,47,71,.662,.595,28,35,.800,23,97,120,17,16,12,32,81,260,knoxke01
299,Willy Hernangómez,C,28,NOP,35,2,446,86,163,.528,3,11,.273,83,152,.546,.537,81,104,.779,57,117,174,32,16,13,38,61,256,hernawi01
300,T.J. Warren,PF-SF,29,TOT,34,0,541,106,214,.495,17,50,.340,89,164,.543,.535,27,33,.818,17,71,88,29,17,8,18,51,256,warretj01
301,Austin Rivers,SG,30,MIN,52,10,1016,91,209,.435,43,123,.350,48,86,.558,.538,30,39,.769,5,78,83,75,28,4,23,80,255,riverau01
302,Moses Moody,SG,20,GSW,56,3,733,88,197,.447,41,120,.342,47,77,.610,.551,36,52,.692,26,65,91,46,18,6,31,43,253,moodymo01
303,Matisse Thybulle,SG,25,TOT,64,21,1021,97,217,.447,46,127,.362,51,90,.567,.553,13,18,.722,37,83,120,45,72,27,17,100,253,thybuma01
304,Jeremiah Robinson-Earl,PF,22,OKC,36,19,700,95,211,.450,31,96,.323,64,115,.557,.524,31,38,.816,64,95,159,38,21,11,18,59,252,robinje02
305,Duane Washington Jr.,SG,22,PHO,31,3,394,94,256,.367,40,111,.360,54,145,.372,.445,16,24,.667,2,34,36,63,6,4,34,23,244,washidu02
306,Robert Williams,C,25,BOS,29,18,699,110,148,.743,0,1,.000,110,147,.748,.743,22,34,.647,89,159,248,43,14,34,26,58,242,williro04
307,Thaddeus Young,PF,34,TOR,54,9,795,108,198,.545,6,34,.176,102,164,.622,.561,18,26,.692,71,95,166,75,54,5,42,88,240,youngth01
308,Cade Cunningham,PG,21,DET,12,12,400,93,224,.415,17,61,.279,76,163,.466,.453,36,43,.837,12,62,74,72,10,7,39,34,239,cunnica01
309,Jaylin Williams,PF,20,OKC,40,27,708,84,190,.442,37,86,.430,47,104,.452,.539,31,43,.721,32,157,189,56,19,11,27,92,236,willija07
310,R.J. Hampton,PG,21,TOT,38,1,575,77,176,.438,31,82,.378,46,94,.489,.526,46,59,.780,15,49,64,47,24,5,34,34,231,hamptrj01
311,Jaxson Hayes,C,22,NOP,44,2,601,85,152,.559,3,27,.111,82,125,.656,.569,58,83,.699,39,90,129,34,20,19,30,67,231,hayesja02
312,Patty Mills,PG,34,BRK,38,1,515,81,193,.420,47,123,.382,34,70,.486,.541,21,23,.913,8,34,42,52,14,3,26,27,230,millspa02
313,Robert Covington,PF,32,LAC,40,0,652,81,198,.409,40,118,.339,41,80,.513,.510,27,36,.750,27,114,141,48,31,29,23,75,229,covinro01
314,Luke Kornet,C,27,BOS,60,0,697,98,143,.685,3,10,.300,95,133,.714,.696,30,37,.811,78,95,173,42,10,43,24,74,229,kornelu01
315,Zeke Nnaji,PF,22,DEN,45,5,595,89,154,.578,13,45,.289,76,109,.697,.620,36,54,.667,56,51,107,12,15,20,21,83,227,nnajize01
