Player,G,Date,Series,Tm,H/A,Opp,G#,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Kevin Durant,9,2013-05-11,WCS,OKC,0,MEM,3,-6,1,45.733333333333334,9,19,.474,2,6,.333,5,9,.556,0,11,11,5,3,0,3,2,25,19.7,-2,PF-SF,15
Kevin Durant,10,2013-05-13,WCS,OKC,0,MEM,4,-6,1,48.31666666666667,10,27,.370,5,7,.714,2,3,.667,0,7,7,7,1,1,4,2,27,15.6,-7,PF-SF,15
Kevin Durant,11,2013-05-15,WCS,OKC,1,MEM,5,-4,1,48.0,5,21,.238,0,4,.000,11,15,.733,2,6,8,6,0,2,7,2,21,7.7,-4,PF-SF,15
Kevin Durant,1,2014-04-19,WC1,OKC,1,MEM,1,14,1,43.15,13,25,.520,3,7,.429,4,6,.667,1,7,8,7,1,0,3,1,33,25.2,+10,PF-SF,15
Kevin Durant,2,2014-04-21,WC1,OKC,1,MEM,2,-6,1,45.38333333333333,12,28,.429,5,12,.417,7,8,.875,2,9,11,4,0,2,1,3,36,26.9,-7,PF-SF,15
Kevin Durant,3,2014-04-24,WC1,OKC,0,MEM,3,-3,1,49.43333333333333,10,27,.370,0,8,.000,10,13,.769,3,6,9,3,2,5,5,1,30,20.0,-1,PF-SF,15
Kevin Durant,4,2014-04-26,WC1,OKC,0,MEM,4,3,1,49.28333333333333,5,21,.238,1,7,.143,4,6,.667,1,12,13,4,2,2,5,2,15,6.2,0,PF-SF,15
Kevin Durant,5,2014-04-29,WC1,OKC,1,MEM,5,-1,1,51.75,10,24,.417,3,8,.375,3,6,.500,3,5,8,2,0,0,6,1,26,10.6,+1,PF-SF,15
Kevin Durant,6,2014-05-01,WC1,OKC,0,MEM,6,20,1,42.516666666666666,11,23,.478,0,6,.000,14,15,.933,2,8,10,2,1,1,3,3,36,26.6,+27,PF-SF,15
Kevin Durant,7,2014-05-03,WC1,OKC,1,MEM,7,11,1,42.4,12,18,.667,5,5,1.000,4,6,.667,0,8,8,2,0,1,5,3,33,22.7,+20,PF-SF,15
Kevin Durant,8,2014-05-05,WCS,OKC,1,LAC,1,-17,1,34.78333333333333,9,19,.474,2,5,.400,5,8,.625,0,4,4,4,1,1,3,2,25,16.0,-26,PF-SF,15
Kevin Durant,9,2014-05-07,WCS,OKC,1,LAC,2,11,1,43.31666666666667,10,22,.455,3,9,.333,9,11,.818,3,9,12,9,2,0,4,4,32,27.3,+14,PF-SF,15
Kevin Durant,10,2014-05-09,WCS,OKC,0,LAC,3,6,1,45.8,14,24,.583,1,4,.250,7,7,1.000,0,8,8,6,0,1,2,2,36,29.3,+2,PF-SF,15
Kevin Durant,11,2014-05-11,WCS,OKC,0,LAC,4,-2,1,44.9,12,24,.500,1,7,.143,15,18,.833,1,6,7,3,2,2,8,3,40,25.6,-3,PF-SF,15
Kevin Durant,12,2014-05-13,WCS,OKC,1,LAC,5,1,1,42.4,6,22,.273,3,6,.500,12,12,1.000,0,10,10,5,1,1,2,1,27,19.8,+2,PF-SF,15
Kevin Durant,13,2014-05-15,WCS,OKC,0,LAC,6,6,1,44.1,12,23,.522,5,8,.625,10,10,1.000,0,16,16,5,0,2,5,2,39,31.6,+6,PF-SF,15
Kevin Durant,14,2014-05-19,WCF,OKC,0,SAS,1,-17,1,40.8,10,19,.526,4,7,.571,4,4,1.000,1,8,9,5,0,1,6,4,28,18.4,-17,PF-SF,15
Kevin Durant,15,2014-05-21,WCF,OKC,0,SAS,2,-35,1,28.516666666666666,6,16,.375,0,4,.000,3,5,.600,0,3,3,2,1,0,2,2,15,5.9,-26,PF-SF,15
Kevin Durant,16,2014-05-25,WCF,OKC,1,SAS,3,9,1,36.06666666666667,8,19,.421,1,4,.250,8,8,1.000,3,7,10,3,1,1,4,3,25,17.7,+19,PF-SF,15
Kevin Durant,17,2014-05-27,WCF,OKC,1,SAS,4,13,1,41.2,11,22,.500,2,4,.500,7,9,.778,0,5,5,5,3,1,0,1,31,27.5,+14,PF-SF,15
Kevin Durant,18,2014-05-29,WCF,OKC,0,SAS,5,-28,1,36.983333333333334,11,21,.524,2,6,.333,1,4,.250,1,4,5,2,1,1,1,0,25,17.5,-22,PF-SF,15
Kevin Durant,19,2014-05-31,WCF,OKC,1,SAS,6,-5,1,51.8,12,25,.480,2,8,.250,5,7,.714,4,10,14,2,1,3,7,3,31,19.6,-3,PF-SF,15
Kevin Durant,1,2016-04-16,WC1,OKC,1,DAL,1,38,1,26.583333333333332,7,15,.467,2,6,.333,7,7,1.000,1,4,5,5,0,0,3,3,23,16.5,+28,PF-SF,15
Kevin Durant,2,2016-04-18,WC1,OKC,1,DAL,2,-1,1,44.36666666666667,7,33,.212,2,11,.182,5,5,1.000,1,8,9,2,0,1,7,2,21,-1.9,-1,PF-SF,15
Kevin Durant,3,2016-04-21,WC1,OKC,0,DAL,3,29,1,37.05,11,25,.440,3,9,.333,9,11,.818,0,7,7,3,1,0,4,3,34,20.1,+13,PF-SF,15
Kevin Durant,4,2016-04-23,WC1,OKC,0,DAL,4,11,1,42.583333333333336,7,20,.350,1,4,.250,4,8,.500,0,4,4,4,1,1,1,2,19,10.1,+7,PF-SF,15
Kevin Durant,5,2016-04-25,WC1,OKC,1,DAL,5,14,1,40.766666666666666,11,24,.458,3,11,.273,8,8,1.000,2,5,7,2,0,1,2,1,33,23.2,+13,PF-SF,15
Kevin Durant,6,2016-04-30,WCS,OKC,0,SAS,1,-32,1,32.916666666666664,6,15,.400,0,2,.000,4,4,1.000,1,7,8,6,0,0,1,3,16,12.7,-31,PF-SF,15
Kevin Durant,7,2016-05-02,WCS,OKC,0,SAS,2,1,1,42.06666666666667,11,19,.579,1,2,.500,5,5,1.000,0,7,7,4,0,1,5,1,28,19.3,+3,PF-SF,15
Kevin Durant,8,2016-05-06,WCS,OKC,1,SAS,3,-4,1,41.733333333333334,10,18,.556,1,5,.200,5,6,.833,0,5,5,3,1,1,5,3,26,16.1,-1,PF-SF,15
Kevin Durant,9,2016-05-08,WCS,OKC,1,SAS,4,14,1,43.38333333333333,14,25,.560,3,9,.333,10,13,.769,1,4,5,4,1,0,5,1,41,28.2,+17,PF-SF,15
Kevin Durant,10,2016-05-10,WCS,OKC,0,SAS,5,4,1,42.666666666666664,8,21,.381,2,5,.400,5,6,.833,1,5,6,5,2,1,5,1,23,14.1,+7,PF-SF,15
Kevin Durant,11,2016-05-12,WCS,OKC,1,SAS,6,14,1,42.68333333333333,12,24,.500,1,4,.250,12,12,1.000,0,9,9,2,0,0,2,0,37,27.1,+9,PF-SF,15
Kevin Durant,12,2016-05-16,WCF,OKC,0,GSW,1,6,1,45.583333333333336,10,30,.333,1,4,.250,5,7,.714,1,9,10,3,3,1,5,1,26,12.0,+8,PF-SF,15
Kevin Durant,13,2016-05-18,WCF,OKC,0,GSW,2,-27,1,35.266666666666666,11,18,.611,2,4,.500,5,5,1.000,1,5,6,1,1,0,8,4,29,15.1,-17,PF-SF,15
Kevin Durant,14,2016-05-22,WCF,OKC,1,GSW,3,28,1,32.233333333333334,10,15,.667,1,3,.333,12,12,1.000,1,7,8,2,0,3,1,3,33,30.6,+36,PF-SF,15
Kevin Durant,15,2016-05-24,WCF,OKC,1,GSW,4,24,1,40.63333333333333,8,24,.333,1,5,.200,9,10,.900,1,10,11,4,4,3,3,1,26,21.2,+22,PF-SF,15
