Player,G,Date,Age,Tm,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Shai Gilgeous-Alexander,58,2023-03-14,24-245,OKC,1,BKN,14,1,36.38333333333333,12,24,.500,1,1,1.000,10,12,.833,1,6,7,4,1,0,3,4,35,23.9,+12,PG,15
Shai Gilgeous-Alexander,59,2023-03-16,24-247,OKC,0,TOR,-17,1,34.86666666666667,12,19,.632,1,1,1.000,4,5,.800,2,1,3,3,2,0,3,1,29,22.5,-17,PG,15
Shai Gilgeous-Alexander,60,2023-03-19,24-250,OKC,1,PHX,4,1,35.43333333333333,12,24,.500,0,0,,16,19,.842,0,5,5,4,1,0,3,2,40,28.3,+10,PG,15
Shai Gilgeous-Alexander,61,2023-03-21,24-252,OKC,0,LAC,1,1,36.03333333333333,12,25,.480,1,4,.250,6,7,.857,0,7,7,4,0,0,4,4,31,17.2,-5,PG,15
Shai Gilgeous-Alexander,62,2023-03-23,24-254,OKC,0,LAC,-22,1,26.85,10,15,.667,1,1,1.000,9,9,1.000,0,4,4,3,1,3,2,2,30,27.1,-1,PG,15
Shai Gilgeous-Alexander,63,2023-03-24,24-255,OKC,0,LAL,-5,1,35.75,9,22,.409,1,3,.333,8,9,.889,0,5,5,8,1,1,2,4,27,20.0,+2,PG,15
Shai Gilgeous-Alexander,64,2023-03-26,24-257,OKC,0,POR,6,1,35.166666666666664,9,17,.529,0,1,.000,13,15,.867,2,0,2,3,4,0,3,1,31,26.0,+1,PG,15
Shai Gilgeous-Alexander,65,2023-03-31,24-262,OKC,0,IND,-4,1,38.233333333333334,11,22,.500,0,2,.000,17,17,1.000,0,9,9,4,1,1,3,6,39,29.8,,PG,15
Shai Gilgeous-Alexander,66,2023-04-02,24-264,OKC,1,PHX,-10,1,37.53333333333333,11,22,.500,0,0,,17,17,1.000,0,3,3,5,2,0,1,4,39,31.8,-6,PG,15
Shai Gilgeous-Alexander,67,2023-04-04,24-266,OKC,0,GSW,-11,1,33.68333333333333,11,17,.647,2,4,.500,8,9,.889,1,4,5,7,0,0,3,5,32,25.9,-9,PG,15
Shai Gilgeous-Alexander,68,2023-04-06,24-268,OKC,0,UTA,16,1,37.71666666666667,7,19,.368,1,5,.200,7,10,.700,2,5,7,7,1,0,1,3,22,16.9,+7,PG,15
