Player,G,Date,Age,Tm,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Joel Embiid,11,2022-11-18,28-247,PHI,1,MIL,8,1,36.833333333333336,12,26,.462,2,6,.333,6,8,.750,1,10,11,8,1,3,5,2,32,24.4,+8,C,15
Joel Embiid,12,2022-11-19,28-248,PHI,1,MIN,-3,1,35.85,6,15,.400,2,4,.500,18,20,.900,1,8,9,6,3,0,6,3,32,26.2,-2,C,15
Joel Embiid,13,2022-11-28,28-257,PHI,1,ATL,3,1,35.483333333333334,9,18,.500,0,1,.000,12,13,.923,1,7,8,7,2,2,4,2,30,26.9,+4,C,15
Joel Embiid,14,2022-11-30,28-259,PHI,0,CLE,-28,1,28.516666666666666,6,16,.375,0,0,,7,9,.778,3,3,6,6,3,0,1,2,19,17.8,-12,C,15
Joel Embiid,15,2022-12-02,28-261,PHI,0,MEM,-8,1,40.5,13,26,.500,1,3,.333,8,9,.889,1,10,11,8,1,3,3,4,35,29.4,+9,C,15
Joel Embiid,16,2022-12-05,28-264,PHI,0,HOU,-9,1,35.36666666666667,12,21,.571,1,2,.500,14,17,.824,3,4,7,3,2,2,5,6,39,29.3,+8,C,15
Joel Embiid,17,2022-12-09,28-268,PHI,1,LAL,11,1,46.05,14,19,.737,3,4,.750,7,8,.875,3,9,12,5,1,0,7,4,38,30.6,+20,C,15
Joel Embiid,18,2022-12-11,28-270,PHI,1,CHA,18,1,34.31666666666667,20,32,.625,2,3,.667,11,11,1.000,3,9,12,3,0,1,2,2,53,43.4,+11,C,15
Joel Embiid,19,2022-12-13,28-272,PHI,1,SAC,20,1,30.333333333333332,10,16,.625,0,1,.000,11,13,.846,1,6,7,2,1,1,3,3,31,24.4,+12,C,15
Joel Embiid,20,2022-12-16,28-275,PHI,1,GSW,12,1,35.95,11,23,.478,2,3,.667,10,12,.833,3,10,13,4,4,2,6,0,34,28.8,+7,C,15
Joel Embiid,21,2022-12-19,28-278,PHI,1,TOR,3,1,42.11666666666667,6,16,.375,2,3,.667,14,15,.933,0,11,11,4,2,0,3,4,28,22.3,+5,C,15
Joel Embiid,22,2022-12-21,28-280,PHI,1,DET,20,1,34.18333333333333,6,16,.375,0,1,.000,10,11,.909,0,10,10,6,0,4,1,3,22,20.6,+17,C,15
Joel Embiid,23,2022-12-23,28-282,PHI,1,LAC,5,1,37.766666666666666,18,30,.600,1,4,.250,7,7,1.000,2,5,7,3,1,2,1,5,44,34.6,+2,C,15
Joel Embiid,24,2022-12-25,28-284,PHI,0,NYK,7,1,33.9,12,22,.545,1,2,.500,10,15,.667,3,5,8,1,0,0,3,3,35,22.5,-6,C,15
Joel Embiid,25,2022-12-27,28-286,PHI,0,WAS,-5,1,35.65,17,32,.531,1,5,.200,13,14,.929,4,6,10,1,3,3,3,5,48,37.4,+8,C,15
Joel Embiid,26,2022-12-30,28-289,PHI,0,NOP,-11,1,34.13333333333333,14,22,.636,1,2,.500,8,10,.800,1,7,8,5,1,1,5,5,37,27.4,-4,C,15
Joel Embiid,27,2022-12-31,28-290,PHI,0,OKC,19,1,28.466666666666665,6,17,.353,0,3,.000,4,6,.667,2,11,13,10,1,4,4,3,16,16.0,+22,C,15
Joel Embiid,28,2023-01-02,28-292,PHI,1,NOP,9,1,35.916666666666664,15,24,.625,2,3,.667,10,10,1.000,2,9,11,5,1,1,4,5,42,34.5,+10,C,15
Joel Embiid,29,2023-01-10,28-300,PHI,1,DET,31,1,23.933333333333334,12,20,.600,1,3,.333,11,11,1.000,2,9,11,1,0,2,3,3,36,28.8,+36,C,15
Joel Embiid,30,2023-01-12,28-302,PHI,1,OKC,-19,1,27.566666666666666,10,17,.588,0,1,.000,10,10,1.000,2,8,10,2,0,1,3,5,30,23.0,-12,C,15
