player,G,date,age,team,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Dillon Brooks,3,2023-10-29,27-280,HOU,1,GSW,-11,1,34.0,4,10,.400,2,5,.400,2,2,1.000,0,4,4,2,0,0,0,5,12,7.2,+2,SG,2024,15
Bruce Brown,1,2023-10-25,27-071,IND,1,WAS,23,1,27.2,8,11,.727,6,8,.750,2,2,1.000,1,2,3,1,1,0,1,3,24,20.3,+15,PG,2024,15
Bruce Brown,2,2023-10-28,27-074,IND,0,CLE,12,1,32.18333333333333,3,8,.375,0,1,.000,0,0,,0,4,4,2,1,0,0,3,6,4.0,0,PG,2024,15
Bruce Brown,3,2023-10-30,27-076,IND,1,CHI,-7,1,36.95,6,12,.500,3,6,.500,0,0,,2,5,7,1,1,0,3,2,15,9.8,-13,PG,2024,15
Jaylen Brown,1,2023-10-25,27-001,BOS,0,NYK,4,1,38.13333333333333,4,11,.364,0,4,.000,3,4,.750,0,6,6,5,1,0,2,5,11,6.8,+8,SF,2024,15
Jaylen Brown,2,2023-10-27,27-003,BOS,1,MIA,8,1,33.61666666666667,11,22,.500,3,7,.429,2,4,.500,2,4,6,1,2,0,4,1,27,16.1,+3,SF,2024,15
Jaylen Brown,3,2023-10-30,27-006,BOS,0,WAS,19,1,31.533333333333335,13,24,.542,8,13,.615,2,4,.500,0,6,6,2,3,1,0,3,36,29.3,+32,SF,2024,15
Kobe Brown,1,2023-10-25,23-297,LAC,1,POR,12,0,5.3,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-12,PF,2024,15
Kobe Brown,2,2023-10-29,23-301,LAC,1,SAS,40,0,4.833333333333333,1,2,.500,1,2,.500,0,0,,0,4,4,1,1,0,0,1,3,4.5,+10,PF,2024,15
Kobe Brown,3,2023-10-31,23-303,LAC,1,ORL,16,0,19.033333333333335,3,4,.750,1,2,.500,0,0,,1,2,3,1,0,1,0,4,7,6.5,+11,PF,2024,15
Troy Brown Jr.,1,2023-10-25,24-089,MIN,0,TOR,-3,0,5.25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,SF,2024,15
Troy Brown Jr.,2,2023-10-28,24-092,MIN,1,MIA,16,0,14.5,0,2,.000,0,2,.000,0,0,,0,2,2,1,1,0,2,1,0,-1.5,-5,SF,2024,15
Jalen Brunson,1,2023-10-25,27-055,NYK,1,BOS,-4,1,32.583333333333336,6,21,.286,3,8,.375,0,1,.000,1,2,3,6,3,0,2,3,15,7.6,-9,PG,2024,15
Jalen Brunson,2,2023-10-27,27-057,NYK,0,ATL,6,1,32.7,11,21,.524,8,12,.667,1,2,.500,0,3,3,5,0,0,2,1,31,22.3,+13,PG,2024,15
Jalen Brunson,3,2023-10-28,27-058,NYK,0,NOP,-9,1,30.583333333333332,4,14,.286,1,5,.200,5,6,.833,1,3,4,5,0,0,1,2,14,8.7,-9,PG,2024,15
Jalen Brunson,4,2023-10-31,27-061,NYK,0,CLE,18,1,33.666666666666664,7,16,.438,1,3,.333,4,5,.800,0,5,5,2,2,0,5,1,19,9.7,+21,PG,2024,15
Thomas Bryant,1,2023-10-25,26-086,MIA,1,DET,1,0,15.833333333333334,2,5,.400,0,0,,4,5,.800,2,4,6,3,1,0,1,0,8,9.6,+5,C,2024,15
Thomas Bryant,2,2023-10-27,26-088,MIA,0,BOS,-8,0,12.983333333333333,1,5,.200,0,1,.000,0,0,,1,3,4,1,0,1,1,1,2,0.5,-8,C,2024,15
Thomas Bryant,3,2023-10-28,26-089,MIA,0,MIN,-16,0,11.55,2,4,.500,0,0,,1,2,.500,3,2,5,1,0,0,1,1,5,4.6,-8,C,2024,15
Thomas Bryant,4,2023-10-30,26-091,MIA,0,MIL,-8,1,21.983333333333334,4,7,.571,0,1,.000,2,2,1.000,0,2,2,0,2,0,1,0,10,8.3,-12,C,2024,15
