player,G,date,age,team,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pos,season,KM
Precious Achiuwa,1,2020-12-23,21-095,MIA,0,ORL,-6,0,13.65,3,4,.750,0,0,,2,4,.500,1,2,3,0,0,0,0,2,8,6.1,+6,C,2021,15
Precious Achiuwa,2,2020-12-25,21-097,MIA,1,NOP,13,0,19.466666666666665,5,7,.714,0,0,,1,2,.500,1,2,3,2,0,1,1,6,11,7.7,+4,C,2021,15
Precious Achiuwa,3,2020-12-29,21-101,MIA,1,MIL,-47,0,17.633333333333333,5,8,.625,0,0,,0,2,.000,0,4,4,0,1,0,2,3,10,4.6,-15,C,2021,15
Precious Achiuwa,4,2020-12-30,21-102,MIA,1,MIL,11,0,12.016666666666667,0,2,.000,0,0,,0,0,,3,2,5,0,0,1,3,2,0,-1.8,-2,C,2021,15
Precious Achiuwa,5,2021-01-01,21-104,MIA,0,DAL,-10,0,11.983333333333333,3,4,.750,0,0,,4,6,.667,2,4,6,1,0,0,1,0,10,9.9,-5,C,2021,15
Precious Achiuwa,6,2021-01-04,21-107,MIA,1,OKC,28,0,19.6,2,5,.400,0,0,,2,5,.400,2,5,7,0,1,0,1,3,6,3.8,+3,C,2021,15
Precious Achiuwa,7,2021-01-06,21-109,MIA,1,BOS,-2,0,14.233333333333333,2,5,.400,0,0,,2,2,1.000,3,2,5,3,0,1,1,1,6,7.4,+7,C,2021,15
Precious Achiuwa,8,2021-01-09,21-112,MIA,0,WAS,4,0,12.666666666666666,3,4,.750,0,0,,1,1,1.000,0,2,2,0,0,0,2,4,7,2.4,+5,C,2021,15
Precious Achiuwa,9,2021-01-12,21-115,MIA,0,PHI,-3,1,35.666666666666664,7,10,.700,0,0,,3,4,.750,6,7,13,3,0,1,3,4,17,16.9,-6,C,2021,15
Precious Achiuwa,10,2021-01-14,21-117,MIA,0,PHI,-17,1,27.4,4,6,.667,0,0,,2,6,.333,5,6,11,2,0,0,2,1,10,10.1,-18,C,2021,15
Precious Achiuwa,11,2021-01-16,21-119,MIA,1,DET,-20,0,11.25,1,3,.333,0,0,,3,4,.750,1,3,4,0,0,0,0,1,5,4.1,-6,C,2021,15
Precious Achiuwa,12,2021-01-18,21-121,MIA,1,DET,6,0,12.766666666666667,4,5,.800,0,0,,0,2,.000,2,3,5,0,0,0,0,5,8,5.6,-1,C,2021,15
Precious Achiuwa,13,2021-01-20,21-123,MIA,0,TOR,9,0,14.4,2,3,.667,0,0,,0,2,.000,1,3,4,0,1,1,0,0,4,5.2,+7,C,2021,15
Precious Achiuwa,14,2021-01-22,21-125,MIA,0,TOR,-20,0,11.533333333333333,2,2,1.000,0,0,,0,0,,0,1,1,1,1,2,2,1,4,4.4,-17,C,2021,15
Precious Achiuwa,15,2021-01-23,21-126,MIA,0,BKN,-4,0,10.133333333333333,1,1,1.000,0,0,,5,6,.833,1,1,2,0,0,0,1,3,7,5.1,-8,C,2021,15
