,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
108,Malcolm Brogdon,PTS+TRB+AST,21.5,0.45632030880787644,0.5436796911921236,5.0,21.16156034575968,PHI,7,2023-05-03
172,Austin Reaves,PTS,15.5,0.4565353076163424,0.5434646923836576,3.0,15.240546510625943,GSW,7,2023-05-04
18,Logan Gilbert,Pitcher Strikeouts,6.5,0.46736181088877193,0.5326381891112281,2.0,6.461229633199281,OAK,2,2023-05-03
6,Luis Cessa,Pitcher Strikeouts,3.0,0.47222193051760264,0.5277780694823974,1.0,3.061258469150854,SD,2,2023-05-03
4,Kyle Wright,Pitcher Strikeouts,5.0,0.4750658441200233,0.5249341558799767,1.0,5.043793479851304,MIA,2,2023-05-03
177,Austin Reaves,PTS+TRB+AST,23.5,0.49208027237537,0.50791972762463,5.0,23.571163305431472,GSW,7,2023-05-04
176,Austin Reaves,PTS+AST,19.5,0.4921500952216695,0.5078499047783305,4.0,19.580656317124582,GSW,7,2023-05-04
5,Braxton Garrett,Pitcher Strikeouts,5.0,0.49360114475547257,0.5063988552445274,1.0,5.131714722126444,ATL,2,2023-05-03
24,James Outman,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,PHI,2,2023-05-03
61,Kentavious Caldwell-Pope,TRB,2.5,0.4994364584924238,0.5005635415075762,1.0,2.6717756715392302,PHX,7,2023-05-05
179,Kevon Looney,AST,3.5,0.4995226380386728,0.5004773619613272,1.0,3.669785992510735,LAL,7,2023-05-04
184,Kevon Looney,PTS,7.5,0.4995555187799443,0.5004444812200557,1.0,7.6661756931008505,LAL,7,2023-05-04
20,Clarke Schmidt,Pitcher Strikeouts,4.5,0.49964914731624854,0.5003508526837515,1.0,4.669019928084806,CLE,2,2023-05-03
63,Kentavious Caldwell-Pope,PTS+AST,11.5,0.4997947125621822,0.5002052874378178,1.0,11.666609705727254,PHX,7,2023-05-05
62,Kentavious Caldwell-Pope,PTS,9.5,0.49982720086937416,0.5001727991306258,1.0,9.667371741039444,PHX,7,2023-05-05
60,Kentavious Caldwell-Pope,PTS+TRB,12.5,0.4998649659166091,0.5001350340833909,1.0,12.66702702213936,PHX,7,2023-05-05
182,Kevon Looney,PTS+AST,11.0,0.4999102339369315,0.5000897660630684,1.0,11.164006725836673,LAL,7,2023-05-04
181,Kevon Looney,TRB,13.5,0.4999128305727484,0.5000871694272516,1.0,13.667308458817795,LAL,7,2023-05-04
183,Kevon Looney,PTS+TRB,20.5,0.4999878443392949,0.5000121556607051,1.0,20.667485373172102,LAL,7,2023-05-04
180,Kevon Looney,PTS+TRB+AST,24.5,0.49999857360346434,0.5000014263965357,1.0,24.667450629124573,LAL,7,2023-05-04
86,James Harden,TRB,5.5,0.5000959763061118,0.4999040236938882,10.0,5.670731225128661,BOS,7,2023-05-03
162,D'Angelo Russell,PTS+TRB,19.5,0.5003779173806128,0.49962208261938723,5.0,19.671867865321346,GSW,7,2023-05-04
150,Andrew Wiggins,TRB,6.0,0.5006111902707175,0.49938880972928246,1.0,6.166265745755416,LAL,7,2023-05-04
30,Devin Booker,TRB,5.0,0.501992425251459,0.49800757474854096,1.0,5.171843226102597,DEN,7,2023-05-05
115,Jaylen Brown,TRB,6.0,0.5020308630062368,0.49796913699376333,1.0,6.1738097609358515,PHI,7,2023-05-03
95,Tyrese Maxey,PTS+TRB,25.5,0.50264791981642,0.49735208018357996,5.0,25.701042341596878,BOS,7,2023-05-03
165,D'Angelo Russell,3P,2.5,0.5049949668247197,0.49500503317528033,9.0,2.6943684133285895,GSW,7,2023-05-04
92,Tyrese Maxey,TRB,3.5,0.5052002217120842,0.49479977828791577,9.0,3.6969032934729458,BOS,7,2023-05-03
38,Deandre Ayton,PTS+TRB+AST,26.5,0.5054381001937991,0.49456189980620097,5.0,26.73779137837675,DEN,7,2023-05-05
73,Al Horford,PTS,8.5,0.5063949413980208,0.49360505860197923,9.0,8.71608242412784,PHI,7,2023-05-03
175,Austin Reaves,PTS+TRB,19.5,0.5065098359932177,0.49349016400678225,5.0,19.740027957313526,GSW,7,2023-05-04
1,Eric Lauer,Pitcher Strikeouts,4.0,0.5066951121099461,0.4933048878900538,1.0,4.189513336322375,COL,2,2023-05-03
72,Jalen Brunson,PTS+TRB+AST,34.5,0.5067870576092341,0.4932129423907659,3.0,34.76742622008398,MIA,7,2023-05-06
55,Aaron Gordon,PTS,15.5,0.5084044261178282,0.4915955738821718,10.0,15.751322864911653,PHX,7,2023-05-05
94,Tyrese Maxey,PTS+AST,24.5,0.5091622035806025,0.4908377964193975,5.0,24.78159014346991,BOS,7,2023-05-03
59,Aaron Gordon,PTS+AST,17.5,0.50962915283761,0.49037084716239,4.0,17.769283972839915,PHX,7,2023-05-05
40,Deandre Ayton,STL,0.5,0.510128420919971,0.489871579080029,4.0,0.713612005737495,DEN,7,2023-05-05
14,Jason Delay,Total Bases,0.5,0.5112207155591162,0.4887792844408838,3.0,0.7158442524629182,TB,2,2023-05-03
19,Aaron Hicks,Total Bases,0.5,0.5112689329014503,0.48873106709854974,4.0,0.7159429058271454,CLE,2,2023-05-03
166,Anthony Davis,PTS,26.5,0.51145850055396,0.48854149944604003,8.0,26.815871348967004,GSW,7,2023-05-04
146,Klay Thompson,TRB,4.0,0.5116787968040832,0.48832120319591676,1.0,4.210676382110727,LAL,7,2023-05-04
50,Jamal Murray,AST,7.0,0.5124374150888331,0.48756258491116694,1.0,7.235824089655845,PHX,7,2023-05-05
12,Shane McClanahan,Pitcher Strikeouts,7.0,0.5132806430892042,0.4867193569107957,1.0,7.240745585004736,PIT,2,2023-05-03
107,Malcolm Brogdon,3P,1.5,0.5151936073407686,0.4848063926592314,9.0,1.7273280528321777,PHI,7,2023-05-03
71,Jalen Brunson,AST,5.5,0.5152198980840549,0.4847801019159451,5.0,5.76106006449002,MIA,7,2023-05-06
122,Joel Embiid,TRB,9.5,0.5163848451878016,0.4836151548121984,9.0,9.796649540887392,BOS,7,2023-05-03
76,Al Horford,STL,0.5,0.517532605425792,0.48246739457420795,3.0,0.7288419364984624,PHI,7,2023-05-03
101,Derrick White,TRB,3.5,0.5180481394783711,0.48195186052162886,9.0,3.758791155647432,PHI,7,2023-05-03
34,Devin Booker,3P,2.5,0.5180561165063037,0.4819438834936963,9.0,2.7479851461662106,DEN,7,2023-05-05
167,Anthony Davis,TRB,14.5,0.518423251732293,0.481576748267707,10.0,14.84531744867802,GSW,7,2023-05-04
29,Devin Booker,AST,8.0,0.519238103872513,0.48076189612748693,1.0,8.284627796104145,DEN,7,2023-05-05
148,Klay Thompson,3P,4.5,0.5192688587682742,0.4807311412317258,9.0,4.775480076262953,LAL,7,2023-05-04
81,Tobias Harris,PTS+AST,17.5,0.5194487724256711,0.4805512275743289,7.0,17.873250934800954,BOS,7,2023-05-03
156,Draymond Green,PTS+TRB,15.5,0.51971234675075,0.48028765324925005,6.0,15.864058694792371,LAL,7,2023-05-04
160,D'Angelo Russell,PTS,15.5,0.519767207360453,0.480232792639547,7.0,15.864607256213521,GSW,7,2023-05-04
13,Jack Suwinski,Total Bases,0.5,0.5198142339965287,0.4801857660034713,4.0,0.7335822374429928,TB,2,2023-05-03
80,Tobias Harris,PTS+TRB,21.5,0.5199397059153892,0.4800602940846109,7.0,21.900865793722932,BOS,7,2023-05-03
45,Nikola Jokic,PTS,26.5,0.5199887052322278,0.4800112947677721,7.0,26.926824242773097,PHX,7,2023-05-05
47,Nikola Jokic,PTS+TRB,40.5,0.5205248263946423,0.4794751736053578,7.0,40.99604476827865,PHX,7,2023-05-05
93,Tyrese Maxey,AST,2.5,0.5207045762569517,0.47929542374304834,9.0,2.7589519415349373,BOS,7,2023-05-03
58,Aaron Gordon,PTS+TRB+AST,23.5,0.5207109205710948,0.4792890794289052,8.0,23.92077773319761,PHX,7,2023-05-05
130,LeBron James,PTS+TRB+AST,41.5,0.5211068525070388,0.47889314749296114,9.0,42.009521644064876,GSW,7,2023-05-04
57,Aaron Gordon,PTS+TRB,21.5,0.5216700907251676,0.47832990927483243,6.0,21.92120845686503,PHX,7,2023-05-05
152,Andrew Wiggins,PTS+TRB,23.5,0.5231519780005317,0.4768480219994683,6.0,23.95078011731429,LAL,7,2023-05-04
70,Jalen Brunson,PTS,24.5,0.5239247601937131,0.4760752398062868,5.0,24.966362035456044,MIA,7,2023-05-06
145,Klay Thompson,PTS,23.5,0.5249866557179115,0.4750133442820885,9.0,23.973353135854506,LAL,7,2023-05-04
39,Deandre Ayton,PTS+TRB,25.5,0.5250677995925694,0.47493220040743056,6.0,25.986963353281794,DEN,7,2023-05-05
149,Andrew Wiggins,PTS,17.5,0.5264498253236084,0.4735501746763916,10.0,17.947696116251514,LAL,7,2023-05-04
131,LeBron James,PTS+AST,31.5,0.5266650667905992,0.4733349332094008,7.0,32.044862131416984,GSW,7,2023-05-04
164,D'Angelo Russell,PTS+TRB+AST,24.5,0.5269725653571636,0.47302743464283636,6.0,25.004666182349606,GSW,7,2023-05-04
79,Tobias Harris,TRB,6.0,0.5271362032737598,0.4728637967262403,1.0,6.308440657097372,BOS,7,2023-05-03
74,Al Horford,PTS+AST,11.5,0.5279349071586826,0.47206509284131737,5.0,11.908810547476493,PHI,7,2023-05-03
7,Trevor Larnach,Total Bases,0.5,0.5281148582969626,0.4718851417030374,4.0,0.7510196668589976,CWS,2,2023-05-03
111,Malcolm Brogdon,TRB,3.5,0.5283028170829301,0.47169718291706986,4.0,3.8087459181010184,PHI,7,2023-05-03
56,Aaron Gordon,TRB,6.0,0.5284133205243193,0.4715866794756807,1.0,6.315357499788436,PHX,7,2023-05-05
147,Klay Thompson,PTS+TRB,27.5,0.5290965316086633,0.47090346839133673,7.0,28.052744355346174,LAL,7,2023-05-04
112,Malcolm Brogdon,STL,0.5,0.5296084338642374,0.4703915661357626,3.0,0.7541898116916067,PHI,7,2023-05-03
133,LeBron James,AST,5.5,0.5297147063115101,0.4702852936884899,10.0,5.848653462483087,GSW,7,2023-05-04
168,Anthony Davis,PTS+TRB,40.5,0.5299968944664198,0.47000310553358016,7.0,41.14866514370175,GSW,7,2023-05-04
