,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
168,Sergei Bobrovsky,TOR,10.0,Goalie Saves,227,2023-05-10,29.5,NHL,FLA,-1.95
170,Joseph Woll,FLA,10.5,Goalie Saves,227,2023-05-10,30.5,NHL,TOR,-1.9047619047619047
12,Lautaro Martinez,Milan,1.5,Shots,242,2023-05-10,3.0,SOCCER,Inter,-1.0
14,Romelu Lukaku,Milan,1.0,Shots,242,2023-05-10,2.0,SOCCER,Inter,-1.0
71,Nolan Arenado,CHC,6.5,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,STL,-0.3076923076923077
56,Adley Rutschman,TB,6.5,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,BAL,-0.3076923076923077
50,Shohei Ohtani,HOU,7.5,Hitter Fantasy Score,2,2023-05-10,9.5,MLB,LAA,-0.26666666666666666
55,Wander Franco,BAL,7.5,Hitter Fantasy Score,2,2023-05-10,9.5,MLB,TB,-0.26666666666666666
48,Vladimir Guerrero Jr.,PHI,7.0,Hitter Fantasy Score,2,2023-05-10,8.5,other,TOR,-0.21428571428571427
57,Pete Alonso,CIN,7.0,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,NYM,-0.21428571428571427
52,Yordan Alvarez,LAA,8.0,Hitter Fantasy Score,2,2023-05-10,9.5,MLB,HOU,-0.1875
59,Jonathan India,NYM,6.5,Hitter Fantasy Score,2,2023-05-10,7.5,MLB,CIN,-0.15384615384615385
43,Marcus Semien,SEA,6.5,Hitter Fantasy Score,2,2023-05-10,7.5,MLB,TEX,-0.15384615384615385
70,Ian Happ,STL,6.5,Hitter Fantasy Score,2,2023-05-10,7.5,MLB,CHC,-0.15384615384615385
46,Bryce Harper,TOR,7.5,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,PHI,-0.13333333333333333
53,Mike Trout,HOU,7.5,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,LAA,-0.13333333333333333
67,Byron Buxton,SD,7.5,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,MIN,-0.13333333333333333
18,Donatas Motiejunas,Maccabi Playtika Tel Aviv,4.0,TRB,151,2023-05-10,4.5,BASKETBALL,Maccabi Tel Aviv,-0.125
63,Bobby Witt Jr.,CWS,8.5,Hitter Fantasy Score,2,2023-05-10,9.5,other,KC,-0.11764705882352941
3,Lorenzo Brown,AS Monaco,5.0,AST,151,2023-05-10,5.5,BASKETBALL,AS Monaco ,-0.1
114,Mitchell Robinson,MIA,6.0,PTS,7,2023-05-10,6.5,NBA,NYK,-0.08333333333333333
40,Christian Yelich,LAD,6.0,Hitter Fantasy Score,2,2023-05-10,6.5,MLB,MIL,-0.08333333333333333
7,Josh Nebo,AS Monaco,7.0,PTS,151,2023-05-10,7.5,BASKETBALL,AS Monaco ,-0.07142857142857142
38,Freddie Freeman,MIL,8.0,Hitter Fantasy Score,2,2023-05-10,8.5,MLB,LAD,-0.0625
35,Cloud,Team Vitality (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-10,35.0,ESPORTS,Val: Cloud,-0.04477611940298507
33,Mario Hezonja,Partizan,12.0,PTS,151,2023-05-10,12.5,BASKETBALL,KK Partizan Nis Belgrade,-0.041666666666666664
78,Jimmy Butler,NYK,12.0,TRB+AST,7,2023-05-10,12.5,NBA,MIA,-0.041666666666666664
95,Julius Randle,MIA,13.0,TRB+AST,7,2023-05-10,13.5,NBA,NYK,-0.038461538461538464
147,James Harden,BOS,15.0,TRB+AST,7,2023-05-11,15.5,NBA,PHI,-0.03333333333333333
131,Jayson Tatum,PHI,15.0,TRB+AST,7,2023-05-11,15.5,NBA,BOS,-0.03333333333333333
91,Bam Adebayo,NYK,17.0,PTS,7,2023-05-10,17.5,NBA,MIA,-0.029411764705882353
87,Bam Adebayo,NYK,19.5,PTS+AST,7,2023-05-10,20.0,NBA,MIA,-0.02564102564102564
108,RJ Barrett,MIA,20.0,PTS,7,2023-05-10,20.5,NBA,NYK,-0.025
159,Tyrese Maxey,BOS,25.5,PTS+TRB+AST,7,2023-05-11,26.0,NBA,PHI,-0.0196078431372549
151,James Harden,BOS,26.5,PTS+TRB,7,2023-05-11,27.0,NBA,PHI,-0.018867924528301886
89,Bam Adebayo,NYK,28.5,PTS+TRB+AST,7,2023-05-10,29.0,NBA,MIA,-0.017543859649122806
84,Jalen Brunson,MIA,29.5,PTS+TRB,7,2023-05-10,30.0,NBA,NYK,-0.01694915254237288
149,James Harden,BOS,35.5,PTS+TRB+AST,7,2023-05-11,36.0,NBA,PHI,-0.014084507042253521
82,Jalen Brunson,MIA,36.0,PTS+TRB+AST,7,2023-05-10,36.5,NBA,NYK,-0.013888888888888888
132,Jayson Tatum,PHI,39.5,PTS+TRB,7,2023-05-11,40.0,NBA,BOS,-0.012658227848101266
129,Jayson Tatum,PHI,44.5,PTS+TRB+AST,7,2023-05-11,45.0,NBA,BOS,-0.011235955056179775
36,nukkye,Team Vitality (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-05-10,31.5,ESPORTS,Val: nukkye,0.03076923076923077
164,Al Horford,PHI,8.0,PTS,7,2023-05-11,7.5,NBA,BOS,0.0625
