,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
85,Al Horford,PHI,14.0,PTS+TRB,7,2023-05-11,15.5,NBA,BOS,-0.10714285714285714
18,Penguin,EG Black,19.0,MAPS 1-2 Headshots,124,2023-05-11,20.5,ESPORTS,CS:GO Penguin,-0.07894736842105263
98,Robert Williams,PHI,6.5,TRB,7,2023-05-11,7.0,NBA,BOS,-0.07692307692307693
99,Robert Williams,PHI,7.5,TRB+AST,7,2023-05-11,8.0,NBA,BOS,-0.06666666666666667
87,Al Horford,PHI,8.5,TRB+AST,7,2023-05-11,9.0,NBA,BOS,-0.058823529411764705
59,James Harden,BOS,8.5,AST,7,2023-05-11,9.0,NBA,PHI,-0.058823529411764705
13,Penguin,EG Black,33.5,MAPS 1-2 Kills,124,2023-05-11,34.5,ESPORTS,CS:GO Penguin,-0.029850746268656716
68,Marcus Smart,PHI,18.0,PTS+AST,7,2023-05-11,18.5,NBA,BOS,-0.027777777777777776
25,MisteM,MIBR,35.0,MAPS 1-2 Kills,124,2023-05-11,35.5,ESPORTS,CS:GO MisteM,-0.014285714285714285
60,James Harden,BOS,35.5,PTS+TRB+AST,7,2023-05-11,36.0,NBA,PHI,-0.014084507042253521
16,junior,BHOP,40.5,MAPS 1-2 Kills,124,2023-05-11,41.0,ESPORTS,CS:GO junior,-0.012345679012345678
47,Joel Embiid,BOS,41.0,PTS+TRB,7,2023-05-11,41.5,NBA,PHI,-0.012195121951219513
26,insani,ATK,41.0,MAPS 1-2 Kills,124,2023-05-11,41.5,ESPORTS,CS:GO insani,-0.012195121951219513
37,Jayson Tatum,PHI,45.0,PTS+TRB+AST,7,2023-05-11,44.5,NBA,BOS,0.011111111111111112
24,reck,MIBR,36.0,MAPS 1-2 Kills,124,2023-05-11,35.5,ESPORTS,CS:GO reck,0.013888888888888888
17,RUSH,BHOP,34.0,MAPS 1-2 Kills,124,2023-05-11,33.5,ESPORTS,CS:GO RUSH,0.014705882352941176
57,James Harden,BOS,27.0,PTS+TRB,7,2023-05-11,26.5,NBA,PHI,0.018518518518518517
33,brnz4n,ATK,22.5,MAPS 1-2 Headshots,124,2023-05-11,22.0,ESPORTS,CS:GO brnz4n,0.022222222222222223
34,Tuurtle,ATK,21.5,MAPS 1-2 Headshots,124,2023-05-11,21.0,ESPORTS,CS:GO Tuurtle,0.023255813953488372
23,Swisher,MIBR,40.5,MAPS 1-2 Kills,124,2023-05-11,39.5,ESPORTS,CS:GO Swisher,0.024691358024691357
27,brnz4n,ATK,39.0,MAPS 1-2 Kills,124,2023-05-11,38.0,ESPORTS,CS:GO brnz4n,0.02564102564102564
28,Tuurtle,ATK,35.5,MAPS 1-2 Kills,124,2023-05-11,34.5,ESPORTS,CS:GO Tuurtle,0.028169014084507043
22,RUSH,BHOP,15.5,MAPS 1-2 Headshots,124,2023-05-11,15.0,ESPORTS,CS:GO RUSH,0.03225806451612903
14,Gonzo,EG Black,30.5,MAPS 1-2 Kills,124,2023-05-11,29.5,ESPORTS,CS:GO Gonzo,0.03278688524590164
32,insani,ATK,23.0,MAPS 1-2 Headshots,124,2023-05-11,22.0,ESPORTS,CS:GO insani,0.043478260869565216
103,Joel Embiid,BOS,10.0,FT,7,2023-05-11,9.5,NBA,PHI,0.05
15,Andrew,EG Black,29.5,MAPS 1-2 Kills,124,2023-05-11,28.0,ESPORTS,CS:GO Andrew,0.05084745762711865
150,Mitchell Robinson,MIA,9.0,TRB,7,2023-05-12,8.5,NBA,NYK,0.05555555555555555
20,Andrew,EG Black,8.5,MAPS 1-2 Headshots,124,2023-05-11,8.0,ESPORTS,CS:GO Andrew,0.058823529411764705
86,Al Horford,PHI,8.5,PTS,7,2023-05-11,8.0,NBA,BOS,0.058823529411764705
51,Jaylen Brown,PHI,6.0,TRB,7,2023-05-11,5.5,NBA,BOS,0.08333333333333333
111,Jalen Brunson,MIA,5.0,TRB,7,2023-05-12,4.5,NBA,NYK,0.1
142,RJ Barrett,MIA,5.0,TRB,7,2023-05-12,4.5,NBA,NYK,0.1
92,Malcolm Brogdon,PHI,4.0,TRB,7,2023-05-11,3.5,NBA,BOS,0.125
3,Samuel Umtiti,Lazio,3.5,Clearances,82,2023-05-12,3.0,SOCCER,Lecce,0.14285714285714285
9,Wladimiro Falcone,Lazio,3.5,Goalie Saves,82,2023-05-12,3.0,SOCCER,Lecce,0.14285714285714285
