,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
170,Jarred Vanderbilt,TRB,5.0,0.47784457639057226,0.5221554236094277,1.0,5.056917285567296,GSW,7,2023-05-10
198,Jaylen Brown,TRB,6.0,0.48525978976679995,0.5147402102331999,1.0,6.085093140644218,PHI,7,2023-05-11
156,Austin Reaves,TRB,4.0,0.4862853099359557,0.5137146900640444,1.0,4.1036642472282345,GSW,7,2023-05-10
136,Anthony Davis,PTS+AST,27.5,0.4874870877592199,0.5125129122407801,2.0,27.502867651306286,GSW,7,2023-05-10
11,Sean Manaea,Pitcher Strikeouts,5.0,0.49248871780002984,0.5075112821999702,1.0,5.126411164283966,WSH,2,2023-05-10
78,Gabe Vincent,AST,4.0,0.49253504818304433,0.5074649518169557,1.0,4.129821052094178,NYK,7,2023-05-10
39,Aaron Gordon,PTS+AST,16.5,0.4953297181661648,0.5046702818338352,5.0,16.620184319621814,PHX,7,2023-05-11
96,Julius Randle,AST,4.0,0.49712260399725,0.5028773960027499,1.0,4.149092474746396,MIA,7,2023-05-10
126,Kevin Love,PTS,8.5,0.4976185828439941,0.5023814171560059,8.0,8.651444246802903,NYK,7,2023-05-10
83,Kyle Lowry,PTS+TRB+AST,18.5,0.4988784288502721,0.5011215711497279,8.0,18.65560032201022,NYK,7,2023-05-10
76,Gabe Vincent,PTS+AST,15.5,0.49905884638562004,0.50094115361438,5.0,15.658609983859337,NYK,7,2023-05-10
108,Jimmy Butler,AST,6.0,0.499210675776899,0.500789324223101,1.0,6.1588300735775015,NYK,7,2023-05-10
16,Patrick Wisdom,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,STL,2,2023-05-10
30,Kentavious Caldwell-Pope,TRB,2.5,0.4994364584924238,0.5005635415075762,1.0,2.6717756715392302,PHX,7,2023-05-11
52,Devin Booker,AST,7.5,0.49955551877994453,0.5004444812200555,7.0,7.66617569310085,DEN,7,2023-05-11
25,Cristian Javier,Pitcher Strikeouts,6.0,0.49958331294928676,0.5004166870507133,1.0,6.1608078669728865,LAA,2,2023-05-10
28,Kentavious Caldwell-Pope,PTS+TRB,11.5,0.4997947125621822,0.5002052874378178,1.0,11.666609705727254,PHX,7,2023-05-11
29,Kentavious Caldwell-Pope,PTS,9.5,0.49982720086937416,0.5001727991306258,1.0,9.667371741039444,PHX,7,2023-05-11
179,LeBron James,PTS,25.5,0.5002103244605445,0.4997896755394555,7.0,25.670105277187364,GSW,7,2023-05-10
220,Tyrese Maxey,PTS,19.5,0.5008965154226772,0.4991034845773228,7.0,19.677626050204747,BOS,7,2023-05-11
147,Andrew Wiggins,PTS,17.5,0.5009693805009249,0.4990306194990751,7.0,17.677985771958863,LAL,7,2023-05-10
169,Jarred Vanderbilt,PTS,5.0,0.5050762095533,0.4949237904467,1.0,5.18664738715977,GSW,7,2023-05-10
9,Edward Cabrera,Pitcher Strikeouts,5.5,0.5053086212729174,0.4946913787270826,9.0,5.7017495668452165,ARI,2,2023-05-10
60,Deandre Ayton,TRB,9.0,0.5055539419086963,0.49444605809130365,1.0,9.201280397083838,DEN,7,2023-05-11
135,Anthony Davis,PTS,24.5,0.5057746309328127,0.4942253690671873,6.0,24.739350737895254,GSW,7,2023-05-10
84,Caleb Martin,PTS,8.5,0.506969960166568,0.49303003983343197,6.0,8.720329150832224,NYK,7,2023-05-10
64,Jamal Murray,TRB,5.0,0.5069831053278014,0.49301689467219856,1.0,5.195817794393037,PHX,7,2023-05-11
183,LeBron James,PTS+AST,31.5,0.5076760134983476,0.49232398650165243,5.0,31.775601528476564,GSW,7,2023-05-10
75,Gabe Vincent,PTS,11.5,0.5079241896531904,0.4920758103468096,9.0,11.736186172184464,NYK,7,2023-05-10
229,Marcus Smart,AST,5.0,0.5080884866838351,0.4919115133161648,1.0,5.201139401420252,PHI,7,2023-05-11
142,Klay Thompson,3P,4.5,0.5092023126320153,0.4907976873679847,9.0,4.7206408233067805,LAL,7,2023-05-10
40,Aaron Gordon,PTS+TRB,20.5,0.5094970076063864,0.4905029923936136,6.0,20.775900227040413,PHX,7,2023-05-11
34,Kevin Durant,AST,5.5,0.5095337658249743,0.49046623417502566,7.0,5.726978660845542,DEN,7,2023-05-11
174,Dennis Schroder,PTS+TRB+AST,14.5,0.5103886347595442,0.4896113652404558,3.0,14.767794734134592,GSW,7,2023-05-10
88,Caleb Martin,PTS+TRB+AST,14.5,0.5103886347595442,0.4896113652404558,3.0,14.767794734134592,NYK,7,2023-05-10
209,Tobias Harris,STL,0.5,0.5107014018388639,0.4892985981611361,4.0,0.7147823456796448,BOS,7,2023-05-11
73,RJ Barrett,PTS+AST,23.5,0.5113969288456638,0.4886030711543362,5.0,23.806609923837822,MIA,7,2023-05-10
80,Kyle Lowry,PTS,10.5,0.5114654561901543,0.48853454380984573,9.0,10.762435262575176,NYK,7,2023-05-10
1,Daniel Vogelbach,Total Bases,0.5,0.5130214815163711,0.48697851848362894,4.0,0.7195352667622961,CIN,2,2023-05-10
65,Jamal Murray,PTS,24.5,0.5137387983273687,0.48626120167263126,7.0,24.838745442668376,PHX,7,2023-05-11
204,Al Horford,PTS+TRB,14.5,0.5144144770107473,0.4855855229892527,5.0,14.806597509551258,PHI,7,2023-05-11
173,Dennis Schroder,3P,0.5,0.5147586372609723,0.48524136273902774,7.0,0.7231088567018852,GSW,7,2023-05-10
69,Jamal Murray,PTS+TRB,29.5,0.5149860768251301,0.4850139231748699,7.0,29.87226495899294,PHX,7,2023-05-11
87,Caleb Martin,STL,0.5,0.5150782570395995,0.48492174296040047,3.0,0.7237677557845511,NYK,7,2023-05-10
90,Max Strus,PTS+AST,13.5,0.5151723030167719,0.48482769698322814,5.0,13.808946104005752,NYK,7,2023-05-10
227,Marcus Smart,PTS+AST,18.5,0.5154289976859726,0.4845710023140274,6.0,18.835115482297923,PHI,7,2023-05-11
176,Dennis Schroder,PTS+TRB,11.5,0.5154312663650794,0.4845687336349206,4.0,11.800705983136647,GSW,7,2023-05-10
202,Jaylen Brown,PTS+TRB+AST,34.5,0.515787342382191,0.48421265761780896,7.0,34.900634171501174,PHI,7,2023-05-11
59,Deandre Ayton,STL,0.5,0.5159147154490669,0.48408528455093314,4.0,0.7254941800384054,DEN,7,2023-05-11
