,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
102,Fernando Tatis Jr.,LAD,7.5,Hitter Fantasy Score,2,2023-05-07,10.0,other,SD,-0.3333333333333333
96,Yordan Alvarez,SEA,8.0,Hitter Fantasy Score,2,2023-05-07,10.5,MLB,HOU,-0.3125
75,Wander Franco,NYY,6.5,Hitter Fantasy Score,2,2023-05-07,8.5,MLB,TB,-0.3076923076923077
67,Pete Alonso,COL,7.5,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,NYM,-0.26666666666666666
91,Marcus Semien,LAA,7.5,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,TEX,-0.26666666666666666
103,Mookie Betts,SD,7.5,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,LAD,-0.26666666666666666
15,Rafael Devers,PHI,7.5,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,BOS,-0.26666666666666666
32,Gabriel Jesus,Newcastle United,2.0,Shots,82,2023-05-07,2.5,SOCCER,Arsenal,-0.25
65,Bruno Fernandes,West Ham United,2.0,Shots,82,2023-05-07,2.5,SOCCER,Manchester United,-0.25
54,Khvicha Kvaratskhelia,Fiorentina,2.5,Shots,82,2023-05-07,3.0,SOCCER,Napoli,-0.2
92,Mike Trout,TEX,8.0,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,LAA,-0.1875
90,Shohei Ohtani,TEX,8.0,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,LAA,-0.1875
80,Paul Goldschmidt,DET,8.0,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,STL,-0.1875
16,Trea Turner,BOS,8.0,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,PHI,-0.1875
74,Anthony Rizzo,TB,6.5,Hitter Fantasy Score,2,2023-05-07,7.5,MLB,NYY,-0.15384615384615385
61,Jarrod Bowen,Manchester United,3.5,Crosses,82,2023-05-07,4.0,SOCCER,West Ham United,-0.14285714285714285
66,Bryan Reynolds,TOR,7.5,Hitter Fantasy Score,2,2023-05-07,8.5,MLB,PIT,-0.13333333333333333
95,Jonathan India,CWS,7.5,Hitter Fantasy Score,2,2023-05-07,8.5,MLB,CIN,-0.13333333333333333
72,Byron Buxton,CLE,8.5,Hitter Fantasy Score,2,2023-05-07,9.5,MLB,MIN,-0.11764705882352941
168,Marcus Smart,PHI,4.5,AST,7,2023-05-07,5.0,NBA,BOS,-0.1111111111111111
124,Jaylen Brown,PHI,5.5,TRB,7,2023-05-07,6.0,NBA,BOS,-0.09090909090909091
10,Ryan Mountcastle,ATL,6.5,Hitter Fantasy Score,2,2023-05-07,7.0,MLB,BAL,-0.07692307692307693
69,Kris Bryant,NYM,7.0,Hitter Fantasy Score,2,2023-05-07,7.5,MLB,COL,-0.07142857142857142
87,Nico Hoerner,MIA,7.0,Hitter Fantasy Score,2,2023-05-07,7.5,MLB,CHC,-0.07142857142857142
108,kiNgg,KRÜ Esports (MAPS 1-2 Kills),31.0,MAPS 1-2 Kills,159,2023-05-07,32.0,ESPORTS,Val: kiNgg,-0.03225806451612903
121,Joel Embiid,BOS,27.5,PTS,7,2023-05-07,28.0,NBA,PHI,-0.01818181818181818
105,Less,100 Thieves (MAPS 1-2 Kills),34.0,MAPS 1-2 Kills,159,2023-05-07,33.5,ESPORTS,Val: Less,0.014705882352941176
110,keznit,Leviatán (MAPS 1-2 Kills),31.5,MAPS 1-2 Kills,159,2023-05-07,31.0,ESPORTS,Val: keznit,0.015873015873015872
109,Mazino,KRÜ Esports (MAPS 1-2 Kills),30.5,MAPS 1-2 Kills,159,2023-05-07,29.5,ESPORTS,Val: Mazino,0.03278688524590164
114,Jayson Tatum,PHI,14.5,TRB+AST,7,2023-05-07,14.0,NBA,BOS,0.034482758620689655
106,Asuna,LOUD (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-05-07,28.5,ESPORTS,Val: Asuna,0.05
112,Jayson Tatum,PHI,9.5,TRB,7,2023-05-07,9.0,NBA,BOS,0.05263157894736842
107,bang,LOUD (MAPS 1-2 Kills),29.5,MAPS 1-2 Kills,159,2023-05-07,27.5,ESPORTS,Val: bang,0.06779661016949153
111,Melser,Leviatán (MAPS 1-2 Kills),26.5,MAPS 1-2 Kills,159,2023-05-07,23.5,ESPORTS,Val: Melser,0.11320754716981132
63,Bruno Fernandes,West Ham United,4.0,Crosses,82,2023-05-07,3.5,SOCCER,Manchester United,0.125
88,Jazz Chisholm Jr.,CHC,7.5,Hitter Fantasy Score,2,2023-05-07,6.5,other,MIA,0.13333333333333333
31,Callum Wilson,Arsenal,2.5,Shots,82,2023-05-07,2.0,SOCCER,Newcastle,0.2
37,Karim Adeyemi,VfL Wolfsburg,2.0,Shots,82,2023-05-07,1.5,SOCCER,Borussia Dortmund,0.25
34,Jacob Murphy,Arsenal,2.0,Shots,82,2023-05-07,1.5,SOCCER,Newcastle,0.25
33,Miguel Almiron,Arsenal,2.0,Shots,82,2023-05-07,1.5,SOCCER,Newcastle,0.25
64,Christian Eriksen,West Ham United,1.5,Shots,82,2023-05-07,1.0,SOCCER,Manchester United,0.3333333333333333
