,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
101,dumau,Websterz,38.5,MAPS 1-2 Kills,124,2023-05-17,38.0,ESPORTS,CS:GO dumau,2023-05-16,0.012987012987012988
102,nqz,Websterz,36.0,MAPS 1-2 Kills,124,2023-05-17,35.5,ESPORTS,CS:GO nqz,2023-05-16,0.013888888888888888
94,Rickie Fowler,Oak Hill  - East RD 1,71.5,Strokes,1,2023-05-18,70.5,other,Rickie Fowler,,0.013986013986013986
88,Sungjae Im,Oak Hill  - East RD 1,71.0,Strokes,1,2023-05-18,70.0,other,Sungjae Im,,0.014084507042253521
87,Max Homa,Oak Hill  - East RD 1,71.0,Strokes,1,2023-05-18,70.0,other,Max Homa,,0.014084507042253521
83,Jason Day,Oak Hill  - East RD 1,70.5,Strokes,1,2023-05-18,69.5,other,Jason Day,,0.014184397163120567
86,Collin Morikawa,Oak Hill  - East RD 1,70.5,Strokes,1,2023-05-18,69.5,other,Collin Morikawa,,0.014184397163120567
77,Xander Schauffele,Oak Hill  - East RD 1,70.0,Strokes,1,2023-05-18,69.0,other,Xander Schauffele,,0.014285714285714285
219,Xyp9x,Sprout,34.5,MAPS 1-2 Kills,124,2023-05-17,34.0,ESPORTS,CS:GO Xyp9x,2023-05-16,0.014492753623188406
105,znxxX,00NATION,37.0,MAPS 1-2 Kills,124,2023-05-17,36.0,ESPORTS,CS:GO znxxX,2023-05-16,0.02702702702702703
74,Shao,Fnatic (MAPS 1-2 Kills),29.0,MAPS 1-2 Kills,159,2023-05-17,28.0,ESPORTS,Val: Shao,2023-05-16,0.034482758620689655
111,JaCkky,SMG (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-05-17,13.0,ESPORTS,Dota: JaCkky,2023-05-16,0.037037037037037035
217,MistR,Sprout,37.5,MAPS 1-2 Kills,124,2023-05-17,36.0,ESPORTS,CS:GO MistR,2023-05-16,0.04
161,Marcus Smart,MIA,9.0,TRB+AST,7,2023-05-17,8.5,NBA,BOS,2023-05-18,0.05555555555555555
21,Kevin De Bruyne,Real Madrid,8.5,Crosses,82,2023-05-17,8.0,other,Manchester City,2023-05-17,0.058823529411764705
