,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
26,Roberto Pereyra,Sampdoria,1.0,Shots,82,2023-05-08,1.5,SOCCER,Udinese,-0.5
19,Boulaye Dia,Empoli,1.5,Shots,82,2023-05-08,2.0,SOCCER,Salernitana,-0.3333333333333333
9,Tomas Rincon,Udinese,1.5,Tackles,82,2023-05-08,2.0,SOCCER,Sampdoria,-0.3333333333333333
55,Mookie Betts,MIL,7.5,Hitter Fantasy Score,2,2023-05-08,9.5,MLB,LAD,-0.26666666666666666
27,Mattia Destro,Salernitana,2.0,Shots,82,2023-05-08,2.5,SOCCER,Empoli,-0.25
10,Rodrigo Becao,Sampdoria,2.5,Clearances,82,2023-05-08,3.0,SOCCER,Udinese,-0.2
3,James Maddison,Fulham,2.5,Shots,82,2023-05-08,3.0,SOCCER,Leicester City ,-0.2
11,Tommaso Augello,Udinese,3.0,Crosses,82,2023-05-08,3.5,SOCCER,Sampdoria,-0.16666666666666666
47,Kris Bryant,PIT,6.5,Hitter Fantasy Score,2,2023-05-08,7.5,MLB,COL,-0.15384615384615385
58,Ian Happ,STL,6.5,Hitter Fantasy Score,2,2023-05-08,7.5,MLB,CHC,-0.15384615384615385
56,Willy Adames,LAD,6.5,Hitter Fantasy Score,2,2023-05-08,7.5,MLB,MIL,-0.15384615384615385
44,Wander Franco,BAL,7.5,Hitter Fantasy Score,2,2023-05-08,8.5,MLB,TB,-0.13333333333333333
57,Paul Goldschmidt,CHC,7.5,Hitter Fantasy Score,2,2023-05-08,8.5,MLB,STL,-0.13333333333333333
35,Steven Kwan,DET,7.0,Hitter Fantasy Score,2,2023-05-08,7.5,MLB,CLE,-0.07142857142857142
59,s0m,FURIA Esports (MAPS 1-2 Kills),32.5,MAPS 1-2 Kills,159,2023-05-08,34.0,ESPORTS,Val: s0m,-0.046153846153846156
96,Max Strus,NYK,11.0,PTS,7,2023-05-08,11.5,NBA,MIA,-0.045454545454545456
99,Josh Hart,MIA,11.5,TRB+AST,7,2023-05-08,12.0,NBA,NYK,-0.043478260869565216
61,mwzera,NRG (MAPS 1-2 Kills),30.0,MAPS 1-2 Kills,159,2023-05-08,30.5,ESPORTS,Val: mwzera,-0.016666666666666666
62,dgzin,NRG (MAPS 1-2 Kills),33.5,MAPS 1-2 Kills,159,2023-05-08,34.0,ESPORTS,Val: dgzin,-0.014925373134328358
91,RJ Barrett,MIA,20.0,PTS,7,2023-05-08,19.5,NBA,NYK,0.025
70,Julius Randle,MIA,36.5,PTS+TRB+AST,7,2023-05-08,35.5,NBA,NYK,0.0273972602739726
60,crashies,FURIA Esports (MAPS 1-2 Kills),33.0,MAPS 1-2 Kills,159,2023-05-08,32.0,ESPORTS,Val: crashies,0.030303030303030304
71,Julius Randle,MIA,32.5,PTS+TRB,7,2023-05-08,31.5,NBA,NYK,0.03076923076923077
82,Jalen Brunson,MIA,29.5,PTS+TRB,7,2023-05-08,28.5,NBA,NYK,0.03389830508474576
94,RJ Barrett,MIA,27.5,PTS+TRB+AST,7,2023-05-08,26.5,NBA,NYK,0.03636363636363636
92,RJ Barrett,MIA,24.5,PTS+TRB,7,2023-05-08,23.5,NBA,NYK,0.04081632653061224
98,Josh Hart,MIA,8.5,TRB,7,2023-05-08,8.0,NBA,NYK,0.058823529411764705
15,Michael Keane,BHA,5.0,Clearances,82,2023-05-08,4.5,SOCCER,Everton,0.1
32,Gian Marco Ferrari,Bologna,3.5,Clearances,82,2023-05-08,3.0,other,Sassuolo,0.14285714285714285
16,Amadou Onana,BHA,2.5,Tackles,82,2023-05-08,2.0,SOCCER,Everton,0.2
12,Fabiano Parisi,Salernitana,2.0,Tackles,82,2023-05-08,1.5,SOCCER,Empoli,0.25
