,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
69,Malcolm Brogdon,TRB,4.0,0.37257835666136324,0.6274216433386367,1.0,3.6390276458129427,PHI,7,2023-05-11
71,Malcolm Brogdon,PTS+TRB+AST,22.0,0.386334180579695,0.6136658194203051,1.0,20.938412439889152,PHI,7,2023-05-11
68,Malcolm Brogdon,PTS,15.0,0.39286686279981636,0.6071331372001836,1.0,14.228766340217652,PHI,7,2023-05-11
119,RJ Barrett,TRB,5.0,0.4687397759824748,0.5312602240175252,1.0,5.01398274951557,MIA,7,2023-05-12
79,Marcus Smart,PTS,13.5,0.4720567476739964,0.5279432523260036,4.0,13.41111166858351,PHI,7,2023-05-11
193,Austin Reaves,AST,4.0,0.4745903903143315,0.5254096096856685,1.0,4.054994936937033,GSW,7,2023-05-12
70,Malcolm Brogdon,PTS+TRB,18.5,0.4795788232499194,0.5204211767500806,3.0,18.447667552039334,PHI,7,2023-05-11
51,Jaylen Brown,TRB,6.0,0.4822779884908517,0.5177220115091483,1.0,6.0694053230194305,PHI,7,2023-05-11
113,Jalen Brunson,TRB,5.0,0.4839511720162557,0.5160488279837442,1.0,5.085826072351728,MIA,7,2023-05-12
200,Draymond Green,PTS,9.5,0.485417242499932,0.514582757500068,5.0,9.555801066354272,LAL,7,2023-05-12
141,Gabe Vincent,AST,4.0,0.48949432367974355,0.5105056763202565,1.0,4.117081204854105,NYK,7,2023-05-12
170,Stephen Curry,TRB,6.0,0.4921624938832651,0.507837506116735,1.0,6.12150438664421,LAL,7,2023-05-12
81,Marcus Smart,PTS+TRB,16.5,0.49341398382848756,0.5065860161715124,5.0,16.600655356205106,PHI,7,2023-05-11
25,Jamal Murray,TRB,5.0,0.49417820058217476,0.5058217994178252,1.0,5.134467323004633,PHX,7,2023-05-11
85,Derrick White,PTS+TRB,12.5,0.4954054271179721,0.5045945728820279,5.0,12.627371334318562,PHI,7,2023-05-11
32,Aaron Gordon,PTS,14.5,0.49604874636872953,0.5039512536312705,7.0,14.630187615990684,PHX,7,2023-05-11
189,Andrew Wiggins,PTS+AST,20.5,0.4972576610767494,0.5027423389232506,5.0,20.636430914974017,LAL,7,2023-05-12
182,D'Angelo Russell,PTS,15.5,0.49769436046387683,0.5023056395361232,5.0,15.645104942126258,GSW,7,2023-05-12
148,Kyle Lowry,AST,4.5,0.4980321931821232,0.5019678068178768,6.0,4.660320996096182,NYK,7,2023-05-12
87,Tyrese Maxey,PTS,19.5,0.49843997660505046,0.5015600233949495,7.0,19.650360137268926,BOS,7,2023-05-11
41,Kentavious Caldwell-Pope,TRB,2.5,0.4994364584924238,0.5005635415075762,1.0,2.6717756715392302,PHX,7,2023-05-11
40,Kentavious Caldwell-Pope,PTS,9.5,0.49982720086937416,0.5001727991306258,1.0,9.667371741039444,PHX,7,2023-05-11
39,Kentavious Caldwell-Pope,PTS+TRB,12.5,0.4998649659166091,0.5001350340833909,1.0,12.66702702213936,PHX,7,2023-05-11
5,Kevin Durant,AST,6.0,0.5027881336363776,0.4972118663636224,1.0,6.177836596537032,DEN,7,2023-05-11
