,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
6,James Kaprielian,Pitcher Strikeouts,4.0,0.44998076091887884,0.550019239081121,2.0,3.9535716340325537,TOR,2,2023-06-23
15,Wade Miley,Pitcher Strikeouts,3.0,0.46288834778819354,0.5371116522118065,2.0,3.028692526523191,CLE,2,2023-06-23
10,Patrick Sandoval,Pitcher Strikeouts,5.0,0.46495609160291523,0.5350439083970848,2.0,4.996194402850554,COL,2,2023-06-23
11,Kyle Freeland,Pitcher Strikeouts,3.5,0.47245828410476554,0.5275417158952345,7.0,3.5422599399754406,LAA,2,2023-06-23
13,Austin Hedges,Total Bases,0.5,0.4779332497233889,0.5220667502766111,5.0,0.6499598251815688,MIA,2,2023-06-23
16,Shane Bieber,Pitcher Strikeouts,6.0,0.48320397691509537,0.5167960230849047,2.0,6.07427458260027,MIL,2,2023-06-23
18,Patrick Corbin,Pitcher Strikeouts,4.0,0.4865899379314959,0.5134100620685041,1.0,4.104936696031761,SD,2,2023-06-23
0,Kyle Gibson,Pitcher Strikeouts,5.0,0.4875902919119564,0.5124097080880435,2.0,5.10310047377076,SEA,2,2023-06-23
1,Logan Gilbert,Pitcher Strikeouts,4.5,0.4895849147443261,0.5104150852556739,11.0,4.615046857138889,BAL,2,2023-06-23
8,Michael Busch,Total Bases,0.5,0.5025440193221684,0.4974559806778316,5.0,0.6982482073477531,HOU,2,2023-06-23
7,Kenta Maeda,Pitcher Strikeouts,4.5,0.503889400644022,0.496110599355978,11.0,4.69188369870336,DET,2,2023-06-23
21,Brayan Bello,Pitcher Strikeouts,5.0,0.5092551364738278,0.4907448635261723,2.0,5.2067606096762145,CWS,2,2023-06-23
17,Derek Hill,Total Bases,0.5,0.5111986397004267,0.48880136029957333,5.0,0.7157990881916897,SD,2,2023-06-23
20,Lucas Giolito,Pitcher Strikeouts,5.5,0.5116647176853358,0.48833528231466417,7.0,5.7397335185308105,BOS,2,2023-06-23
5,AJ Smith-Shawver,Pitcher Strikeouts,4.5,0.5131807085542212,0.48681929144577885,11.0,4.742257359127567,CIN,2,2023-06-23
14,Drew Waters,Total Bases,0.5,0.5136657729794766,0.4863342270205234,5.0,0.7208591815269766,TB,2,2023-06-23
12,Tucupita Marcano,Total Bases,0.5,0.5176820953001308,0.48231790469986924,5.0,0.7291518290220059,MIA,2,2023-06-23
2,Kody Clemens,Total Bases,0.5,0.5190248550365321,0.48097514496346794,3.0,0.7319396838841302,NYM,2,2023-06-23
9,Chas McCormick,Total Bases,0.5,0.5195641353486278,0.4804358646513722,5.0,0.7330615357523984,LAD,2,2023-06-23
3,Brandon Marsh,Total Bases,0.5,0.5229286789639163,0.47707132103608374,5.0,0.7400892792790065,NYM,2,2023-06-23
4,Luke Weaver,Pitcher Strikeouts,3.5,0.5339811014372381,0.4660188985627619,8.0,3.8366351534314256,ATL,2,2023-06-23
19,Logan Webb,Pitcher Strikeouts,5.0,0.5458031765360423,0.4541968234639577,2.0,5.385598806698105,ARI,2,2023-06-23
