,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
61,Bruno Fernandes,1.5,2.0,Shots,-0.3333333333333333,2023-06-03,SOCCER,Manchester United
14,Jimmy Butler,6.0,6.5,AST,-0.08333333333333333,2023-06-04,NBA,MIA
127,juissi,35.0,37.5,MAPS 1-2 Kills,-0.07142857142857142,2023-06-02,ESPORTS, ENCE Academy
130,Demho,35.0,37.5,MAPS 1-2 Kills,-0.07142857142857142,2023-06-02,ESPORTS,Illuminar 
119,Adzantick,10.0,10.5,MAPS 1-2 Kills,-0.05,2023-06-02,ESPORTS,D1 Hustlers 
51,Bruce Brown,10.0,10.5,PTS,-0.05,2023-06-04,NBA,DEN
20,Jamal Murray,11.0,11.5,TRB+AST,-0.045454545454545456,2023-06-04,NBA,DEN
141,rafaxF,35.5,37.0,MAPS 1-2 Kills,-0.04225352112676056,2023-06-02,ESPORTS, GTZ
147,zdr,36.0,37.5,MAPS 1-2 Kills,-0.041666666666666664,2023-06-02,ESPORTS, W7M Academy
140,Shr,38.0,39.5,MAPS 1-2 Kills,-0.039473684210526314,2023-06-02,ESPORTS, GTZ
134,glowiing,39.0,40.5,MAPS 1-2 Kills,-0.038461538461538464,2023-06-02,ESPORTS,9 Pandas 
125,podi,41.0,42.5,MAPS 1-2 Kills,-0.036585365853658534,2023-06-02,ESPORTS, ENCE Academy
150,device,42.0,43.5,MAPS 1-2 Kills,-0.03571428571428571,2023-06-02,ESPORTS,Astralis 
121,Arteezy,14.5,15.0,MAPS 1-2 Kills,-0.034482758620689655,2023-06-02,ESPORTS,Shopify Rebellion 
153,gla1ve,33.0,34.0,MAPS 1-2 Kills,-0.030303030303030304,2023-06-02,ESPORTS,Astralis 
162,rain,34.0,35.0,MAPS 1-2 Kills,-0.029411764705882353,2023-06-02,ESPORTS, Faze
122,Abed,18.5,19.0,MAPS 1-2 Kills,-0.02702702702702703,2023-06-02,ESPORTS,Shopify Rebellion 
160,ropz,39.0,40.0,MAPS 1-2 Kills,-0.02564102564102564,2023-06-02,ESPORTS, Faze
131,Rainwaker,39.0,40.0,MAPS 1-2 Kills,-0.02564102564102564,2023-06-02,ESPORTS,500 
132,REDSTAR,39.0,40.0,MAPS 1-2 Kills,-0.02564102564102564,2023-06-02,ESPORTS,500 
128,m4tthi,39.5,40.5,MAPS 1-2 Kills,-0.02531645569620253,2023-06-02,ESPORTS,Illuminar 
151,Altekz,36.0,36.5,MAPS 1-2 Kills,-0.013888888888888888,2023-06-02,ESPORTS,Astralis 
