,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
379,Sergei Bobrovsky,CAR,10.5,Goalie Saves,227,2023-05-18,31.5,NHL,FLA,2023-05-19,-2.0
381,Frederik Andersen,FLA,9.0,Goalie Saves,227,2023-05-18,26.5,NHL,CAR,2023-05-19,-1.9444444444444444
95,Shakira Austin,NYL 1st Half,4.5,PTS,193,2023-05-19,9.5,WNBA,WSH,2023-05-19,-1.1111111111111112
8,Aliyah Boston,CON 1st Half,4.5,PTS,193,2023-05-19,9.5,WNBA,IND,2023-05-19,-1.1111111111111112
48,Erica Wheeler,CON 1st Half,7.5,PTS+TRB+AST,193,2023-05-19,15.5,WNBA,IND,2023-05-19,-1.0666666666666667
2,Brionna Jones,IND 1st Half,7.5,PTS,193,2023-05-19,15.5,WNBA,CONN,2023-05-19,-1.0666666666666667
16,DeWanna Bonner,IND 1st Half,7.5,PTS,193,2023-05-19,15.5,WNBA,CONN,2023-05-19,-1.0666666666666667
5,Aliyah Boston,CON 1st Half,8.5,PTS+TRB+AST,193,2023-05-19,17.5,WNBA,IND,2023-05-19,-1.0588235294117647
92,Shakira Austin,NYL 1st Half,8.5,PTS+TRB+AST,193,2023-05-19,17.5,WNBA,WSH,2023-05-19,-1.0588235294117647
73,Elena Delle Donne,NYL 1st Half,9.5,PTS,193,2023-05-19,19.5,other,WSH,2023-05-19,-1.0526315789473684
130,Ariel Atkins,NYL 1st Half,9.5,PTS+TRB+AST,193,2023-05-19,19.5,WNBA,WSH,2023-05-19,-1.0526315789473684
114,Natasha Cloud,NYL 1st Half,10.5,PTS+TRB+AST,193,2023-05-19,21.5,WNBA,WSH,2023-05-19,-1.0476190476190477
40,Tiffany Hayes,IND 1st Half,10.5,PTS+TRB+AST,193,2023-05-19,21.5,WNBA,CONN,2023-05-19,-1.0476190476190477
210,Courtney Williams,MIN 1st Half,11.5,PTS+TRB+AST,193,2023-05-19,23.5,WNBA,CHI,2023-05-20,-1.0434782608695652
4,Brionna Jones,IND 1st Half,11.5,PTS+TRB+AST,193,2023-05-19,23.5,WNBA,CONN,2023-05-19,-1.0434782608695652
65,Jonquel Jones,WAS 1st Half,12.5,PTS+TRB+AST,193,2023-05-19,25.5,WNBA,NY,2023-05-19,-1.04
11,DeWanna Bonner,IND 1st Half,12.5,PTS+TRB+AST,193,2023-05-19,25.5,WNBA,CONN,2023-05-19,-1.04
183,Napheesa Collier,CHI 1st Half,13.5,PTS+TRB+AST,193,2023-05-19,27.5,WNBA, MIN,2023-05-20,-1.037037037037037
29,Alyssa Thomas,IND 1st Half,14.5,PTS+TRB+AST,193,2023-05-19,29.5,WNBA,CONN,2023-05-19,-1.0344827586206897
82,Breanna Stewart,WAS 1st Half,15.5,PTS+TRB+AST,193,2023-05-19,31.5,WNBA,NY,2023-05-19,-1.032258064516129
97,Courtney Vandersloot,WAS 1st Half,10.5,PTS+TRB+AST,193,2023-05-19,21.0,WNBA,NY,2023-05-19,-1.0
203,Kayla McBride,CHI 1st Half,7.5,PTS,193,2023-05-19,15.0,WNBA, MIN,2023-05-20,-1.0
118,Sabrina Ionescu,WAS 1st Half,14.5,PTS+TRB+AST,193,2023-05-19,28.5,WNBA,NY,2023-05-19,-0.9655172413793104
76,Elena Delle Donne,NYL 1st Half,14.5,PTS+TRB+AST,193,2023-05-19,28.5,other,WSH,2023-05-19,-0.9655172413793104
35,Kelsey Mitchell,CON 1st Half,12.5,PTS+TRB+AST,193,2023-05-19,24.5,WNBA,IND,2023-05-19,-0.96
175,Kahleah Copper,MIN 1st Half,12.5,PTS+TRB+AST,193,2023-05-19,24.5,WNBA,CHI,2023-05-20,-0.96
193,Marina Mabrey,MIN 1st Half,11.5,PTS+TRB+AST,193,2023-05-19,22.5,WNBA,CHI,2023-05-20,-0.9565217391304348
22,NaLyssa Smith,CON 1st Half,11.5,PTS+TRB+AST,193,2023-05-19,22.5,WNBA,IND,2023-05-19,-0.9565217391304348
201,Kayla McBride,CHI 1st Half,10.5,PTS+TRB+AST,193,2023-05-19,20.5,WNBA, MIN,2023-05-20,-0.9523809523809523
84,Breanna Stewart,WAS 1st Half,10.5,PTS,193,2023-05-19,20.5,WNBA,NY,2023-05-19,-0.9523809523809523
37,Kelsey Mitchell,CON 1st Half,9.5,PTS,193,2023-05-19,18.5,WNBA,IND,2023-05-19,-0.9473684210526315
139,Betnijah Laney,WAS 1st Half,9.5,PTS+TRB+AST,193,2023-05-19,18.5,WNBA,NY,2023-05-19,-0.9473684210526315
45,Tiffany Hayes,IND 1st Half,8.5,PTS,193,2023-05-19,16.5,WNBA,CONN,2023-05-19,-0.9411764705882353
178,Kahleah Copper,MIN 1st Half,8.5,PTS,193,2023-05-19,16.5,WNBA,CHI,2023-05-20,-0.9411764705882353
121,Sabrina Ionescu,WAS 1st Half,8.5,PTS,193,2023-05-19,16.5,WNBA,NY,2023-05-19,-0.9411764705882353
186,Napheesa Collier,CHI 1st Half,8.5,PTS,193,2023-05-19,16.5,WNBA, MIN,2023-05-20,-0.9411764705882353
208,Courtney Williams,MIN 1st Half,7.5,PTS,193,2023-05-19,14.5,WNBA,CHI,2023-05-20,-0.9333333333333333
19,NaLyssa Smith,CON 1st Half,7.5,PTS,193,2023-05-19,14.5,WNBA,IND,2023-05-19,-0.9333333333333333
67,Jonquel Jones,WAS 1st Half,7.5,PTS,193,2023-05-19,14.5,WNBA,NY,2023-05-19,-0.9333333333333333
190,Marina Mabrey,MIN 1st Half,7.5,PTS,193,2023-05-19,14.5,WNBA,CHI,2023-05-20,-0.9333333333333333
128,Ariel Atkins,NYL 1st Half,7.5,PTS,193,2023-05-19,14.5,WNBA,WSH,2023-05-19,-0.9333333333333333
25,Alyssa Thomas,IND 1st Half,7.5,PTS,193,2023-05-19,14.5,WNBA,CONN,2023-05-19,-0.9333333333333333
137,Betnijah Laney,WAS 1st Half,6.5,PTS,193,2023-05-19,12.5,WNBA,NY,2023-05-19,-0.9230769230769231
107,Natasha Cloud,NYL 1st Half,5.5,PTS,193,2023-05-19,10.5,WNBA,WSH,2023-05-19,-0.9090909090909091
217,Elizabeth Williams,MIN 1st Half,4.5,PTS,193,2023-05-19,8.5,WNBA,CHI,2023-05-20,-0.8888888888888888
47,Erica Wheeler,CON 1st Half,4.5,PTS,193,2023-05-19,8.5,WNBA,IND,2023-05-19,-0.8888888888888888
220,Elizabeth Williams,MIN 1st Half,8.5,PTS+TRB+AST,193,2023-05-19,15.5,WNBA,CHI,2023-05-20,-0.8235294117647058
101,Courtney Vandersloot,WAS 1st Half,5.5,PTS,193,2023-05-19,9.5,WNBA,NY,2023-05-19,-0.7272727272727273
195,Paul Goldschmidt,LAD,7.0,Hitter Fantasy Score,2,2023-05-18,9.0,MLB,STL,2023-05-18,-0.2857142857142857
296,YoungGod,BOOM (MAPS 1-2 Kills),10.5,MAPS 1-2 Kills,174,2023-05-19,13.5,ESPORTS,Dota: YoungGod,2023-05-18,-0.2857142857142857
299,JG,BOOM (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,174,2023-05-19,11.5,ESPORTS,Dota: JG,2023-05-18,-0.2777777777777778
292,Yowe,SMG (MAPS 1-2 Kills),12.5,MAPS 1-2 Kills,174,2023-05-19,15.5,ESPORTS,Dota: Yowe,2023-05-18,-0.24
166,Anthony Rizzo,TOR,7.0,Hitter Fantasy Score,2,2023-05-18,8.5,MLB,NYY,2023-05-18,-0.21428571428571427
202,Mookie Betts,STL,7.5,Hitter Fantasy Score,2,2023-05-18,9.0,MLB,LAD,2023-05-18,-0.2
319,Adzantick,Liquid (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,174,2023-05-19,10.5,ESPORTS,Dota: Adzantick,2023-05-18,-0.16666666666666666
297,Jamal Murray,LAL,3.0,FT,7,2023-05-18,3.5,NBA,DEN,2023-05-19,-0.16666666666666666
284,Nengo,Thunder (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-05-18,11.0,ESPORTS,Dota: Nengo,2023-05-18,-0.15789473684210525
274,DCMC,Thunder (MAPS 1-2 Kills),10.5,MAPS 1-2 Kills,174,2023-05-18,12.0,ESPORTS,Dota: DCMC,2023-05-18,-0.14285714285714285
239,Anthony Davis,DEN,3.5,BLK+STL,7,2023-05-18,4.0,NBA,LAL,2023-05-19,-0.14285714285714285
207,Nolan Arenado,LAD,7.0,Hitter Fantasy Score,2,2023-05-18,8.0,MLB,STL,2023-05-18,-0.14285714285714285
303,Bob,BLCK (MAPS 1-2 Kills),14.0,MAPS 1-2 Kills,174,2023-05-19,16.0,ESPORTS,Dota: Bob,2023-05-18,-0.14285714285714285
149,QutionerX,FUT Esports (MAPS 1-2 Kills),34.0,MAPS 1-2 Kills,159,2023-05-19,38.0,ESPORTS,Val: QutionerX,2023-05-18,-0.11764705882352941
378,Dendi,TSM (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,174,2023-05-19,10.0,ESPORTS,Dota: Dendi,2023-05-18,-0.1111111111111111
295,LeBron James,DEN,5.0,FT,7,2023-05-18,5.5,NBA,LAL,2023-05-19,-0.1
155,runi,KRÜ Esports (MAPS 1-2 Kills),27.5,MAPS 1-2 Kills,159,2023-05-19,30.0,ESPORTS,Val: runi,2023-05-18,-0.09090909090909091
293,Natsumi,XERXIA (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-19,19.0,ESPORTS,Dota: Natsumi,2023-05-18,-0.08571428571428572
96,Shakira Austin,NYL,6.5,TRB,3,2023-05-19,7.0,WNBA,WSH,2023-05-19,-0.07692307692307693
368,Robert Williams,MIA,7.0,TRB,7,2023-05-19,7.5,NBA,BOS,2023-05-20,-0.07142857142857142
150,AsLanM4shadoW,FUT Esports (MAPS 1-2 Kills),29.0,MAPS 1-2 Kills,159,2023-05-19,31.0,ESPORTS,Val: AsLanM4shadoW,2023-05-18,-0.06896551724137931
