,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
99,Akira Schmid,CAR,10.5,Goalie Saves,227,2023-05-03,30.5,NHL,NJ,-1.9047619047619047
39,Nicola Zalewski,Monza,0.5,Shots,82,2023-05-03,1.0,SOCCER,Roma,-1.0
61,Mookie Betts,PHI,7.0,Hitter Fantasy Score,2,2023-05-03,9.5,MLB,LAD,-0.35714285714285715
95,Mike Trout,STL,8.0,Hitter Fantasy Score,2,2023-05-03,10.5,MLB,LAA,-0.3125
31,Edin Dzeko,Hellas Verona,2.5,Shots,82,2023-05-03,3.0,SOCCER,Inter,-0.2
93,Paul Goldschmidt,LAA,6.5,Hitter Fantasy Score,2,2023-05-03,7.5,MLB,STL,-0.15384615384615385
73,Wander Franco,PIT,7.5,Hitter Fantasy Score,2,2023-05-03,8.5,MLB,TB,-0.13333333333333333
69,Matt Olson,MIA,7.5,Hitter Fantasy Score,2,2023-05-03,8.5,MLB,ATL,-0.13333333333333333
91,Adley Rutschman,KC,7.5,Hitter Fantasy Score,2,2023-05-03,8.5,MLB,BAL,-0.13333333333333333
83,Rafael Devers,TOR,7.5,Hitter Fantasy Score,2,2023-05-03,8.5,MLB,BOS,-0.13333333333333333
62,Kyle Schwarber,LAD,7.5,Hitter Fantasy Score,2,2023-05-03,8.5,MLB,PHI,-0.13333333333333333
37,Lorenzo Pellegrini,Monza,4.5,Crosses,82,2023-05-03,5.0,SOCCER,Roma,-0.1111111111111111
64,Jonathan India,SD,7.0,Hitter Fantasy Score,2,2023-05-03,7.5,MLB,CIN,-0.07142857142857142
67,Jazz Chisholm Jr.,ATL,8.0,Hitter Fantasy Score,2,2023-05-03,7.5,other,MIA,0.0625
29,Andrew Robertson,Fulham,6.5,Crosses,82,2023-05-03,6.0,SOCCER,Liverpool,0.07692307692307693
68,Kyle Wright,MIA,5.0,Pitcher Strikeouts,2,2023-05-03,4.5,MLB,ATL,0.1
44,Martin Erlic,Lazio,4.5,Clearances,82,2023-05-03,4.0,SOCCER,Sassuolo,0.1111111111111111
28,Bernd Leno,Liverpool,4.0,Goalie Saves,82,2023-05-03,3.5,SOCCER,Fulham,0.125
8,Luka Lochoshvili,Milan,4.0,Clearances,82,2023-05-03,3.5,SOCCER,Cremonese,0.125
43,Gian Marco Ferrari,Lazio,3.5,Clearances,82,2023-05-03,3.0,other,Sassuolo,0.14285714285714285
47,Andrea Consigli,Lazio,3.5,Goalie Saves,82,2023-05-03,3.0,SOCCER,Sassuolo,0.14285714285714285
7,Brendan Chardonnet,FC Nantes,3.0,Clearances,82,2023-05-03,2.5,SOCCER,Brest,0.16666666666666666
38,Roger Ibanez,Monza,3.0,Clearances,82,2023-05-03,2.5,SOCCER,Roma,0.16666666666666666
13,Jean-Charles Castelletto,Stade Brestois 29,3.0,Clearances,82,2023-05-03,2.5,SOCCER,Nantes,0.16666666666666666
25,Declan Rice,Manchester City,2.5,Tackles,82,2023-05-03,2.0,SOCCER,West Ham United,0.2
54,Yannick Carrasco,Cadiz,5.0,Crosses,82,2023-05-03,4.0,SOCCER,Atletico Madrid,0.2
4,Romelu Lukaku,Hellas Verona,2.5,Shots,82,2023-05-03,2.0,SOCCER,Inter,0.2
1,Pierre Lees Melou,FC Nantes,2.5,Tackles,82,2023-05-03,2.0,other,Brest,0.2
6,Alexis Saelemaekers,Cremonese,2.0,Shots,82,2023-05-03,1.5,SOCCER,AC Milan,0.25
46,Armand Lauriente,Lazio,2.0,Shots,82,2023-05-03,1.5,SOCCER,Sassuolo,0.25
