,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
81,Deandre Ayton,PTS,15.5,0.5,0.5,1.0,15.666,DEN,7,2023-04-29
106,Nikola Jokic,AST,9.0,0.5,0.5,1.0,9.163,PHX,7,2023-04-29
108,Nikola Jokic,TRB,12.5,0.5,0.5,1.0,12.667,PHX,7,2023-04-29
77,Chris Paul,PTS,14.0,0.5,0.5,1.0,14.164,DEN,7,2023-04-29
76,Chris Paul,PTS+TRB,18.5,0.5,0.5,1.0,18.667,DEN,7,2023-04-29
75,Chris Paul,PTS+AST,23.5,0.5,0.5,1.0,23.667,DEN,7,2023-04-29
74,Chris Paul,TRB,4.5,0.5,0.5,1.0,4.669,DEN,7,2023-04-29
73,Chris Paul,AST,9.0,0.5,0.5,1.0,9.163,DEN,7,2023-04-29
71,Kentavious Caldwell-Pope,PTS+AST,11.5,0.5,0.5,1.0,11.667,PHX,7,2023-04-29
70,Kentavious Caldwell-Pope,PTS,9.5,0.5,0.5,1.0,9.667,PHX,7,2023-04-29
69,Kentavious Caldwell-Pope,PTS+TRB,12.5,0.5,0.5,1.0,12.667,PHX,7,2023-04-29
99,Aaron Gordon,PTS+AST,16.5,0.5,0.5,1.0,16.667,PHX,7,2023-04-29
100,Jamal Murray,PTS,22.5,0.5,0.5,1.0,22.667,PHX,7,2023-04-29
4,Jaylen Brown,PTS+AST,30.5,0.499,0.501,5.0,30.649,ATL,7,2023-04-27
89,Devin Booker,STL,1.5,0.499,0.501,1.0,1.676,DEN,7,2023-04-29
88,Devin Booker,3P,2.5,0.499,0.501,1.0,2.672,DEN,7,2023-04-29
80,Deandre Ayton,STL,0.5,0.499,0.501,1.0,0.692,DEN,7,2023-04-29
78,Chris Paul,STL,1.5,0.499,0.501,1.0,1.676,DEN,7,2023-04-29
72,Chris Paul,3P,1.5,0.499,0.501,1.0,1.676,DEN,7,2023-04-29
98,Aaron Gordon,3P,0.5,0.499,0.501,1.0,0.692,PHX,7,2023-04-29
50,Al Horford,PTS+AST,11.5,0.495,0.505,3.0,11.627,ATL,7,2023-04-27
55,Clint Capela,PTS,9.5,0.493,0.507,8.0,9.618,BOS,7,2023-04-27
27,John Collins,PTS,11.0,0.488,0.512,1.0,11.073,BOS,7,2023-04-27
17,Dejounte Murray,TRB,6.0,0.488,0.512,1.0,6.099,BOS,7,2023-04-27
59,Onyeka Okongwu,PTS,8.0,0.468,0.532,1.0,7.964,BOS,7,2023-04-27
