,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
229,Frederik Andersen,NJ,9.5,Goalie Saves,227,2023-05-09,27.5,NHL,CAR,-1.894736842105263
25,Lautaro Martinez,Milan,1.5,Shots,242,2023-05-10,3.0,SOCCER,Inter,-1.0
31,Romelu Lukaku,Milan,1.0,Shots,242,2023-05-10,2.0,SOCCER,Inter,-1.0
92,Salvador Perez,CWS,6.5,Hitter Fantasy Score,2,2023-05-09,8.5,MLB,KC,-0.3076923076923077
97,Willy Adames,LAD,7.0,Hitter Fantasy Score,2,2023-05-09,8.5,MLB,MIL,-0.21428571428571427
94,Freddie Freeman,MIL,8.0,Hitter Fantasy Score,2,2023-05-09,9.5,MLB,LAD,-0.1875
86,Kyle Schwarber,TOR,6.5,Hitter Fantasy Score,2,2023-05-09,7.5,MLB,PHI,-0.15384615384615385
102,Paul Goldschmidt,CHC,7.5,Hitter Fantasy Score,2,2023-05-09,8.5,MLB,STL,-0.13333333333333333
100,Juan Soto,MIN,7.5,Hitter Fantasy Score,2,2023-05-09,8.5,MLB,SD,-0.13333333333333333
84,Vladimir Guerrero Jr.,PHI,7.5,Hitter Fantasy Score,2,2023-05-09,8.5,other,TOR,-0.13333333333333333
93,Eric Lauer,LAD,5.0,Pitcher Strikeouts,2,2023-05-09,5.5,MLB,MIL,-0.1
47,cynic,timbermen,15.5,MAPS 1-2 Headshots,124,2023-05-09,17.0,ESPORTS,CS:GO cynic,-0.0967741935483871
165,Al Horford,PHI,6.0,TRB,7,2023-05-09,6.5,NBA,BOS,-0.08333333333333333
51,Wander Franco,BAL,7.5,Hitter Fantasy Score,2,2023-05-09,8.0,MLB,TB,-0.06666666666666667
89,Rafael Devers,ATL,7.5,Hitter Fantasy Score,2,2023-05-09,8.0,MLB,BOS,-0.06666666666666667
33,CLASIA,MIBR,18.5,MAPS 1-2 Headshots,124,2023-05-09,19.5,ESPORTS,CS:GO CLASIA,-0.05405405405405406
113,Jayson Tatum,PHI,9.5,TRB,7,2023-05-09,10.0,NBA,BOS,-0.05263157894736842
23,HEN1,Strife,11.0,MAPS 1-2 Headshots,124,2023-05-09,11.5,ESPORTS,CS:GO HEN1,-0.045454545454545456
178,Jimmy Butler,NYK,12.0,TRB+AST,7,2023-05-10,12.5,NBA,MIA,-0.041666666666666664
41,stamina,MIBR,13.0,MAPS 1-2 Headshots,124,2023-05-09,13.5,ESPORTS,CS:GO stamina,-0.038461538461538464
203,Julius Randle,MIA,13.0,TRB+AST,7,2023-05-10,13.5,NBA,NYK,-0.038461538461538464
140,Malcolm Brogdon,PHI,14.5,PTS,7,2023-05-09,15.0,NBA,BOS,-0.034482758620689655
62,freakazoid,EG Black,16.0,MAPS 1-2 Headshots,124,2023-05-09,16.5,ESPORTS,CS:GO freakazoid,-0.03125
206,Gabe Vincent,NYK,16.5,PTS+TRB+AST,7,2023-05-10,17.0,NBA,MIA,-0.030303030303030304
194,Bam Adebayo,NYK,17.0,PTS,7,2023-05-10,17.5,NBA,MIA,-0.029411764705882353
144,Tobias Harris,BOS,18.5,PTS+TRB,7,2023-05-09,19.0,NBA,PHI,-0.02702702702702703
139,Malcolm Brogdon,PHI,18.5,PTS+TRB,7,2023-05-09,19.0,NBA,BOS,-0.02702702702702703
196,Bam Adebayo,NYK,19.5,PTS+AST,7,2023-05-10,20.0,NBA,MIA,-0.02564102564102564
66,PwnAlone,Limitless,40.5,MAPS 1-2 Kills,124,2023-05-09,41.5,ESPORTS,CS:GO PwnAlone,-0.024691358024691357
22,brnz4n,Strife,21.5,MAPS 1-2 Headshots,124,2023-05-09,22.0,ESPORTS,CS:GO brnz4n,-0.023255813953488372
124,Jaylen Brown,PHI,27.5,PTS+AST,7,2023-05-09,28.0,NBA,BOS,-0.01818181818181818
129,Jaylen Brown,PHI,29.5,PTS+TRB,7,2023-05-09,30.0,NBA,BOS,-0.01694915254237288
57,freakazoid,EG Black,31.5,MAPS 1-2 Kills,124,2023-05-09,32.0,ESPORTS,CS:GO freakazoid,-0.015873015873015872
186,Jalen Brunson,MIA,31.5,PTS+AST,7,2023-05-10,32.0,NBA,NYK,-0.015873015873015872
125,Jaylen Brown,PHI,33.5,PTS+TRB+AST,7,2023-05-09,34.0,NBA,BOS,-0.014925373134328358
13,stamina,MIBR,33.5,MAPS 1-2 Kills,124,2023-05-09,34.0,ESPORTS,CS:GO stamina,-0.014925373134328358
190,Jalen Brunson,MIA,35.5,PTS+TRB+AST,7,2023-05-10,36.0,NBA,NYK,-0.014084507042253521
3,HEN1,Strife,37.5,MAPS 1-2 Kills,124,2023-05-09,38.0,ESPORTS,CS:GO HEN1,-0.013333333333333334
2,brnz4n,Strife,38.0,MAPS 1-2 Kills,124,2023-05-09,38.5,ESPORTS,CS:GO brnz4n,-0.013157894736842105
105,Joel Embiid,BOS,39.5,PTS+TRB,7,2023-05-09,40.0,NBA,PHI,-0.012658227848101266
42,cynic,timbermen,41.5,MAPS 1-2 Kills,124,2023-05-09,41.0,ESPORTS,CS:GO cynic,0.012048192771084338
54,junior,Mythic,40.0,MAPS 1-2 Kills,124,2023-05-09,39.5,ESPORTS,CS:GO junior,0.0125
44,dare,Nouns,39.0,MAPS 1-2 Kills,124,2023-05-09,38.5,ESPORTS,CS:GO dare,0.01282051282051282
4,CLASIA,MIBR,38.5,MAPS 1-2 Kills,124,2023-05-09,38.0,ESPORTS,CS:GO CLASIA,0.012987012987012988
15,insani,Strife,23.0,MAPS 1-2 Headshots,124,2023-05-09,22.5,ESPORTS,CS:GO insani,0.021739130434782608
0,insani,Strife,41.5,MAPS 1-2 Kills,124,2023-05-09,40.5,ESPORTS,CS:GO insani,0.024096385542168676
210,RJ Barrett,MIA,20.0,PTS,7,2023-05-10,19.5,NBA,NYK,0.025
69,cxzi,Limitless,39.0,MAPS 1-2 Kills,124,2023-05-09,38.0,ESPORTS,CS:GO cxzi,0.02564102564102564
49,Bwills,timbermen,19.0,MAPS 1-2 Headshots,124,2023-05-09,18.5,ESPORTS,CS:GO Bwills,0.02631578947368421
