,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
47,Arthur Cabral,1.0,2.5,Shots,-1.5,2023-06-07,SOCCER,Fiorentina
39,Declan Rice,0.5,1.0,Shots,-1.0,2023-06-07,SOCCER,West Ham United
32,Jarrod Bowen,1.0,2.0,Shots,-1.0,2023-06-07,SOCCER,West Ham United
44,Michail Antonio,1.0,2.0,Shots,-1.0,2023-06-07,SOCCER,West Ham United
48,Arthur Cabral,2.0,2.5,Shots,-0.25,2023-06-07,SOCCER,Fiorentina
177,Willer,3.0,3.5,MAPS 1-2 Kills,-0.16666666666666666,2023-06-07,ESPORTS,Liiv Sandbox 
166,Cryin,6.0,7.0,MAPS 1-2 Kills,-0.16666666666666666,2023-06-07,ESPORTS, Invictus Gaming
36,Kurt Zouma,3.5,4.0,Clearances,-0.14285714285714285,2023-06-07,SOCCER,West Ham United
162,Clid,3.5,4.0,MAPS 1-2 Kills,-0.14285714285714285,2023-06-07,ESPORTS, Hanwha Life Esports
83,Kyle Lowry,3.5,4.0,AST,-0.14285714285714285,2023-06-07,NBA,MIA
164,neny,3.5,4.0,MAPS 1-2 Kills,-0.14285714285714285,2023-06-07,ESPORTS, Invictus Gaming
165,Tianzhen,4.0,4.5,MAPS 1-2 Kills,-0.125,2023-06-07,ESPORTS, Invictus Gaming
286,karrigan,26.5,29.5,MAPS 1-2 Kills,-0.11320754716981132,2023-06-07,ESPORTS,FaZe 
285,karrigan,26.5,29.5,MAPS 1-2 Kills,-0.11320754716981132,2023-06-07,ESPORTS,FaZe 
173,Canyon,5.0,5.5,MAPS 1-2 Kills,-0.1,2023-06-07,ESPORTS, Dplus Kia
180,Ale,5.0,5.5,MAPS 1-2 Kills,-0.1,2023-06-07,ESPORTS,EDward Gaming 
269,JT,25.5,28.0,MAPS 1-2 Kills,-0.09803921568627451,2023-06-07,ESPORTS, Complexity
271,floppy,27.5,30.0,MAPS 1-2 Kills,-0.09090909090909091,2023-06-07,ESPORTS, Complexity
182,FoFo,6.0,6.5,MAPS 1-2 Kills,-0.08333333333333333,2023-06-07,ESPORTS,EDward Gaming 
270,FaNg,28.5,30.5,MAPS 1-2 Kills,-0.07017543859649122,2023-06-07,ESPORTS, Complexity
250,FalleN,29.0,31.0,MAPS 1-2 Kills,-0.06896551724137931,2023-06-07,ESPORTS, Imperial
248,chelo,30.0,32.0,MAPS 1-2 Kills,-0.06666666666666667,2023-06-07,ESPORTS, Imperial
167,Ahn,8.0,8.5,MAPS 1-2 Kills,-0.0625,2023-06-07,ESPORTS, Invictus Gaming
84,Kyle Lowry,8.0,8.5,PTS,-0.0625,2023-06-07,NBA,MIA
175,Deft,8.0,8.5,MAPS 1-2 Kills,-0.0625,2023-06-07,ESPORTS, Dplus Kia
186,Elk,9.0,9.5,MAPS 1-2 Kills,-0.05555555555555555,2023-06-07,ESPORTS, Bilibili Gaming
140,Ezi Magbegor,9.0,9.5,TRB,-0.05555555555555555,2023-06-06,WNBA,SEA
73,Max Strus,10.0,10.5,PTS,-0.05,2023-06-07,NBA,MIA
268,Grim,32.0,33.5,MAPS 1-2 Kills,-0.046875,2023-06-07,ESPORTS, Complexity
82,Kyle Lowry,11.0,11.5,PTS+TRB,-0.045454545454545456,2023-06-07,NBA,MIA
267,TeSeS,34.0,35.5,MAPS 1-2 Kills,-0.04411764705882353,2023-06-07,ESPORTS,Heroic 
265,sjuush,36.0,37.5,MAPS 1-2 Kills,-0.041666666666666664,2023-06-07,ESPORTS,Heroic 
18,Jamal Murray,24.5,25.5,PTS,-0.04081632653061224,2023-06-07,NBA,DEN
98,supamen,25.5,26.5,MAPS 1-2 Kills,-0.0392156862745098,2023-06-07,ESPORTS,FaZe 
99,supamen,25.5,26.5,MAPS 1-2 Kills,-0.0392156862745098,2023-06-07,ESPORTS,FaZe 
92,TiGG,26.0,27.0,MAPS 1-2 Kills,-0.038461538461538464,2023-06-07,ESPORTS,FaZe 
69,Max Strus,13.0,13.5,PTS+TRB,-0.038461538461538464,2023-06-07,NBA,MIA
93,TiGG,26.0,27.0,MAPS 1-2 Kills,-0.038461538461538464,2023-06-07,ESPORTS,FaZe 
242,Spinx,39.5,41.0,MAPS 1-2 Kills,-0.0379746835443038,2023-06-07,ESPORTS,Vitality 
59,Gabe Vincent,13.5,14.0,PTS,-0.037037037037037035,2023-06-07,NBA,MIA
234,K1-FiDa,29.5,30.5,MAPS 1-2 Kills,-0.03389830508474576,2023-06-07,ESPORTS, ECLOT
233,K1-FiDa,29.5,30.5,MAPS 1-2 Kills,-0.03389830508474576,2023-06-07,ESPORTS, ECLOT
249,VINI,29.5,30.5,MAPS 1-2 Kills,-0.03389830508474576,2023-06-07,ESPORTS, Imperial
232,K1-FiDa,29.5,30.5,MAPS 1-2 Kills,-0.03389830508474576,2023-06-07,ESPORTS, ECLOT
246,boltz,31.5,32.5,MAPS 1-2 Kills,-0.031746031746031744,2023-06-07,ESPORTS, Imperial
22,Jamal Murray,31.5,32.5,PTS+AST,-0.031746031746031744,2023-06-07,NBA,DEN
275,Buzz,32.0,33.0,MAPS 1-2 Kills,-0.03125,2023-06-07,ESPORTS, Astralis
79,Verno,33.5,34.5,MAPS 1-2 Kills,-0.029850746268656716,2023-06-07,ESPORTS, FaZe Clan
283,Twistzz,35.5,36.5,MAPS 1-2 Kills,-0.028169014084507043,2023-06-07,ESPORTS,FaZe 
284,Twistzz,35.5,36.5,MAPS 1-2 Kills,-0.028169014084507043,2023-06-07,ESPORTS,FaZe 
243,Magisk,36.0,37.0,MAPS 1-2 Kills,-0.027777777777777776,2023-06-07,ESPORTS,Vitality 
266,cadiaN,36.5,37.5,MAPS 1-2 Kills,-0.0273972602739726,2023-06-07,ESPORTS,Heroic 
264,jabbi,36.5,37.5,MAPS 1-2 Kills,-0.0273972602739726,2023-06-07,ESPORTS,Heroic 
46,Bam Adebayo,18.5,19.0,PTS,-0.02702702702702703,2023-06-07,NBA,MIA
137,Chiney Ogwumike,20.0,20.5,PTS+TRB+AST,-0.025,2023-06-06,WNBA,LA
38,Bam Adebayo,22.5,23.0,PTS+AST,-0.022222222222222223,2023-06-07,NBA,MIA
5,Nikola Jokic,50.5,51.5,PTS+TRB+AST,-0.019801980198019802,2023-06-07,NBA,DEN
274,Altekz,32.0,32.5,MAPS 1-2 Kills,-0.015625,2023-06-07,ESPORTS, Astralis
252,Patti,33.5,34.0,MAPS 1-2 Kills,-0.014925373134328358,2023-06-07,ESPORTS,Astralis Talent 
244,dupreeh,34.0,34.5,MAPS 1-2 Kills,-0.014705882352941176,2023-06-07,ESPORTS,Vitality 
225,b0RUP,35.0,35.5,MAPS 1-2 Kills,-0.014285714285714285,2023-06-07,ESPORTS,ex-copenhagen flames 
224,b0RUP,35.0,35.5,MAPS 1-2 Kills,-0.014285714285714285,2023-06-07,ESPORTS,ex-copenhagen flames 
2,Nikola Jokic,38.5,39.0,PTS+AST,-0.012987012987012988,2023-06-07,NBA,DEN
14,Jimmy Butler,39.0,39.5,PTS+TRB+AST,-0.01282051282051282,2023-06-07,NBA,MIA
263,stavn,40.5,41.0,MAPS 1-2 Kills,-0.012345679012345678,2023-06-07,ESPORTS,Heroic 
241,ZywOo,44.0,44.5,MAPS 1-2 Kills,-0.011363636363636364,2023-06-07,ESPORTS,Vitality 
260,sh1ro,40.0,39.5,MAPS 1-2 Kills,0.0125,2023-06-07,ESPORTS, C9
277,broky,40.0,39.5,MAPS 1-2 Kills,0.0125,2023-06-07,ESPORTS,FaZe 
278,broky,40.0,39.5,MAPS 1-2 Kills,0.0125,2023-06-07,ESPORTS,FaZe 
226,anarkez,39.0,38.5,MAPS 1-2 Kills,0.01282051282051282,2023-06-07,ESPORTS, ECLOT
227,anarkez,39.0,38.5,MAPS 1-2 Kills,0.01282051282051282,2023-06-07,ESPORTS, ECLOT
228,anarkez,39.0,38.5,MAPS 1-2 Kills,0.01282051282051282,2023-06-07,ESPORTS, ECLOT
230,nbqq,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-07,ESPORTS, ECLOT
223,raalz,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-07,ESPORTS,ex-copenhagen flames 
231,nbqq,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-07,ESPORTS, ECLOT
229,nbqq,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-07,ESPORTS, ECLOT
222,raalz,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-07,ESPORTS,ex-copenhagen flames 
257,huNter-,37.0,36.5,MAPS 1-2 Kills,0.013513513513513514,2023-06-07,ESPORTS,G2 
215,FRANSSON,36.5,36.0,MAPS 1-2 Kills,0.0136986301369863,2023-06-07,ESPORTS, Prospects
261,nafany,30.5,30.0,MAPS 1-2 Kills,0.01639344262295082,2023-06-07,ESPORTS, C9
85,skuba,30.0,29.5,MAPS 1-2 Kills,0.016666666666666666,2023-06-07,ESPORTS, FaZe Clan
67,Aaron Gordon,21.5,21.0,PTS+TRB+AST,0.023255813953488372,2023-06-07,NBA,DEN
142,Jordin Canada,20.0,19.5,PTS+TRB+AST,0.025,2023-06-06,WNBA,LA
251,br0,38.5,37.5,MAPS 1-2 Kills,0.025974025974025976,2023-06-07,ESPORTS,Astralis Talent 
62,Aaron Gordon,19.0,18.5,PTS+TRB,0.02631578947368421,2023-06-07,NBA,DEN
218,kadziu,33.5,32.5,MAPS 1-2 Kills,0.029850746268656716,2023-06-07,ESPORTS,PGE Turow 
219,darko,32.5,31.5,MAPS 1-2 Kills,0.03076923076923077,2023-06-07,ESPORTS,PGE Turow 
262,buster,30.5,29.5,MAPS 1-2 Kills,0.03278688524590164,2023-06-07,ESPORTS, C9
65,Aaron Gordon,15.0,14.5,PTS+AST,0.03333333333333333,2023-06-07,NBA,DEN
149,Lexie Brown,14.0,13.5,PTS,0.03571428571428571,2023-06-06,WNBA,LA
214,hype,41.5,40.0,MAPS 1-2 Kills,0.03614457831325301,2023-06-07,ESPORTS, Prospects
66,Aaron Gordon,13.0,12.5,PTS,0.038461538461538464,2023-06-07,NBA,DEN
255,Kamion,38.5,37.0,MAPS 1-2 Kills,0.03896103896103896,2023-06-07,ESPORTS, Domination
216,bobeksde,37.5,36.0,MAPS 1-2 Kills,0.04,2023-06-07,ESPORTS, Prospects
63,dapr,24.5,23.5,MAPS 1-2 Kills,0.04081632653061224,2023-06-07,ESPORTS,G2 
8,tex,35.5,34.0,MAPS 1-2 Kills,0.04225352112676056,2023-06-07,ESPORTS,The Guard 
54,OXY,33.0,31.5,MAPS 1-2 Kills,0.045454545454545456,2023-06-07,ESPORTS,G2 
240,Airax,32.5,31.0,MAPS 1-2 Kills,0.046153846153846156,2023-06-07,ESPORTS, HAVU
11,trent,32.0,30.5,MAPS 1-2 Kills,0.046875,2023-06-07,ESPORTS,The Guard 
171,LP,10.5,10.0,MAPS 1-2 Kills,0.047619047619047616,2023-06-07,ESPORTS,Royal Never Give Up 
235,Rainwaker,40.0,38.0,MAPS 1-2 Kills,0.05,2023-06-07,ESPORTS,500 
217,ultimate,39.0,37.0,MAPS 1-2 Kills,0.05128205128205128,2023-06-07,ESPORTS,PGE Turow 
103,Kevin De Bruyne,8.5,8.0,Crosses,0.058823529411764705,2023-06-10,other,Manchester City
72,wippie,25.0,23.5,MAPS 1-2 Kills,0.06,2023-06-07,ESPORTS,G2 
272,blameF,41.0,38.5,MAPS 1-2 Kills,0.06097560975609756,2023-06-07,ESPORTS, Astralis
237,REDSTAR,40.0,37.5,MAPS 1-2 Kills,0.0625,2023-06-07,ESPORTS,500 
90,Duncan Robinson,8.0,7.5,PTS,0.0625,2023-06-07,NBA,MIA
239,Banjo,35.5,33.0,MAPS 1-2 Kills,0.07042253521126761,2023-06-07,ESPORTS, HAVU
118,Jimmy Butler,7.0,6.5,FT,0.07142857142857142,2023-06-07,NBA,MIA
58,ShahZaM,27.5,25.5,MAPS 1-2 Kills,0.07272727272727272,2023-06-07,ESPORTS,G2 
236,dennyslaw,39.0,36.0,MAPS 1-2 Kills,0.07692307692307693,2023-06-07,ESPORTS,500 
170,Tangyuan,6.5,6.0,MAPS 1-2 Kills,0.07692307692307693,2023-06-07,ESPORTS,Royal Never Give Up 
238,ottoNd,37.0,34.0,MAPS 1-2 Kills,0.08108108108108109,2023-06-07,ESPORTS, HAVU
256,m0NESY,41.5,38.0,MAPS 1-2 Kills,0.08433734939759036,2023-06-07,ESPORTS,G2 
