,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
44,Bukayo Saka,Newcastle United,1.5,Shots,82,2023-05-07,2.0,SOCCER,Arsenal,-0.3333333333333333
17,Thiago Almada,Miami,2.5,Shots,82,2023-05-06,3.0,SOCCER,Atlanta United,-0.2
34,Juan Musso,Juventus,2.5,Goalie Saves,82,2023-05-07,3.0,SOCCER,Atalanta,-0.2
59,Adley Rutschman,ATL,5.5,Hitter Fantasy Score,2,2023-05-06,6.5,MLB,BAL,-0.18181818181818182
33,Wojciech Szczesny,Atalanta,3.0,Goalie Saves,82,2023-05-07,3.5,SOCCER,Juventus,-0.16666666666666666
23,Denis Bouanga,San Jose,3.5,Shots,82,2023-05-06,4.0,SOCCER,LAFC,-0.14285714285714285
47,Byron Buxton,CLE,7.5,Hitter Fantasy Score,2,2023-05-06,8.5,MLB,MIN,-0.13333333333333333
66,Alex Cobb,MIL,5.0,Pitcher Strikeouts,2,2023-05-06,5.5,MLB,SF,-0.1
63,Alex Verdugo,PHI,7.0,Hitter Fantasy Score,2,2023-05-06,7.5,MLB,BOS,-0.07142857142857142
53,Jonathan India,CWS,7.0,Hitter Fantasy Score,2,2023-05-06,7.5,MLB,CIN,-0.07142857142857142
68,Christian Yelich,SF,7.0,Hitter Fantasy Score,2,2023-05-06,7.5,MLB,MIL,-0.07142857142857142
54,Bobby Witt Jr.,OAK,9.0,Hitter Fantasy Score,2,2023-05-06,9.5,other,KC,-0.05555555555555555
28,Cristian Espinoza,LAFC,9.5,Crosses,82,2023-05-06,10.0,SOCCER,San Jose,-0.05263157894736842
0,Cole Kelley,Michigan,225.5,Pass Yards,191,2023-05-06,230.5,USFL,Memphis Showboats ,-0.022172949002217297
56,Brady Singer,OAK,5.5,Pitcher Strikeouts,2,2023-05-06,5.0,MLB,KC,0.09090909090909091
14,Gustavo Bou,Toronto,3.5,Shots,82,2023-05-06,3.0,SOCCER,New England,0.14285714285714285
18,Luiz Araujo,Miami,3.0,Shots,82,2023-05-06,2.5,SOCCER,Atlanta United,0.16666666666666666
24,Christian Benteke,Cincinnati,3.0,Shots,82,2023-05-06,2.5,SOCCER,D.C. United,0.16666666666666666
40,Callum Wilson,Arsenal,2.5,Shots,82,2023-05-07,2.0,SOCCER,Newcastle,0.2
38,Miguel Almiron,Arsenal,2.0,Shots,82,2023-05-07,1.5,SOCCER,Newcastle,0.25
37,Jacob Murphy,Arsenal,2.0,Shots,82,2023-05-07,1.5,SOCCER,Newcastle,0.25
