,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
50,Christopher Antwi-Adjei,FC Augsburg,1.0,Shots,82,2023-05-13,1.5,SOCCER,VfL Bochum,-0.5
177,Nicolo Barella,Sassuolo,1.0,Shots,82,2023-05-13,1.5,SOCCER,Inter,-0.5
289,Yordan Alvarez,CWS,7.5,Hitter Fantasy Score,2,2023-05-13,10.5,MLB,HOU,-0.4
162,Sandro Tonali,Spezia,1.5,Tackles,82,2023-05-13,2.0,SOCCER,Milan,-0.3333333333333333
175,Andrea Pinamonti,Inter,1.5,Shots,82,2023-05-13,2.0,SOCCER,Sassuolo,-0.3333333333333333
194,Ian Happ,MIN,6.5,Hitter Fantasy Score,2,2023-05-13,8.5,MLB,CHC,-0.3076923076923077
291,Mookie Betts,SD,7.0,Hitter Fantasy Score,2,2023-05-13,9.0,MLB,LAD,-0.2857142857142857
6,Aaron Judge,TB,7.5,Hitter Fantasy Score,2,2023-05-13,9.5,MLB,NYY,-0.26666666666666666
170,Domenico Berardi,Inter,2.0,Shots,82,2023-05-13,2.5,SOCCER,Sassuolo,-0.25
270,Marcus Semien,OAK,8.5,Hitter Fantasy Score,2,2023-05-13,10.5,MLB,TEX,-0.23529411764705882
17,Wander Franco,NYY,7.0,Hitter Fantasy Score,2,2023-05-13,8.5,MLB,TB,-0.21428571428571427
107,Emiliano Martinez,Tottenham,2.5,Goalie Saves,82,2023-05-13,3.0,SOCCER,Aston Villa,-0.2
123,Douglas Luiz,Tottenham,2.5,Crosses,82,2023-05-13,3.0,SOCCER,Aston Villa,-0.2
169,Stefan de Vrij,Sassuolo,2.5,Clearances,82,2023-05-13,3.0,other,Inter,-0.2
283,Mike Trout,CLE,8.0,Hitter Fantasy Score,2,2023-05-13,9.5,MLB,LAA,-0.1875
284,Shohei Ohtani,CLE,8.0,Hitter Fantasy Score,2,2023-05-13,9.5,MLB,LAA,-0.1875
290,Fernando Tatis Jr.,LAD,8.0,Hitter Fantasy Score,2,2023-05-13,9.5,other,SD,-0.1875
108,Ezri Konsa,Tottenham,3.0,Clearances,82,2023-05-13,3.5,SOCCER,Aston Villa,-0.16666666666666666
192,Riley Greene,SEA,6.5,Hitter Fantasy Score,2,2023-05-13,7.5,MLB,DET,-0.15384615384615385
193,Jarred Kelenic,DET,7.0,Hitter Fantasy Score,2,2023-05-13,8.0,MLB,SEA,-0.14285714285714285
281,heat,Evil Geniuses (MAPS 1-2 Kills),26.0,MAPS 1-2 Kills,159,2023-05-13,29.5,ESPORTS,Val: heat,-0.1346153846153846
276,Paul Goldschmidt,BOS,7.5,Hitter Fantasy Score,2,2023-05-13,8.5,MLB,STL,-0.13333333333333333
199,Pete Alonso,WSH,7.5,Hitter Fantasy Score,2,2023-05-13,8.5,MLB,NYM,-0.13333333333333333
287,Christian Yelich,KC,7.5,Hitter Fantasy Score,2,2023-05-13,8.5,MLB,MIL,-0.13333333333333333
282,frz,Evil Geniuses (MAPS 1-2 Kills),24.5,MAPS 1-2 Kills,159,2023-05-13,27.0,ESPORTS,Val: frz,-0.10204081632653061
280,jzz,Evil Geniuses (MAPS 1-2 Kills),25.5,MAPS 1-2 Kills,159,2023-05-13,27.5,ESPORTS,Val: jzz,-0.0784313725490196
260,dgzin,100 Thieves (MAPS 1-2 Kills),34.0,MAPS 1-2 Kills,159,2023-05-13,36.5,ESPORTS,Val: dgzin,-0.07352941176470588
285,Adley Rutschman,PIT,7.0,Hitter Fantasy Score,2,2023-05-13,7.5,MLB,BAL,-0.07142857142857142
286,Bryan Reynolds,BAL,7.0,Hitter Fantasy Score,2,2023-05-13,7.5,MLB,PIT,-0.07142857142857142
277,Boostio,MIBR (MAPS 1-2 Kills),30.5,MAPS 1-2 Kills,159,2023-05-13,32.5,ESPORTS,Val: Boostio,-0.06557377049180328
267,Cryocells,FURIA Esports (MAPS 1-2 Kills),31.0,MAPS 1-2 Kills,159,2023-05-13,33.0,ESPORTS,Val: Cryocells,-0.06451612903225806
208,Jayson Tatum,PHI,9.5,TRB,7,2023-05-14,10.0,NBA,BOS,-0.05263157894736842
259,Al Horford,PHI,14.5,PTS+TRB,7,2023-05-14,15.0,NBA,BOS,-0.034482758620689655
217,Xaline,Karmine Corp GC (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-05-13,33.0,ESPORTS,Val: Xaline,-0.03125
234,Tyrese Maxey,BOS,25.5,PTS+TRB,7,2023-05-14,26.0,NBA,PHI,-0.0196078431372549
269,bang,FURIA Esports (MAPS 1-2 Kills),28.5,MAPS 1-2 Kills,159,2023-05-13,29.0,ESPORTS,Val: bang,-0.017543859649122806
261,mwzera,100 Thieves (MAPS 1-2 Kills),30.5,MAPS 1-2 Kills,159,2023-05-13,31.0,ESPORTS,Val: mwzera,-0.01639344262295082
279,Demon1,MIBR (MAPS 1-2 Kills),32.0,MAPS 1-2 Kills,159,2023-05-13,32.5,ESPORTS,Val: Demon1,-0.015625
202,Joel Embiid,BOS,33.5,PTS+AST,7,2023-05-14,34.0,NBA,PHI,-0.014925373134328358
210,Jayson Tatum,PHI,34.5,PTS+AST,7,2023-05-14,35.0,NBA,BOS,-0.014492753623188406
