,Player,Stat,Line,o_Prob,u_Prob,num_books,means,League,Team,Date
159,Malcolm Brogdon,STL,0.5,0.5150782570395998,0.48492174296040025,3.0,0.7237677557845514,NBA,BOS,2023-05-05
124,Tobias Harris,PTS+TRB,21.5,0.515973593481875,0.484026406518125,6.0,21.854303105284387,NBA,PHI,2023-05-05
44,Aaron Gordon,BLK,0.5,0.5165323308433397,0.4834676691566603,5.0,0.72677083466654,NBA,DEN,2023-05-06
73,Jimmy Butler,PTS+TRB,34.5,0.5169466681181729,0.48305333188182703,5.0,34.91782461216997,NBA,MIA,2023-05-06
129,Tyrese Maxey,PTS+AST,23.5,0.5169548056960727,0.4830451943039274,6.0,23.8746795209462,NBA,PHI,2023-05-05
140,Joel Embiid,TRB,9.5,0.5172268239726561,0.48277317602734393,10.0,9.803258207699466,NBA,PHI,2023-05-05
107,Josh Hart,PTS,10.5,0.5172504194721694,0.48274958052783057,10.0,10.810053224299622,NBA,NYK,2023-05-06
125,Tobias Harris,STL,0.5,0.5176175855463582,0.48238241445364183,4.0,0.7290180885171303,NBA,PHI,2023-05-05
165,Derrick White,PTS+TRB+AST,18.5,0.5193938707261454,0.4806061292738546,10.0,18.878322135068224,NBA,BOS,2023-05-05
122,Tobias Harris,PTS+TRB+AST,23.5,0.5198508996724878,0.4801491003275123,8.0,23.910215750722283,NBA,PHI,2023-05-05
8,Kodai Senga,Pitcher Strikeouts,6.0,0.5199596373627872,0.48004036263721284,1.0,6.269702508043129,MLB,NYM,2023-05-05
45,Jamal Murray,TRB,4.5,0.521722654793349,0.478277345206651,9.0,4.788920790458148,NBA,DEN,2023-05-06
18,Torrey Craig,TRB,3.5,0.5217795066505435,0.4782204933494565,6.0,3.7769085559932414,NBA,PHX,2023-05-06
66,Immanuel Quickley,PTS+TRB,10.5,0.5220088135750417,0.4779911864249583,4.0,10.849348503414934,NBA,NYK,2023-05-06
70,Jimmy Butler,PTS,27.5,0.5222172434453999,0.4777827565546001,8.0,27.96120275712424,NBA,MIA,2023-05-06
59,Jeff Green,PTS+TRB+AST,8.5,0.5235834479867953,0.47641655201320465,1.0,8.843706403302827,NBA,DEN,2023-05-06
177,Stephen Curry,AST,6.0,0.5238886623736442,0.4761113376263559,1.0,6.2908839185089365,NBA,GSW,2023-05-07
10,Dean Kremer,Pitcher Strikeouts,4.5,0.5240114465900687,0.4759885534099313,9.0,4.801484565116339,MLB,BAL,2023-05-05
76,Kevin Love,AST,1.5,0.5243688768092943,0.47563112319070566,3.0,1.7574013857856707,NBA,MIA,2023-05-06
6,Corbin Burnes,Pitcher Strikeouts,6.5,0.5244969698556573,0.4755030301443427,5.0,6.82890548153736,MLB,MIL,2023-05-06
145,Jaylen Brown,PTS,25.5,0.5253471807258467,0.4746528192741532,10.0,25.990544142479468,NBA,BOS,2023-05-05
82,Bam Adebayo,PTS+TRB,25.5,0.5264760804655702,0.4735239195344299,7.0,26.00501808996938,NBA,MIA,2023-05-06
174,Stephen Curry,PTS+TRB+AST,42.5,0.52729046241626,0.47270953758374007,10.0,43.115585339773766,NBA,GSW,2023-05-07
53,Michael Porter,PTS+TRB+AST,19.5,0.5277110087232427,0.4722889912767573,2.0,19.977142288560973,NBA,DEN,2023-05-06
102,Julius Randle,AST,3.5,0.5277940262211599,0.4722059737788401,10.0,3.806255070707871,NBA,NYK,2023-05-06
78,Kevin Love,PTS+TRB+AST,16.5,0.5280559318305107,0.4719440681694893,3.0,16.956374510110283,NBA,MIA,2023-05-06
115,Max Strus,PTS,9.5,0.5284793823631826,0.4715206176368174,9.0,9.89193522571376,NBA,MIA,2023-05-06
41,Aaron Gordon,TRB,6.0,0.5286161971880355,0.47138380281196446,1.0,6.316456937193284,NBA,DEN,2023-05-06
97,Mitchell Robinson,BLK,1.5,0.5288726082289226,0.47112739177107743,5.0,1.7723063371405137,NBA,NYK,2023-05-06
161,Malcolm Brogdon,PTS,14.5,0.5291661968872797,0.4708338031127203,9.0,14.949514569919668,NBA,BOS,2023-05-05
23,Deandre Ayton,PTS+TRB+AST,26.5,0.5293022093164355,0.4706977906835646,8.0,27.048453156942262,NBA,PHX,2023-05-06
9,Max Fried,Pitcher Strikeouts,6.0,0.5294021094108665,0.4705978905891335,1.0,6.320717708080923,MLB,ATL,2023-05-05
58,Jeff Green,PTS,5.5,0.5294117291208361,0.4705882708791639,3.0,5.846811453888957,NBA,DEN,2023-05-06
153,P.J. Tucker,PTS+TRB+AST,9.5,0.5300738205865242,0.4699261794134758,5.0,9.904556418327834,NBA,PHI,2023-05-05
71,Jimmy Butler,AST,5.5,0.5303608433237261,0.4696391566762739,9.0,5.85258342425945,NBA,MIA,2023-05-06
169,LeBron James,PTS+AST,32.5,0.5304682094684756,0.46953179053152444,7.0,33.105782308776774,NBA,LAL,2023-05-07
63,Immanuel Quickley,PTS,8.5,0.5304831931112874,0.46951680688871256,9.0,8.895364849353,NBA,NYK,2023-05-06
111,Gabe Vincent,PTS,13.5,0.5305903058453397,0.4694096941546603,10.0,13.953259643786438,NBA,MIA,2023-05-06
127,Tyrese Maxey,PTS+TRB+AST,26.5,0.5307451462473531,0.46925485375264686,9.0,27.0673468556353,NBA,PHI,2023-05-05
109,Josh Hart,PTS+TRB,18.5,0.5311560064271297,0.46884399357287027,5.0,19.007027656009637,NBA,NYK,2023-05-06
179,Stephen Curry,PTS,30.5,0.5318364145527781,0.4681635854472219,10.0,31.11143610846176,NBA,GSW,2023-05-07
170,LeBron James,PTS+TRB,36.5,0.5319934963626625,0.46800650363733753,7.0,37.155120860845855,NBA,LAL,2023-05-07
81,Bam Adebayo,AST,3.5,0.5323225281080824,0.46767747189191755,10.0,3.8284716183212977,NBA,MIA,2023-05-06
85,Jalen Brunson,PTS,24.5,0.5343668235117192,0.46563317648828084,10.0,25.097845630339183,NBA,NYK,2023-05-06
173,LeBron James,PTS,26.5,0.5345333814253368,0.46546661857466315,10.0,27.117017411512176,NBA,LAL,2023-05-07
162,Malcolm Brogdon,PTS+TRB+AST,21.5,0.5346300124005063,0.4653699875994937,6.0,22.074148183756915,NBA,BOS,2023-05-05
100,Julius Randle,PTS+AST,26.5,0.5346353300521434,0.46536466994785664,7.0,27.118355526666956,NBA,NYK,2023-05-06
176,Stephen Curry,PTS+TRB,36.5,0.5348771093384201,0.46512289066157986,7.0,37.1994170505017,NBA,GSW,2023-05-07
98,Julius Randle,STL,0.5,0.5349111755016359,0.4650888244983641,4.0,0.76552687121027,NBA,NYK,2023-05-06
105,Josh Hart,AST,3.5,0.5351853054308985,0.4648146945691015,10.0,3.8425713854494403,NBA,NYK,2023-05-06
131,James Harden,TRB,5.5,0.5354165129055782,0.46458348709442177,10.0,5.883411853108667,NBA,PHI,2023-05-05
96,Mitchell Robinson,PTS+TRB+AST,16.5,0.5354973775320779,0.4645026224679221,6.0,17.033638781067914,NBA,NYK,2023-05-06
24,Deandre Ayton,PTS+TRB,25.5,0.5357663299370298,0.4642336700629702,5.0,26.124449852574642,NBA,PHX,2023-05-06
75,Kevin Love,PTS,8.5,0.5360960038229694,0.4639039961770306,9.0,8.93758639941242,NBA,MIA,2023-05-06
160,Malcolm Brogdon,TRB,3.5,0.5362397510348441,0.4637602489651559,6.0,3.847775721395504,NBA,BOS,2023-05-05
151,P.J. Tucker,STL,0.5,0.5363051998518614,0.4636948001481386,3.0,0.768528701475205,NBA,PHI,2023-05-05
11,Yu Darvish,Pitcher Strikeouts,6.5,0.5364546823582403,0.46354531764175966,9.0,6.907748610214748,MLB,SD,2023-05-06
175,Stephen Curry,PTS+AST,36.5,0.5365083461164276,0.4634916538835724,7.0,37.22450295070082,NBA,GSW,2023-05-07
101,Julius Randle,PTS+TRB,30.5,0.5367502599112294,0.4632497400887706,7.0,31.180547803187952,NBA,NYK,2023-05-06
90,RJ Barrett,TRB,4.5,0.5376319595537378,0.46236804044626223,9.0,4.876812987290297,NBA,NYK,2023-05-06
29,Devin Booker,PTS+AST,38.5,0.5376647888626198,0.46233521113738013,7.0,39.25769049151908,NBA,PHX,2023-05-06
155,Marcus Smart,AST,5.0,0.5378432773730106,0.4621567226269894,1.0,5.346153999381822,NBA,BOS,2023-05-05
48,Jamal Murray,PTS+TRB,27.5,0.5383296846930656,0.4616703153069343,4.0,28.176109627670694,NBA,DEN,2023-05-06
99,Julius Randle,PTS,22.5,0.5388566320911262,0.4611433679088738,10.0,23.13459898397101,NBA,NYK,2023-05-06
171,LeBron James,AST,5.5,0.5388986987785839,0.4611013012214161,10.0,5.904728546217585,NBA,LAL,2023-05-07
150,Al Horford,TO,0.5,0.53944896649455,0.46055103350545,2.0,0.7753316074825567,NBA,BOS,2023-05-05
154,Marcus Smart,PTS,11.5,0.5395611720137903,0.46043882798620966,10.0,12.010133924629363,NBA,BOS,2023-05-05
143,Jaylen Brown,PTS+TRB+AST,34.5,0.5396733019904061,0.46032669800959397,9.0,35.256572170243864,NBA,BOS,2023-05-05
152,P.J. Tucker,TRB,4.5,0.5397329825469661,0.4602670174530339,8.0,4.8885222443580565,NBA,PHI,2023-05-05
30,Devin Booker,PTS+TRB,35.5,0.5397797851468309,0.46022021485316905,7.0,36.26658015982642,NBA,PHX,2023-05-06
14,Kevin Durant,TRB,8.0,0.5398793609738586,0.46012063902614136,1.0,8.4158961855605,NBA,PHX,2023-05-06
88,Jalen Brunson,PTS+TRB,28.5,0.5399507382248436,0.4600492617751564,6.0,29.20726737998005,NBA,NYK,2023-05-06
106,Josh Hart,TRB,8.0,0.5410381973033719,0.45896180269662806,1.0,8.423328211550265,NBA,NYK,2023-05-06
141,Joel Embiid,PTS,25.5,0.5411956417817751,0.45880435821822485,10.0,26.194528200515723,NBA,PHI,2023-05-05
22,Deandre Ayton,TRB,9.5,0.541317841515889,0.458682158484111,10.0,9.993987546746848,NBA,PHX,2023-05-06
7,Sean Manaea,Pitcher Strikeouts,6.0,0.5414461098808308,0.45855389011916925,1.0,6.386370353656727,MLB,SF,2023-05-06
26,Devin Booker,PTS,30.5,0.5418388178507856,0.4581611821492144,11.0,31.25230802164451,NBA,PHX,2023-05-06
172,LeBron James,TRB,9.5,0.5422656728068307,0.45773432719316937,10.0,10.001561845485373,NBA,LAL,2023-05-07
32,Devin Booker,PTS+TRB+AST,43.5,0.5425354247961589,0.4574645752038411,10.0,44.376376201592684,NBA,PHX,2023-05-06
49,Jamal Murray,PTS+TRB+AST,34.5,0.542671724025272,0.457328275974728,7.0,35.30154821241422,NBA,DEN,2023-05-06
113,Gabe Vincent,PTS+TRB,15.5,0.5433370219164914,0.45666297808350864,5.0,16.10194860574195,NBA,MIA,2023-05-06
114,Gabe Vincent,PTS+TRB+AST,19.5,0.5433618072314229,0.4566381927685771,5.0,20.153926386327267,NBA,MIA,2023-05-06
142,Jaylen Brown,TO,2.5,0.5450038394673148,0.4549961605326852,4.0,2.8611915399311902,NBA,BOS,2023-05-05
103,Julius Randle,TRB,7.5,0.5450433417380023,0.4549566582619977,10.0,7.985714418758997,NBA,NYK,2023-05-06
147,Al Horford,PTS,7.5,0.5455064556387708,0.45449354436122924,8.0,7.989026969243753,NBA,BOS,2023-05-05
77,Kevin Love,PTS+TRB,14.5,0.5456521272319409,0.4543478727680591,4.0,15.110792027358007,NBA,MIA,2023-05-06
133,James Harden,PTS+TRB+AST,34.5,0.5464092049273788,0.45359079507262123,8.0,35.35771497742485,NBA,PHI,2023-05-05
117,Jayson Tatum,AST,4.5,0.5468383932260732,0.4531616067739268,9.0,4.928308832193118,NBA,BOS,2023-05-05
137,Joel Embiid,PTS+AST,28.5,0.5469677078677014,0.45303229213229856,5.0,29.303203499603615,NBA,PHI,2023-05-05
52,Michael Porter,PTS,14.0,0.5470657657734624,0.4529342342265376,1.0,14.56985650737108,NBA,DEN,2023-05-06
128,Tyrese Maxey,PTS+TRB,23.5,0.5470713543641369,0.4529286456358631,5.0,24.24684390908448,NBA,PHI,2023-05-05
69,Jimmy Butler,PTS+TRB+AST,39.5,0.5471601869623284,0.4528398130376716,8.0,40.41759602382389,NBA,MIA,2023-05-06
79,Bam Adebayo,TRB,8.0,0.547717859050372,0.452282140949628,1.0,8.466308767363675,NBA,MIA,2023-05-06
