,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
136,Joseph Woll,FLA,9.5,Goalie Saves,227,2023-05-12,28.5,NHL,TOR,-2.0
134,Sergei Bobrovsky,TOR,10.0,Goalie Saves,227,2023-05-12,29.5,NHL,FLA,-1.95
121,Vladimir Guerrero Jr.,ATL,6.5,Hitter Fantasy Score,2,2023-05-12,8.5,other,TOR,-0.3076923076923077
109,Pete Alonso,WSH,7.0,Hitter Fantasy Score,2,2023-05-12,8.5,MLB,NYM,-0.21428571428571427
118,Anthony Rizzo,TB,7.0,Hitter Fantasy Score,2,2023-05-12,8.5,MLB,NYY,-0.21428571428571427
122,Shohei Ohtani,CLE,8.0,Hitter Fantasy Score,2,2023-05-12,9.5,MLB,LAA,-0.1875
105,Ty France,DET,7.0,Hitter Fantasy Score,2,2023-05-12,8.0,MLB,SEA,-0.14285714285714285
125,Mike Trout,CLE,7.5,Hitter Fantasy Score,2,2023-05-12,8.5,MLB,LAA,-0.13333333333333333
64,Isaiah Hartenstein,MIA,4.5,TRB,7,2023-05-12,5.0,NBA,NYK,-0.1111111111111111
129,James Paxton,STL,4.5,Pitcher Strikeouts,2,2023-05-12,5.0,MLB,BOS,-0.1111111111111111
117,Randy Arozarena,NYY,6.0,Hitter Fantasy Score,2,2023-05-12,6.5,MLB,TB,-0.08333333333333333
4,Jonathan India,MIA,7.0,Hitter Fantasy Score,2,2023-05-12,7.5,MLB,CIN,-0.07142857142857142
115,Adley Rutschman,PIT,7.0,Hitter Fantasy Score,2,2023-05-12,7.5,MLB,BAL,-0.07142857142857142
113,Bryan Reynolds,BAL,7.0,Hitter Fantasy Score,2,2023-05-12,7.5,MLB,PIT,-0.07142857142857142
119,Spencer Strider,TOR,8.0,Pitcher Strikeouts,2,2023-05-12,8.5,MLB,ATL,-0.0625
60,Quentin Grimes,MIA,10.0,PTS,7,2023-05-12,10.5,NBA,NYK,-0.05
56,Quentin Grimes,MIA,14.0,PTS+TRB,7,2023-05-12,14.5,NBA,NYK,-0.03571428571428571
46,Mitchell Robinson,MIA,14.5,PTS+TRB,7,2023-05-12,15.0,NBA,NYK,-0.034482758620689655
24,Julius Randle,MIA,31.5,PTS+TRB,7,2023-05-12,30.5,NBA,NYK,0.031746031746031744
23,Julius Randle,MIA,9.0,TRB,7,2023-05-12,8.5,NBA,NYK,0.05555555555555555
48,Mitchell Robinson,MIA,9.0,TRB,7,2023-05-12,8.5,NBA,NYK,0.05555555555555555
55,Kevin Love,NYK,8.0,PTS,7,2023-05-12,7.5,NBA,MIA,0.0625
120,Chris Bassitt,ATL,5.0,Pitcher Strikeouts,2,2023-05-12,4.5,MLB,TOR,0.1
