,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
57,Ferran Torres,1.5,2.0,Shots,-0.3333333333333333,2023-05-20,SOCCER,Barcelona
58,Mikel Merino,2.0,2.5,Tackles,-0.25,2023-05-20,SOCCER,Real Sociedad
33,Konrad Laimer,2.5,3.0,Tackles,-0.2,2023-05-20,SOCCER,RB Leipzig
135,Satou Sabally,11.5,12.5,PTS,-0.08695652173913043,2023-05-20,WNBA,DAL
283,Bryle,19.5,21.0,MAPS 1-2 Kills,-0.07692307692307693,2023-05-20,ESPORTS,Dota:TSM 
144,Natasha Howard,6.5,7.0,TRB,-0.07692307692307693,2023-05-20,WNBA,DAL
128,Allisha Gray,13.5,14.5,PTS,-0.07407407407407407,2023-05-20,WNBA,ATL
155,Teaira McCowan,7.5,8.0,TRB,-0.06666666666666667,2023-05-20,WNBA,DAL
272,gpk,15.5,16.5,MAPS 1-2 Kills,-0.06451612903225806,2023-05-20,ESPORTS,BetBoom 
170,Candace Parker,15.5,16.5,PTS+AST,-0.06451612903225806,2023-05-20,WNBA,LV
162,A'ja Wilson,8.5,9.0,TRB,-0.058823529411764705,2023-05-20,WNBA,LV
199,Jackie Young,18.5,19.5,PTS+TRB,-0.05405405405405406,2023-05-20,WNBA,LV
197,Jackie Young,18.5,19.5,PTS+AST,-0.05405405405405406,2023-05-20,WNBA,LV
168,Jewell Loyd,19.5,20.5,PTS+AST,-0.05128205128205128,2023-05-20,WNBA,SEA
171,Candace Parker,19.5,20.5,PTS+TRB,-0.05128205128205128,2023-05-20,WNBA,LV
166,Jewell Loyd,19.5,20.5,PTS+TRB,-0.05128205128205128,2023-05-20,WNBA,SEA
319,Spinx,39.5,41.5,MAPS 1-2 Kills,-0.05063291139240506,2023-05-20,ESPORTS,Vitality 
274,dnm,10.0,10.5,MAPS 1-2 Kills,-0.05,2023-05-20,ESPORTS,Dogchamp 
183,Kelsey Plum,21.5,22.5,PTS+TRB,-0.046511627906976744,2023-05-20,WNBA,LV
177,Ezi Magbegor,11.0,11.5,PTS,-0.045454545454545456,2023-05-20,WNBA,SEA
169,Jewell Loyd,22.5,23.5,PTS+TRB+AST,-0.044444444444444446,2023-05-20,WNBA,SEA
175,Candace Parker,22.5,23.5,PTS+TRB+AST,-0.044444444444444446,2023-05-20,WNBA,LV
195,Jackie Young,22.5,23.5,PTS+TRB+AST,-0.044444444444444446,2023-05-20,WNBA,LV
119,Arike Ogunbowale,22.5,23.5,PTS+TRB,-0.044444444444444446,2023-05-20,WNBA,DAL
185,Kelsey Plum,23.5,24.5,PTS+AST,-0.0425531914893617,2023-05-20,WNBA,LV
101,jzz,24.0,25.0,MAPS 1-2 Kills,-0.041666666666666664,2023-05-20,ESPORTS,MIBR 
102,frz,25.5,26.5,MAPS 1-2 Kills,-0.0392156862745098,2023-05-20,ESPORTS,MIBR 
180,Kelsey Plum,26.5,27.5,PTS+TRB+AST,-0.03773584905660377,2023-05-20,WNBA,LV
116,Arike Ogunbowale,26.5,27.5,PTS+TRB+AST,-0.03773584905660377,2023-05-20,WNBA,DAL
164,A'ja Wilson,27.5,28.5,PTS+TRB,-0.03636363636363636,2023-05-20,WNBA,LV
271,Nightfall,14.5,15.0,MAPS 1-2 Kills,-0.034482758620689655,2023-05-20,ESPORTS,BetBoom 
163,A'ja Wilson,29.5,30.5,PTS+TRB+AST,-0.03389830508474576,2023-05-20,WNBA,LV
262,Bruce Brown,16.0,16.5,PTS+TRB,-0.03125,2023-05-20,NBA,DEN
282,Timado,17.5,18.0,MAPS 1-2 Kills,-0.02857142857142857,2023-05-20,ESPORTS,Dota:TSM 
117,Arike Ogunbowale,18.5,19.0,PTS,-0.02702702702702703,2023-05-20,WNBA,DAL
244,Austin Reaves,19.5,20.0,PTS+TRB,-0.02564102564102564,2023-05-20,NBA,LAL
103,murizzz,21.0,21.5,MAPS 1-2 Kills,-0.023809523809523808,2023-05-20,ESPORTS,MIBR 
97,Cryocells,32.5,33.0,MAPS 1-2 Kills,-0.015384615384615385,2023-05-20,ESPORTS, 100 Thieves
321,dupreeh,33.5,34.0,MAPS 1-2 Kills,-0.014925373134328358,2023-05-20,ESPORTS,Vitality 
