,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
11,Nestor Cortes,Pitcher Strikeouts,5.0,0.48362157197313876,0.5163784280268613,1.0,5.084263271600282,TB,2,2023-05-13
49,Malcolm Brogdon,STL,0.5,0.4934806750189915,0.5065193249810085,2.0,0.6801928020607124,PHI,7,2023-05-14
13,Patrick Wisdom,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,MIN,2,2023-05-13
6,James Outman,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,SD,2,2023-05-13
24,James Harden,AST,9.0,0.5029905219603816,0.49700947803961837,1.0,9.184167381721966,BOS,7,2023-05-14
18,Tyrese Maxey,AST,2.5,0.5040405079207124,0.4959594920792876,10.0,2.6904797058678076,BOS,7,2023-05-14
10,Shane McClanahan,Pitcher Strikeouts,6.5,0.5073534306315789,0.4926465693684211,9.0,6.717154549039577,NYY,2,2023-05-13
39,Tobias Harris,TRB,6.5,0.5098329280697215,0.49016707193027853,9.0,6.733230712194032,BOS,7,2023-05-14
50,Derrick White,PTS+TRB,10.5,0.5104336956623444,0.4895663043376556,3.0,10.753959618182385,PHI,7,2023-05-14
0,Kevin Smith,Total Bases,0.5,0.5112207155591162,0.4887792844408838,3.0,0.7158442524629182,TEX,2,2023-05-13
60,Joel Embiid,TRB,11.0,0.5116585069135082,0.48834149308649166,1.0,11.25168737289441,BOS,7,2023-05-14
41,Tobias Harris,PTS+TRB+AST,21.5,0.5134630862735323,0.48653691372646773,7.0,21.824873438454752,BOS,7,2023-05-14
47,Malcolm Brogdon,PTS+AST,18.5,0.5143966386221935,0.48560336137780646,5.0,18.823879226398798,PHI,7,2023-05-14
27,James Harden,PTS+TRB+AST,36.5,0.5169899692645628,0.4830100307354372,9.0,36.92557502057844,BOS,7,2023-05-14
16,Tyrese Maxey,PTS,21.5,0.5183218251626478,0.4816781748373522,10.0,21.881861138088023,BOS,7,2023-05-14
4,Austin Hedges,Total Bases,0.5,0.5187566504052371,0.4812433495947629,3.0,0.7313822124994961,BAL,2,2023-05-13
9,Aaron Hicks,Total Bases,0.5,0.5198142339965287,0.4801857660034713,4.0,0.7335822374429928,TB,2,2023-05-13
59,Joel Embiid,PTS,30.5,0.5201118756118953,0.4798881243881047,10.0,30.947201300496197,BOS,7,2023-05-14
58,Joel Embiid,PTS,30.5,0.5201118756118953,0.4798881243881047,10.0,30.947201300496197,BOS,7,2023-05-14
25,James Harden,PTS+TRB,27.5,0.520231743300465,0.47976825669953505,7.0,27.934836664628367,BOS,7,2023-05-14
46,Malcolm Brogdon,PTS+TRB+AST,22.5,0.5212927668486937,0.47870723315130626,6.0,22.922408888909032,PHI,7,2023-05-14
7,Adam Engel,Total Bases,0.5,0.5217132911419453,0.4782867088580547,3.0,0.7375449169779221,LAD,2,2023-05-13
26,James Harden,PTS+AST,29.5,0.5220999271757139,0.4779000728242861,7.0,29.96995912882005,BOS,7,2023-05-14
22,James Harden,PTS,20.5,0.5232435435410319,0.4767564564589681,10.0,20.93342152500078,BOS,7,2023-05-14
61,Joel Embiid,PTS+TRB,41.5,0.5244590044437932,0.47554099555620677,7.0,42.064133737551224,BOS,7,2023-05-14
1,Rodolfo Castro,Total Bases,0.5,0.5254041793065845,0.47459582069341555,3.0,0.7452917409749661,BAL,2,2023-05-13
57,Jaylen Brown,PTS+TRB+AST,33.5,0.5291988517309077,0.47080114826909225,9.0,34.09374925313962,PHI,7,2023-05-14
44,Tobias Harris,PTS+TRB,19.5,0.529900305544527,0.47009969445547295,5.0,20.00177383702918,BOS,7,2023-05-14
38,P.J. Tucker,PTS+TRB+AST,9.5,0.5303228363390999,0.46967716366090007,2.0,9.906528877046759,BOS,7,2023-05-14
30,Marcus Smart,PTS+AST,20.5,0.5310139250467618,0.4689860749532382,5.0,21.022942528073916,PHI,7,2023-05-14
15,Steven Matz,Pitcher Strikeouts,4.5,0.5335938923885408,0.4664061076114592,8.0,4.854377099063595,BOS,2,2023-05-13
43,Tobias Harris,PTS+AST,14.5,0.5339996387628992,0.46600036123710076,3.0,14.996616290289865,BOS,7,2023-05-14
21,Tyrese Maxey,PTS+TRB+AST,28.5,0.5349328316722022,0.46506716832779776,10.0,29.13889671328289,BOS,7,2023-05-14
12,Garrett Hampson,Total Bases,0.5,0.5382692140343543,0.46173078596564565,3.0,0.7727732721044692,CIN,2,2023-05-13
62,Joel Embiid,PTS+AST,33.5,0.5400406879868507,0.4599593120131494,6.0,34.253489031979896,BOS,7,2023-05-14
56,Jaylen Brown,PTS+AST,27.5,0.5411763788187669,0.45882362118123304,6.0,28.214270139010754,PHI,7,2023-05-14
63,Joel Embiid,PTS+TRB+AST,44.5,0.5414121697689771,0.45858783023102284,9.0,45.36529825732017,BOS,7,2023-05-14
28,Marcus Smart,PTS,14.5,0.5420451442214378,0.45795485577856226,10.0,15.07535114020294,PHI,7,2023-05-14
8,Jose Siri,Total Bases,0.5,0.5424009539042844,0.45759904609571556,4.0,0.7817619234997631,NYY,2,2023-05-13
48,Malcolm Brogdon,PTS+TRB,18.5,0.5424849872092529,0.45751501279074713,5.0,19.131827566940625,PHI,7,2023-05-14
17,Tyrese Maxey,TRB,4.5,0.5431936655523855,0.45680633444761454,9.0,4.907863674237612,BOS,7,2023-05-14
29,Marcus Smart,AST,5.5,0.5439595331352519,0.4560404668647481,10.0,5.935834192948867,PHI,7,2023-05-14
3,Jack Suwinski,Total Bases,0.5,0.5446109691960325,0.45538903080396753,3.0,0.7866032125904026,BAL,2,2023-05-13
36,Jayson Tatum,PTS+TRB,39.5,0.5457032191800634,0.45429678081993663,5.0,40.39416734613639,PHI,7,2023-05-14
53,Jaylen Brown,PTS,23.5,0.5458720593756914,0.45412794062430856,9.0,24.2319003262942,PHI,7,2023-05-14
55,Jaylen Brown,PTS+TRB,29.5,0.5468627252062284,0.4531372747937716,6.0,30.31265295558825,PHI,7,2023-05-14
5,Anthony DeSclafani,Pitcher Strikeouts,3.5,0.5470467983782588,0.45295320162174124,4.0,3.9014671487318227,ARI,2,2023-05-13
20,Tyrese Maxey,PTS+AST,23.5,0.5483072351724729,0.4516927648275271,5.0,24.262255387324824,BOS,7,2023-05-14
54,Jaylen Brown,AST,3.5,0.5496522509955686,0.4503477490044314,10.0,3.914510611911188,PHI,7,2023-05-14
51,Derrick White,PTS,7.5,0.5502448440083276,0.44975515599167243,2.0,8.022998597293402,PHI,7,2023-05-14
14,Paul DeJong,Total Bases,0.5,0.5524237748450662,0.4475762251549338,3.0,0.8039084202309268,BOS,2,2023-05-13
33,Jayson Tatum,PTS,29.5,0.5534342799933116,0.4465657200066884,8.0,30.404404218665498,PHI,7,2023-05-14
42,Tobias Harris,STL,0.5,0.5592554091968908,0.44074459080310924,3.0,0.8192897304893728,BOS,7,2023-05-14
32,Marcus Smart,PTS+TRB+AST,23.5,0.5599841348478114,0.44001586515218866,6.0,24.408500040487827,PHI,7,2023-05-14
40,Tobias Harris,PTS,12.5,0.5600703857548848,0.4399296142451153,9.0,13.21263941095056,BOS,7,2023-05-14
23,James Harden,TRB,6.5,0.5606353950771248,0.43936460492287527,10.0,7.0697915894285135,BOS,7,2023-05-14
2,Roansy Contreras,Pitcher Strikeouts,4.0,0.5608319751578162,0.43916802484218376,1.0,4.424708505508303,BAL,2,2023-05-13
19,Tyrese Maxey,PTS+TRB,25.5,0.5613028216066538,0.43869717839334615,4.0,26.45612853349792,BOS,7,2023-05-14
35,Jayson Tatum,PTS+TRB+AST,44.5,0.5621060425850719,0.43789395741492804,7.0,45.719293903834405,PHI,7,2023-05-14
52,Jaylen Brown,TRB,5.5,0.5623670470916651,0.43763295290833487,9.0,6.050309947440525,PHI,7,2023-05-14
37,Jayson Tatum,PTS+AST,34.5,0.5632866968968442,0.43671330310315576,4.0,35.612940675168296,PHI,7,2023-05-14
45,Malcolm Brogdon,PTS,14.5,0.5633354981986125,0.43666450180138755,8.0,15.285943409330237,PHI,7,2023-05-14
31,Marcus Smart,PTS+TRB,17.5,0.5653273361660062,0.43467266383399383,4.0,18.36713138648921,PHI,7,2023-05-14
66,Al Horford,PTS+TRB,14.5,0.576375610576776,0.423624389423224,3.0,15.416759239146252,PHI,7,2023-05-14
34,Jayson Tatum,TRB,9.5,0.5768159222772576,0.42318407772274236,9.0,10.281983645249458,PHI,7,2023-05-14
65,Al Horford,PTS+AST,10.5,0.576827326602069,0.42317267339793097,3.0,11.312358913152558,PHI,7,2023-05-14
64,Al Horford,PTS+TRB+AST,17.5,0.5792689643455553,0.4207310356544447,3.0,18.520588287550698,PHI,7,2023-05-14
