,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
76,Bruno Fernandes,1.5,2.0,Shots,-0.3333333333333333,2023-06-03,SOCCER,Manchester United
85,Vanja Milinkovic-Savic,2.5,3.0,Goalie Saves,-0.2,2023-06-03,SOCCER,Torino
109,Brice Samba,2.5,3.0,Goalie Saves,-0.2,2023-06-03,SOCCER,Lens
27,Jace Sternberger,30.5,35.5,Receiving Yards,-0.16393442622950818,2023-06-03,USFL,Stars
122,Michael Lorenzen,4.5,5.0,Pitcher Strikeouts,-0.1111111111111111,2023-06-03,MLB,DET
171,Nightfall,14.5,16.0,MAPS 1-2 Kills,-0.10344827586206896,2023-06-03,ESPORTS,BetBoom 
41,Kerrith Whyte,50.5,55.5,Rush Yards,-0.09900990099009901,2023-06-04,USFL,Generals
183,Timado,15.5,17.0,MAPS 1-2 Kills,-0.0967741935483871,2023-06-03,ESPORTS, TSM
195,frozen,37.0,40.0,MAPS 1-2 Kills,-0.08108108108108109,2023-06-03,ESPORTS, MOUZ
69,Bruce Brown,10.0,10.5,PTS,-0.05,2023-06-04,NBA,DEN
3,Kenji Bahar,200.5,210.5,Pass Yards,-0.04987531172069826,2023-06-03,USFL,Gamblers 
202,D0cC,41.0,43.0,MAPS 1-2 Kills,-0.04878048780487805,2023-06-03,ESPORTS,Unluko5 
200,DEPRESHN,35.0,36.5,MAPS 1-2 Kills,-0.04285714285714286,2023-06-03,ESPORTS, PORTUGAL
192,sjuush,35.5,37.0,MAPS 1-2 Kills,-0.04225352112676056,2023-06-03,ESPORTS,Heroic 
169,Nexius,37.0,38.5,MAPS 1-2 Kills,-0.04054054054054054,2023-06-03,ESPORTS, MOUZ NXT
29,Alex McGough,215.5,223.5,Pass Yards,-0.037122969837587005,2023-06-03,USFL,Stars
60,Aaron Gordon,15.5,16.0,PTS+AST,-0.03225806451612903,2023-06-04,NBA,DEN
167,juissi,33.5,34.5,MAPS 1-2 Kills,-0.029850746268656716,2023-06-03,ESPORTS,ENCE Academy 
213,rain,34.5,35.5,MAPS 1-2 Kills,-0.028985507246376812,2023-06-03,ESPORTS, FaZe
166,myltsi,38.0,39.0,MAPS 1-2 Kills,-0.02631578947368421,2023-06-03,ESPORTS,ENCE Academy 
165,podi,38.5,39.5,MAPS 1-2 Kills,-0.025974025974025976,2023-06-03,ESPORTS,ENCE Academy 
185,rallen,39.0,40.0,MAPS 1-2 Kills,-0.02564102564102564,2023-06-03,ESPORTS, Into the Breach
43,Josh Love,207.5,212.5,Pass Yards,-0.024096385542168676,2023-06-04,USFL,Breakers
40,Bam Adebayo,32.0,32.5,PTS+TRB+AST,-0.015625,2023-06-04,NBA,MIA
203,KD69z,33.0,33.5,MAPS 1-2 Kills,-0.015151515151515152,2023-06-03,ESPORTS,Unluko5 
211,ropz,40.0,40.5,MAPS 1-2 Kills,-0.0125,2023-06-03,ESPORTS, FaZe
210,broky,40.5,41.0,MAPS 1-2 Kills,-0.012345679012345678,2023-06-03,ESPORTS, FaZe
168,Jimpphat,43.0,42.5,MAPS 1-2 Kills,0.011627906976744186,2023-06-03,ESPORTS, MOUZ NXT
199,KaiR0N-,41.0,40.5,MAPS 1-2 Kills,0.012195121951219513,2023-06-03,ESPORTS, PORTUGAL
205,Nertz,38.0,37.5,MAPS 1-2 Kills,0.013157894736842105,2023-06-03,ESPORTS,ENCE 
206,dycha,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-03,ESPORTS,ENCE 
191,cadiaN,37.0,36.5,MAPS 1-2 Kills,0.013513513513513514,2023-06-03,ESPORTS,Heroic 
188,CYPHER,36.0,35.5,MAPS 1-2 Kills,0.013888888888888888,2023-06-03,ESPORTS, Into the Breach
182,arTisT,34.5,34.0,MAPS 1-2 Kills,0.014492753623188406,2023-06-03,ESPORTS,Viperio 
181,Girafffe,34.5,34.0,MAPS 1-2 Kills,0.014492753623188406,2023-06-03,ESPORTS,Viperio 
196,torzsi,34.0,33.5,MAPS 1-2 Kills,0.014705882352941176,2023-06-03,ESPORTS, MOUZ
193,TeSeS,34.0,33.5,MAPS 1-2 Kills,0.014705882352941176,2023-06-03,ESPORTS,Heroic 
204,Lobanjica,34.0,33.5,MAPS 1-2 Kills,0.014705882352941176,2023-06-03,ESPORTS,Unluko5 
214,karrigan,28.0,27.5,MAPS 1-2 Kills,0.017857142857142856,2023-06-03,ESPORTS, FaZe
212,Twistzz,37.0,36.0,MAPS 1-2 Kills,0.02702702702702703,2023-06-03,ESPORTS, FaZe
201,fostar,34.5,33.5,MAPS 1-2 Kills,0.028985507246376812,2023-06-03,ESPORTS, PORTUGAL
198,dexter,30.5,29.5,MAPS 1-2 Kills,0.03278688524590164,2023-06-03,ESPORTS, MOUZ
48,Gabe Vincent,15.0,14.5,PTS+TRB,0.03333333333333333,2023-06-04,NBA,MIA
189,stavn,42.0,40.5,MAPS 1-2 Kills,0.03571428571428571,2023-06-03,ESPORTS,Heroic 
176,Larl,13.0,12.5,MAPS 1-2 Kills,0.038461538461538464,2023-06-03,ESPORTS, Spirit
207,SunPayus,37.5,36.0,MAPS 1-2 Kills,0.04,2023-06-03,ESPORTS,ENCE 
190,jabbi,37.5,36.0,MAPS 1-2 Kills,0.04,2023-06-03,ESPORTS,Heroic 
186,Thomas,36.5,35.0,MAPS 1-2 Kills,0.0410958904109589,2023-06-03,ESPORTS, Into the Breach
66,Kentavious Caldwell-Pope,10.0,9.5,PTS,0.05,2023-06-04,NBA,DEN
