,Player,Team_pp,Line_pp,Stat,League_pp,Date,Line_dog,League_dog,Team_dog,difference
0,Bam Adebayo,NYK,5.0,PTS,192,2023-05-02,20.5,NBA,MIA,-3.1
9,RJ Barrett,MIA,5.5,PTS,192,2023-05-02,21.0,NBA,NYK,-2.8181818181818183
11,Max Strus,NYK,3.5,PTS,192,2023-05-02,12.5,NBA,MIA,-2.5714285714285716
6,Gabe Vincent,NYK,4.5,PTS,192,2023-05-02,15.0,NBA,MIA,-2.3333333333333335
4,Jalen Brunson,MIA,7.5,PTS,192,2023-05-02,24.5,NBA,NYK,-2.2666666666666666
87,Ilya Samsonov,FLA,10.0,Goalie Saves,227,2023-05-02,29.5,NHL,TOR,-1.95
14,Kevin Love,NYK,4.0,PTS,192,2023-05-02,11.0,NBA,MIA,-1.75
86,Mike Trout,STL,8.0,Hitter Fantasy Score,2,2023-05-02,9.5,MLB,LAA,-0.1875
83,Salvador Perez,BAL,6.5,Hitter Fantasy Score,2,2023-05-02,7.5,MLB,KC,-0.15384615384615385
80,Adley Rutschman,KC,7.5,Hitter Fantasy Score,2,2023-05-02,8.5,MLB,BAL,-0.13333333333333333
84,Paul Goldschmidt,LAA,7.5,Hitter Fantasy Score,2,2023-05-02,8.5,MLB,STL,-0.13333333333333333
77,Jalen Brunson,MIA,4.0,FT,7,2023-05-02,4.5,NBA,NYK,-0.125
33,Byron Buxton,CWS,8.5,Hitter Fantasy Score,2,2023-05-02,9.5,MLB,MIN,-0.11764705882352941
59,Mitchell Robinson,MIA,6.5,PTS,7,2023-05-02,7.0,NBA,NYK,-0.07692307692307693
72,Rafael Devers,TOR,7.0,Hitter Fantasy Score,2,2023-05-02,7.5,MLB,BOS,-0.07142857142857142
57,Kevin Love,NYK,17.5,PTS+TRB,7,2023-05-02,18.5,NBA,MIA,-0.05714285714285714
56,Kevin Love,NYK,9.0,TRB+AST,7,2023-05-02,9.5,NBA,MIA,-0.05555555555555555
92,stamina,Limitless,14.0,MAPS 1-2 Headshots,124,2023-05-02,14.5,ESPORTS,CS:GO stamina,-0.03571428571428571
47,Gabe Vincent,NYK,17.0,PTS+TRB,7,2023-05-02,17.5,NBA,MIA,-0.029411764705882353
48,Gabe Vincent,NYK,19.0,PTS+AST,7,2023-05-02,19.5,NBA,MIA,-0.02631578947368421
31,Bam Adebayo,NYK,23.5,PTS+AST,7,2023-05-02,24.0,NBA,MIA,-0.02127659574468085
50,RJ Barrett,MIA,24.0,PTS+AST,7,2023-05-02,24.5,NBA,NYK,-0.020833333333333332
52,RJ Barrett,MIA,26.0,PTS+TRB,7,2023-05-02,26.5,NBA,NYK,-0.019230769230769232
91,scar,Strife,20.0,MAPS 1-2 Headshots,124,2023-05-02,19.5,ESPORTS,CS:GO scar,0.025
89,scar,Strife,32.0,MAPS 1-2 Kills,124,2023-05-02,30.0,ESPORTS,CS:GO scar,0.0625
26,Trevor Williams,CHC,4.5,Pitcher Strikeouts,2,2023-05-02,4.0,MLB,WSH,0.1111111111111111
