,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
125,Ilkay Gundogan,0.5,2.0,Shots,-3.0,2023-06-10,SOCCER,Manchester City
124,Kevin De Bruyne,1.0,2.5,Shots,-1.5,2023-06-10,other,Manchester City
127,Lautaro Martinez,1.0,2.0,Shots,-1.0,2023-06-10,SOCCER,Inter Milan
129,Bernardo Silva,0.5,1.0,Shots,-1.0,2023-06-10,SOCCER,Manchester City
171,Colin Rea,4.0,4.5,Pitcher Strikeouts,-0.125,2023-06-08,MLB,MIL
55,Candace Parker,4.5,5.0,TRB,-0.1111111111111111,2023-06-08,WNBA,LV
186,Lance Lynn,5.5,6.0,Pitcher Strikeouts,-0.09090909090909091,2023-06-08,MLB,CWS
25,Alyssa Thomas,6.0,6.5,AST,-0.08333333333333333,2023-06-08,WNBA,CONN
57,Candace Parker,12.0,13.0,PTS+TRB,-0.08333333333333333,2023-06-08,WNBA,LV
56,Candace Parker,14.5,15.5,PTS+TRB+AST,-0.06896551724137931,2023-06-08,WNBA,LV
58,Candace Parker,7.5,8.0,TRB+AST,-0.06666666666666667,2023-06-08,WNBA,LV
239,DeStiNy,35.0,37.0,MAPS 1-2 Kills,-0.05714285714285714,2023-06-08,ESPORTS,Paqueta 
61,Alyssa Thomas,10.0,10.5,TRB,-0.05,2023-06-08,WNBA,CONN
96,Chelsea Gray,11.0,11.5,TRB+AST,-0.045454545454545456,2023-06-08,WNBA,LV
211,Sapec,33.5,35.0,MAPS 1-2 Kills,-0.04477611940298507,2023-06-08,ESPORTS,EYEBALLERS 
94,Chelsea Gray,24.5,25.5,PTS+TRB+AST,-0.04081632653061224,2023-06-08,WNBA,LV
221,dumau,37.0,38.5,MAPS 1-2 Kills,-0.04054054054054054,2023-06-08,ESPORTS,00NATION 
206,Rainwaker,39.5,41.0,MAPS 1-2 Kills,-0.0379746835443038,2023-06-08,ESPORTS, 500
17,Brionna Jones,15.0,15.5,PTS,-0.03333333333333333,2023-06-08,WNBA,CONN
16,Nikola Jokic,30.5,31.5,PTS,-0.03278688524590164,2023-06-09,NBA,DEN
161,neT,31.0,32.0,MAPS 1-2 Kills,-0.03225806451612903,2023-06-08,ESPORTS,The Guard 
220,gla1ve,32.0,33.0,MAPS 1-2 Kills,-0.03125,2023-06-08,ESPORTS, Astralis
218,Altekz,34.5,35.5,MAPS 1-2 Kills,-0.028985507246376812,2023-06-08,ESPORTS, Astralis
234,cadiaN,35.5,36.5,MAPS 1-2 Kills,-0.028169014084507043,2023-06-08,ESPORTS,Heroic 
95,Chelsea Gray,20.0,20.5,PTS+AST,-0.025,2023-06-08,WNBA,LV
75,Kelsey Plum,20.5,21.0,PTS+AST,-0.024390243902439025,2023-06-08,WNBA,LV
166,mitch,25.0,25.5,MAPS 1-2 Kills,-0.02,2023-06-08,ESPORTS, Oxygen
18,Nikola Jokic,53.5,54.5,PTS+TRB+AST,-0.018691588785046728,2023-06-09,NBA,DEN
214,floppy,32.0,32.5,MAPS 1-2 Kills,-0.015625,2023-06-08,ESPORTS,Complexity 
213,FaNg,33.0,33.5,MAPS 1-2 Kills,-0.015151515151515152,2023-06-08,ESPORTS,Complexity 
242,kNgV-,36.0,36.5,MAPS 1-2 Kills,-0.013888888888888888,2023-06-08,ESPORTS, O PLANO
235,sjuush,36.0,36.5,MAPS 1-2 Kills,-0.013888888888888888,2023-06-08,ESPORTS,Heroic 
225,remix,36.5,37.0,MAPS 1-2 Kills,-0.0136986301369863,2023-06-08,ESPORTS,ODDIK 
222,latto,37.5,38.0,MAPS 1-2 Kills,-0.013333333333333334,2023-06-08,ESPORTS,00NATION 
216,device,44.0,43.5,MAPS 1-2 Kills,0.011363636363636364,2023-06-08,ESPORTS, Astralis
217,blameF,41.0,40.5,MAPS 1-2 Kills,0.012195121951219513,2023-06-08,ESPORTS, Astralis
241,piriaz1n,40.0,39.5,MAPS 1-2 Kills,0.0125,2023-06-08,ESPORTS, O PLANO
207,REDSTAR,39.0,38.5,MAPS 1-2 Kills,0.01282051282051282,2023-06-08,ESPORTS, 500
238,nython,37.5,37.0,MAPS 1-2 Kills,0.013333333333333334,2023-06-08,ESPORTS,Paqueta 
156,koalanoob,35.5,35.0,MAPS 1-2 Kills,0.014084507042253521,2023-06-08,ESPORTS,M80 
164,Verno,33.5,33.0,MAPS 1-2 Kills,0.014925373134328358,2023-06-08,ESPORTS, Oxygen
160,trent,32.0,31.5,MAPS 1-2 Kills,0.015625,2023-06-08,ESPORTS,The Guard 
154,aproto,31.0,30.5,MAPS 1-2 Kills,0.016129032258064516,2023-06-08,ESPORTS, Moist Moguls
69,Alyssa Thomas,31.0,30.5,PTS+TRB+AST,0.016129032258064516,2023-06-08,WNBA,CONN
215,JT,29.5,29.0,MAPS 1-2 Kills,0.01694915254237288,2023-06-08,ESPORTS,Complexity 
114,Jackie Young,28.5,28.0,PTS+TRB+AST,0.017543859649122806,2023-06-08,WNBA,LV
231,karrigan,27.0,26.5,MAPS 1-2 Kills,0.018518518518518517,2023-06-08,ESPORTS, FaZe
