,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
46,Gabe Vincent,PTS,12.5,0.4311579018118077,0.5688420981881923,3.0,12.062286115623879,BOS,7,2023-05-25
50,Derrick White,PTS,12.5,0.441161976892257,0.558838023107743,4.0,12.149801896917632,MIA,7,2023-05-25
62,Malcolm Brogdon,PTS+TRB+AST,15.5,0.445280174303624,0.554719825696376,3.0,15.13054285563872,MIA,7,2023-05-25
7,Blake Snell,Pitcher Strikeouts,6.0,0.4485038713546081,0.5514961286453919,1.0,5.89310658476223,WSH,2,2023-05-25
47,Gabe Vincent,PTS+AST,15.5,0.4566180726879485,0.5433819273120515,4.0,15.241356028840169,BOS,7,2023-05-25
56,Kevin Love,TRB,4.5,0.45672583657951116,0.5432741634204888,8.0,4.441332753740174,BOS,7,2023-05-25
61,Malcolm Brogdon,PTS+AST,12.5,0.46562957652372416,0.5343704234762758,4.0,12.36435383207652,MIA,7,2023-05-25
18,Max Strus,TRB,3.5,0.47267428741801987,0.5273257125819801,9.0,3.543267307229157,BOS,7,2023-05-25
57,Kevin Love,PTS+TRB+AST,10.5,0.47823516039729375,0.5217648396027063,3.0,10.491695280398003,BOS,7,2023-05-25
24,Marcus Smart,PTS+TRB,16.5,0.47974218134771696,0.520257818652283,5.0,16.461658897568675,MIA,7,2023-05-25
55,Kevin Love,PTS,5.5,0.48079594182112895,0.519204058178871,8.0,5.556829442633373,BOS,7,2023-05-25
20,Max Strus,PTS+AST,12.5,0.4824074569588851,0.5175925430411149,3.0,12.512215890637586,BOS,7,2023-05-25
51,Derrick White,PTS+TRB,15.5,0.48298875273029185,0.5170112472697082,5.0,15.5,MIA,7,2023-05-25
59,Malcolm Brogdon,PTS,9.5,0.48332141385307814,0.5166785861469219,7.0,9.539637236220928,MIA,7,2023-05-25
27,Jimmy Butler,PTS,28.5,0.4839127270351712,0.5160872729648288,9.0,28.45214252334019,BOS,7,2023-05-25
44,Jayson Tatum,PTS+AST,36.5,0.4856916587000074,0.5143083412999926,6.0,36.450573489161485,MIA,7,2023-05-25
29,Jimmy Butler,PTS+AST,34.5,0.48612556137562335,0.5138744386243767,6.0,34.462993646957926,BOS,7,2023-05-25
48,Gabe Vincent,PTS+TRB+AST,17.5,0.4862104588598173,0.5137895411401827,6.0,17.52309626312243,BOS,7,2023-05-25
63,Caleb Martin,PTS,12.5,0.48635467457026826,0.5136453254297317,8.0,12.547123541273283,BOS,7,2023-05-25
16,Al Horford,PTS,7.5,0.4906356713296989,0.5093643286703011,9.0,7.604660004741555,MIA,7,2023-05-25
32,Bam Adebayo,BLK,0.5,0.49099397689127566,0.5090060231087243,5.0,0.6752954292821285,BOS,7,2023-05-25
49,Gabe Vincent,PTS+TRB,14.5,0.49111927366113506,0.5088807263388649,3.0,14.583080136678907,BOS,7,2023-05-25
31,Bam Adebayo,PTS,17.5,0.49395581992514714,0.5060441800748529,9.0,17.604278735335374,BOS,7,2023-05-25
26,Marcus Smart,PTS+TRB+AST,22.5,0.4948400981782759,0.5051599018217241,9.0,22.6060897743741,MIA,7,2023-05-25
64,Caleb Martin,TRB,4.5,0.4949446304018166,0.5050553695981834,8.0,4.643740068434946,BOS,7,2023-05-25
52,Derrick White,PTS+AST,14.5,0.49556467418779704,0.504435325812203,5.0,14.62555755742685,MIA,7,2023-05-25
22,Marcus Smart,PTS,12.5,0.4968144245037185,0.5031855754962815,9.0,12.63989194020554,MIA,7,2023-05-25
53,Derrick White,PTS+TRB+AST,17.5,0.49790994520233667,0.5020900547976633,8.0,17.645809161997427,MIA,7,2023-05-25
2,Patrick Wisdom,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,NYM,2,2023-05-25
5,Ryan Noda,Total Bases,0.5,0.49926452769393426,0.5007354723060657,1.0,0.6916773167271258,SEA,2,2023-05-25
58,Grant Williams,PTS+TRB+AST,11.5,0.4997947125621822,0.5002052874378178,1.0,11.666609705727254,MIA,7,2023-05-25
33,Bam Adebayo,PTS+TRB,26.5,0.5008901187921101,0.4991098812078899,6.0,26.67891982304181,BOS,7,2023-05-25
