,Player,Line_pp,Line_dog,Stat,difference,Date,League_dog,Team_dog
22,Bobby Wood,1.5,2.0,Shots,-0.3333333333333333,2023-06-17,SOCCER,New England
27,Ercan Kara,2.0,2.5,Shots,-0.25,2023-06-17,SOCCER,Orlando
104,DnDn,2.0,2.5,MAPS 1-2 Kills,-0.25,2023-06-18,ESPORTS,Nongshim RedForce 
89,Teddy,4.5,5.5,MAPS 1-2 Kills,-0.2222222222222222,2023-06-18,ESPORTS,LSB 
97,Kinatu,5.0,6.0,MAPS 1-2 Kills,-0.2,2023-06-18,ESPORTS,SoftBank Hawks 
101,Cassin,2.5,3.0,MAPS 1-2 Kills,-0.2,2023-06-18,ESPORTS, Crest
105,Sylvie,2.5,3.0,MAPS 1-2 Kills,-0.2,2023-06-18,ESPORTS,Nongshim RedForce 
86,Burdol,2.5,3.0,MAPS 1-2 Kills,-0.2,2023-06-18,ESPORTS,LSB 
126,hachamecha,3.0,3.5,MAPS 1-2 Kills,-0.16666666666666666,2023-06-18,ESPORTS, FENNEL
25,Gustavo Bou,3.0,3.5,Shots,-0.16666666666666666,2023-06-17,SOCCER,New England
24,Mason Stajduhar,3.0,3.5,Goalie Saves,-0.16666666666666666,2023-06-17,SOCCER,Orlando
99,Marble,9.5,11.0,MAPS 1-2 Kills,-0.15789473684210525,2023-06-18,ESPORTS,SoftBank Hawks 
96,1xn,6.5,7.5,MAPS 1-2 Kills,-0.15384615384615385,2023-06-18,ESPORTS, ThunderTalk Gaming
113,Breathe,3.5,4.0,MAPS 1-2 Kills,-0.14285714285714285,2023-06-18,ESPORTS, Royal Never Give Up
114,Wei,4.0,4.5,MAPS 1-2 Kills,-0.125,2023-06-18,ESPORTS, Royal Never Give Up
117,369,4.0,4.5,MAPS 1-2 Kills,-0.125,2023-06-18,ESPORTS,JD Gaming 
124,Jett,8.0,9.0,MAPS 1-2 Kills,-0.125,2023-06-18,ESPORTS,Sengoku Gaming 
66,Hyeon Jong Yang,4.0,4.5,Pitcher Strikeouts,-0.125,2023-06-18,other,KIA
127,Recap,4.0,4.5,MAPS 1-2 Kills,-0.125,2023-06-18,ESPORTS, FENNEL
107,Canna,4.0,4.5,MAPS 1-2 Kills,-0.125,2023-06-18,ESPORTS, Dplus Kia 
92,Bdd,5.0,5.5,MAPS 1-2 Kills,-0.1,2023-06-18,ESPORTS, KTR
98,Blank,6.5,7.0,MAPS 1-2 Kills,-0.07692307692307693,2023-06-18,ESPORTS,SoftBank Hawks 
15,cauanzin,28.5,30.0,MAPS 1-2 Kills,-0.05263157894736842,2023-06-17,ESPORTS, LOUD
13,aspas,37.5,39.0,MAPS 1-2 Kills,-0.04,2023-06-17,ESPORTS, LOUD
18,s0m,32.0,33.0,MAPS 1-2 Kills,-0.03125,2023-06-18,ESPORTS, NRG
10,Wes Hills,70.5,72.5,Rush Yards,-0.028368794326241134,2023-06-18,USFL,NO 
37,stax,24.0,24.5,MAPS 1-2 Kills,-0.020833333333333332,2023-06-18,ESPORTS,DRX 
5,Justin Hall,49.5,50.5,Receiving Yards,-0.020202020202020204,2023-06-18,USFL,HOU
46,Ethan,28.5,29.0,MAPS 1-2 Kills,-0.017543859649122806,2023-06-18,ESPORTS, Evil Geniuses
36,Rb,30.0,30.5,MAPS 1-2 Kills,-0.016666666666666666,2023-06-18,ESPORTS,DRX 
26,MaKo,31.0,31.5,MAPS 1-2 Kills,-0.016129032258064516,2023-06-18,ESPORTS,DRX 
21,BuZz,33.0,33.5,MAPS 1-2 Kills,-0.015151515151515152,2023-06-18,ESPORTS,DRX 
38,Sayf,37.5,38.0,MAPS 1-2 Kills,-0.013333333333333334,2023-06-18,ESPORTS,Liquid 
8,Case Cookus,230.5,233.5,Pass Yards,-0.013015184381778741,2023-06-18,USFL,PHI 
43,Demon1,35.0,34.5,MAPS 1-2 Kills,0.014285714285714285,2023-06-18,ESPORTS, Evil Geniuses
39,nAts,32.5,32.0,MAPS 1-2 Kills,0.015384615384615385,2023-06-18,ESPORTS,Liquid 
1,Smoggy,32.0,31.5,MAPS 1-2 Kills,0.015625,2023-06-17,ESPORTS,EDward Gaming 
19,Victor,31.5,31.0,MAPS 1-2 Kills,0.015873015873015872,2023-06-18,ESPORTS, NRG
20,crashies,30.5,30.0,MAPS 1-2 Kills,0.01639344262295082,2023-06-18,ESPORTS, NRG
42,Redgar,26.0,25.5,MAPS 1-2 Kills,0.019230769230769232,2023-06-18,ESPORTS,Liquid 
11,Joe Walker,44.5,43.5,Receiving Yards,0.02247191011235955,2023-06-18,USFL,MICH
3,Mark Thompson,71.5,69.5,Rush Yards,0.027972027972027972,2023-06-18,USFL,HOU
17,ardiis,33.5,32.5,MAPS 1-2 Kills,0.029850746268656716,2023-06-18,ESPORTS, NRG
2,CHICHOO,30.0,29.0,MAPS 1-2 Kills,0.03333333333333333,2023-06-17,ESPORTS,EDward Gaming 
4,nobody,27.5,26.5,MAPS 1-2 Kills,0.03636363636363636,2023-06-17,ESPORTS,EDward Gaming 
41,soulcas,27.0,26.0,MAPS 1-2 Kills,0.037037037037037035,2023-06-18,ESPORTS,Liquid 
118,Kanavi,7.5,7.0,MAPS 1-2 Kills,0.06666666666666667,2023-06-18,ESPORTS,JD Gaming 
116,LP,7.0,6.5,MAPS 1-2 Kills,0.07142857142857142,2023-06-18,ESPORTS, Royal Never Give Up
16,tuyz,27.5,25.5,MAPS 1-2 Kills,0.07272727272727272,2023-06-17,ESPORTS, LOUD
94,Angel,6.5,6.0,MAPS 1-2 Kills,0.07692307692307693,2023-06-18,ESPORTS,Ninjas in Pyjamas 
108,Canyon,6.0,5.5,MAPS 1-2 Kills,0.08333333333333333,2023-06-18,ESPORTS, Dplus Kia 
52,Blake Snell,6.0,5.5,Pitcher Strikeouts,0.08333333333333333,2023-06-17,MLB,SD
91,Cuzz,5.5,5.0,MAPS 1-2 Kills,0.09090909090909091,2023-06-18,ESPORTS, KTR
111,Tian,5.5,5.0,MAPS 1-2 Kills,0.09090909090909091,2023-06-18,ESPORTS,Top Esports 
53,Zach Eflin,5.0,4.5,Pitcher Strikeouts,0.1,2023-06-17,MLB,TB
125,LokeN,10.0,9.0,MAPS 1-2 Kills,0.1,2023-06-18,ESPORTS,Sengoku Gaming 
115,Tangyuan,4.5,4.0,MAPS 1-2 Kills,0.1111111111111111,2023-06-18,ESPORTS, Royal Never Give Up
121,Yagao,4.5,4.0,MAPS 1-2 Kills,0.1111111111111111,2023-06-18,ESPORTS, Bilibili Gaming
123,eguto,4.5,4.0,MAPS 1-2 Kills,0.1111111111111111,2023-06-18,ESPORTS,Sengoku Gaming 
90,Kiin,5.0,4.0,MAPS 1-2 Kills,0.2,2023-06-18,ESPORTS, KTR
103,Honey,5.0,4.0,MAPS 1-2 Kills,0.2,2023-06-18,ESPORTS, Crest
