,Player,Team_pp,Line_pp,Stat,League_pp,Date_pp,Line_dog,League_dog,Team_dog,Date_dog,difference
38,Cesar Araujo,NYCFC,1.5,Tackles,82,2023-05-17,2.0,SOCCER,Cesar Araujo,,-0.3333333333333333
34,Santiago Rodriguez,Orlando,1.5,Shots,82,2023-05-17,2.0,SOCCER,Santiago Rodriguez,,-0.3333333333333333
322,Alex Bregman,CHC,6.5,Hitter Fantasy Score,2,2023-05-17,8.5,MLB,HOU,2023-05-18,-0.3076923076923077
287,Alone,bc (MAPS 1-2 Kills),10.5,MAPS 1-2 Kills,174,2023-05-18,13.0,ESPORTS,Dota: Alone,2023-05-17,-0.23809523809523808
146,Aaron Judge,TOR,8.5,Hitter Fantasy Score,2,2023-05-17,10.5,MLB,NYY,2023-05-17,-0.23529411764705882
254,Marcus Semien,ATL,6.5,Hitter Fantasy Score,2,2023-05-17,8.0,MLB,TEX,2023-05-18,-0.23076923076923078
242,Ulu,AR (MAPS 1-2 Kills),9.0,MAPS 1-2 Kills,174,2023-05-18,11.0,ESPORTS,Dota: Ulu,2023-05-17,-0.2222222222222222
8,Sergio Santos,Montreal,2.5,Shots,82,2023-05-17,3.0,SOCCER,Sergio Santos,,-0.2
17,Karol Swiderski,Chicago,2.5,Shots,82,2023-05-17,3.0,SOCCER,Karol Swiderski,,-0.2
81,Zac MacMath,Portland,2.5,Goalie Saves,82,2023-05-17,3.0,SOCCER,Real Salt Lake,2023-05-18,-0.2
234,dnm,felt (MAPS 1-2 Kills),13.5,MAPS 1-2 Kills,174,2023-05-17,16.0,ESPORTS,Dota: dnm,2023-05-17,-0.18518518518518517
31,Jonathan Klinsmann,Columbus,3.0,Goalie Saves,82,2023-05-17,3.5,SOCCER,LA Galaxy,2023-05-17,-0.16666666666666666
74,Julian Gressel,Dallas,6.0,Crosses,82,2023-05-17,7.0,SOCCER,Vancouver,2023-05-18,-0.16666666666666666
42,Lucas Zelarayan,LA Galaxy,3.0,Shots,82,2023-05-17,3.5,SOCCER,Columbus,2023-05-17,-0.16666666666666666
321,Nengo,Thunder (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-05-18,11.0,ESPORTS,Dota: Nengo,2023-05-17,-0.15789473684210525
148,Bo Bichette,NYY,6.5,Hitter Fantasy Score,2,2023-05-17,7.5,MLB,TOR,2023-05-17,-0.15384615384615385
247,Willy Adames,STL,6.5,Hitter Fantasy Score,2,2023-05-17,7.5,MLB,MIL,2023-05-17,-0.15384615384615385
310,DCMC,Thunder (MAPS 1-2 Kills),10.5,MAPS 1-2 Kills,174,2023-05-18,12.0,ESPORTS,Dota: DCMC,2023-05-17,-0.14285714285714285
182,Wander Franco,NYM,7.5,Hitter Fantasy Score,2,2023-05-17,8.5,MLB,TB,2023-05-17,-0.13333333333333333
143,Mike Trout,BAL,7.5,Hitter Fantasy Score,2,2023-05-17,8.5,MLB,LAA,2023-05-17,-0.13333333333333333
140,Shohei Ohtani,BAL,8.0,Hitter Fantasy Score,2,2023-05-17,9.0,MLB,LAA,2023-05-17,-0.125
255,DaaD-,INF (MAPS 1-2 Kills),12.5,MAPS 1-2 Kills,174,2023-05-18,14.0,ESPORTS,Dota: DaaD-,2023-05-17,-0.12
245,Xwy,AR (MAPS 1-2 Kills),9.5,MAPS 1-2 Kills,174,2023-05-18,10.5,ESPORTS,Dota: Xwy,2023-05-17,-0.10526315789473684
248,v1olent`,UALEIK (MAPS 1-2 Kills),15.0,MAPS 1-2 Kills,174,2023-05-18,16.5,ESPORTS,Dota: v1olent`,2023-05-17,-0.1
235,Kevin Love,BOS,5.0,TRB,7,2023-05-17,5.5,NBA,MIA,2023-05-18,-0.1
147,Gerrit Cole,TOR,6.5,Pitcher Strikeouts,2,2023-05-17,7.0,MLB,NYY,2023-05-17,-0.07692307692307693
120,Nivera,Giants (MAPS 1-2 Kills),28.5,MAPS 1-2 Kills,159,2023-05-18,30.5,ESPORTS,Val: Nivera,2023-05-17,-0.07017543859649122
243,Paul Goldschmidt,MIL,7.5,Hitter Fantasy Score,2,2023-05-17,8.0,MLB,STL,2023-05-17,-0.06666666666666667
253,4dr,MK (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-18,16.5,ESPORTS,Dota: 4dr,2023-05-17,-0.06451612903225806
303,SLATEM$,Balrogs (MAPS 1-2 Kills),15.5,MAPS 1-2 Kills,174,2023-05-18,16.5,ESPORTS,Dota: SLATEM$,2023-05-17,-0.06451612903225806
257,DarkMago,Hokori (MAPS 1-2 Kills),17.5,MAPS 1-2 Kills,174,2023-05-18,18.5,ESPORTS,Dota: DarkMago,2023-05-17,-0.05714285714285714
