,Player,Stat,Line,o_Prob,u_Prob,num_books,means,Team,League,Date
51,Aaron Gordon,TRB,6.0,0.46174854954964323,0.5382514504503567,1.0,5.961976566841381,MIA,7,2023-06-04
11,Luis Ortiz,Pitcher Strikeouts,4.5,0.46751065384170143,0.5324893461582986,4.0,4.4979678040151345,STL,2,2023-06-03
0,Kyle Bradish,Pitcher Strikeouts,5.5,0.4702858972108168,0.5297141027891832,8.0,5.495360292747868,SF,2,2023-06-03
29,Bam Adebayo,PTS+TRB,28.5,0.4703522189921596,0.5296477810078404,3.0,28.271315221945606,DEN,7,2023-06-04
27,Bam Adebayo,TRB,10.0,0.4704463152128751,0.529553684787125,1.0,9.957107953978165,DEN,7,2023-06-04
56,Kentavious Caldwell-Pope,PTS,10.0,0.47139547657727005,0.52860452342273,1.0,9.963733604191743,MIA,7,2023-06-04
3,David Fry,Total Bases,0.5,0.4796261875774692,0.5203738124225308,1.0,0.6532078556266409,MIN,2,2023-06-03
28,Bam Adebayo,PTS,18.5,0.4856377666194971,0.5143622333805029,10.0,18.51281107341881,DEN,7,2023-06-04
45,Aaron Gordon,BLK,0.5,0.48582421791253516,0.5141757820874648,5.0,0.6651900834946958,MIA,7,2023-06-04
23,Jimmy Butler,PTS+TRB,33.5,0.4864992711017818,0.5135007288982182,7.0,33.47140119044391,DEN,7,2023-06-04
42,Nikola Jokic,AST,11.0,0.48800032978066066,0.5119996702193393,1.0,11.07561194506655,MIA,7,2023-06-04
18,Gabe Vincent,PTS+AST,16.5,0.4881730526923377,0.5118269473076623,6.0,16.547298524927594,DEN,7,2023-06-04
53,Kentavious Caldwell-Pope,PTS+TRB,13.5,0.48858993589700095,0.511410064102999,2.0,13.56285020495781,MIA,7,2023-06-04
46,Aaron Gordon,STL,0.5,0.4901888351229641,0.5098111648770359,5.0,0.6737148867757449,MIA,7,2023-06-04
38,Jamal Murray,PTS,26.5,0.4915385780156817,0.5084614219843183,10.0,26.558136589585263,MIA,7,2023-06-04
15,Gabe Vincent,PTS+TRB+AST,18.5,0.4926271110767222,0.5073728889232778,9.0,18.588105153218134,DEN,7,2023-06-04
1,Cristian Javier,Pitcher Strikeouts,6.5,0.4946717594953758,0.5053282405046242,8.0,6.635348184780225,LAA,2,2023-06-03
24,Jimmy Butler,PTS+AST,32.5,0.4947854345305377,0.5052145654694623,7.0,32.59268280377689,DEN,7,2023-06-04
52,Aaron Gordon,PTS,13.5,0.49714598490768236,0.5028540150923176,10.0,13.641737023685327,MIA,7,2023-06-04
39,Nikola Jokic,PTS+TRB,40.5,0.4971770882889004,0.5028229117110996,6.0,40.62207578110669,MIA,7,2023-06-04
55,Kentavious Caldwell-Pope,PTS+TRB+AST,14.5,0.4977683967558897,0.5022316032441103,3.0,14.646643261286592,MIA,7,2023-06-04
54,Kentavious Caldwell-Pope,PTS+AST,11.5,0.5018177724761653,0.4981822275238347,2.0,11.683897259406065,MIA,7,2023-06-04
31,Bam Adebayo,PTS+TRB+AST,32.0,0.5020192731681921,0.49798072683180794,1.0,32.192758875518884,DEN,7,2023-06-04
19,Jimmy Butler,PTS+TRB+AST,39.5,0.5021000768561531,0.4978999231438469,10.0,39.70030549057553,DEN,7,2023-06-04
25,Max Strus,PTS,8.5,0.5026251458622255,0.4973748541377745,9.0,8.68827735627933,DEN,7,2023-06-04
50,Aaron Gordon,3P,0.5,0.504637002428084,0.49536299757191604,6.0,0.7024644567392432,MIA,7,2023-06-04
2,Austin Gomber,Pitcher Strikeouts,3.5,0.5050802494240342,0.4949197505759658,8.0,3.6963288608276694,KC,2,2023-06-03
34,Jamal Murray,PTS+AST,32.5,0.5050998893935612,0.4949001106064388,6.0,32.74033063736686,MIA,7,2023-06-04
22,Jimmy Butler,PTS,25.5,0.5063723679625987,0.4936276320374014,10.0,25.748362526104664,DEN,7,2023-06-04
7,Shea Langeliers,Total Bases,0.5,0.5075233187088765,0.49247668129112354,2.0,0.7083081671231646,MIA,2,2023-06-03
47,Aaron Gordon,PTS+TRB,19.5,0.5078297215511902,0.4921702784488098,5.0,19.754721583205548,MIA,7,2023-06-04
33,Jamal Murray,PTS+TRB,31.5,0.5084966685866205,0.49150333141337954,6.0,31.787197453401145,MIA,7,2023-06-04
16,Gabe Vincent,PTS,12.5,0.5086112325373164,0.49138876746268356,9.0,12.745047372522667,DEN,7,2023-06-04
9,Tyler Nevin,Total Bases,0.5,0.5099080823705124,0.49009191762948756,2.0,0.7131623184707515,CWS,2,2023-06-03
41,Nikola Jokic,PTS+TRB+AST,51.5,0.5106062214905935,0.48939377850940646,6.0,51.85830298319676,MIA,7,2023-06-04
40,Nikola Jokic,PTS+AST,38.5,0.5109083117499829,0.48909168825001714,5.0,38.83735318203919,MIA,7,2023-06-04
21,Jimmy Butler,TRB,7.0,0.5124070635352564,0.48759293646474355,1.0,7.235646994428066,DEN,7,2023-06-04
44,Nikola Jokic,PTS,27.5,0.5125521276687512,0.4874478723312487,6.0,27.8330693578669,MIA,7,2023-06-04
14,Jordan Montgomery,Pitcher Strikeouts,4.5,0.5136629516195759,0.48633704838042413,8.0,4.744882558366443,PIT,2,2023-06-03
43,Nikola Jokic,TRB,12.5,0.5151222059579781,0.4848777940420219,7.0,12.80335794277391,MIA,7,2023-06-04
17,Gabe Vincent,PTS+TRB,15.0,0.515379690433728,0.484620309566272,1.0,15.301301805748627,DEN,7,2023-06-04
26,Max Strus,PTS+TRB,11.5,0.5172576677225454,0.48274233227745456,5.0,11.816445044685894,DEN,7,2023-06-04
35,Jamal Murray,PTS+TRB+AST,37.5,0.5181655423070988,0.48183445769290123,8.0,37.947233208173216,MIA,7,2023-06-04
5,Ryan Noda,Total Bases,0.5,0.5187802433196015,0.4812197566803985,1.0,0.7314312386163734,MIA,2,2023-06-03
36,Jamal Murray,AST,6.0,0.5224342060258056,0.47756579397419446,1.0,6.283035445995703,MIA,7,2023-06-04
8,Gerrit Cole,Pitcher Strikeouts,6.5,0.5231794935220017,0.47682050647799834,8.0,6.820265802075105,LAD,2,2023-06-03
13,Jack Suwinski,Total Bases,0.5,0.5252964128986313,0.47470358710136873,2.0,0.7450646968884926,STL,2,2023-06-03
12,Austin Hedges,Total Bases,0.5,0.5275021400808406,0.4724978599191594,2.0,0.7497220613302176,STL,2,2023-06-03
49,Aaron Gordon,PTS+TRB+AST,21.5,0.5275670168471858,0.47243298315281423,8.0,21.990666738755248,MIA,7,2023-06-04
37,Jamal Murray,TRB,5.0,0.531198768152435,0.46880123184756495,1.0,5.313452374084332,MIA,7,2023-06-04
32,Bam Adebayo,BLK,0.5,0.5314788224271583,0.46852117757284173,5.0,0.7581739753949902,DEN,7,2023-06-04
10,Michael Lorenzen,Pitcher Strikeouts,4.5,0.5331699195355653,0.46683008046443475,8.0,4.852026629286163,CWS,2,2023-06-03
6,Jonah Bride,Total Bases,0.5,0.5337477006263636,0.46625229937363644,2.0,0.7630283764038078,MIA,2,2023-06-03
4,Brandon Belt,Total Bases,0.5,0.533804161473814,0.46619583852618596,2.0,0.7631494787905786,NYM,2,2023-06-03
30,Bam Adebayo,PTS+AST,21.5,0.533958715151238,0.46604128484876195,5.0,22.066199545985608,DEN,7,2023-06-04
48,Aaron Gordon,PTS+AST,15.5,0.5374415482181739,0.4625584517818261,4.0,16.04225102607908,MIA,7,2023-06-04
20,Jimmy Butler,AST,6.0,0.5587799588721851,0.44122004112781493,1.0,6.482145613673819,DEN,7,2023-06-04
