,line,stat,player,league,team,date
0,1.5,passing_tds,Dak Prescott,NFL,DAL,2023-10-16
1,256.5,Pass Yards,Dak Prescott,NFL,DAL,2023-10-16
2,11.5,Rush Yards,Dak Prescott,NFL,DAL,2023-10-16
3,3.0,rushing_att,Dak Prescott,NFL,DAL,2023-10-16
4,33.5,passing_att,Dak Prescott,NFL,DAL,2023-10-16
5,22.5,passing_comps,Dak Prescott,NFL,DAL,2023-10-16
6,67.2,passing_comp_pct,Dak Prescott,NFL,DAL,2023-10-16
7,11.5,passing_first_downs,Dak Prescott,NFL,DAL,2023-10-16
8,2.0,passing_times_sacked,Dak Prescott,NFL,DAL,2023-10-16
9,271.5,passing_and_rushing_yds,Dak Prescott,NFL,DAL,2023-10-16
10,16.45,Hitter Fantasy Score,Dak Prescott,NFL,DAL,2023-10-16
11,0.5,rushing_tds,Tony Pollard,NFL,DAL,2023-10-16
12,68.5,Rush Yards,Tony Pollard,NFL,DAL,2023-10-16
13,16.5,rushing_att,Tony Pollard,NFL,DAL,2023-10-16
14,21.5,Receiving Yards,Tony Pollard,NFL,DAL,2023-10-16
15,93.5,rush_rec_yds,Tony Pollard,NFL,DAL,2023-10-16
16,15.05,Hitter Fantasy Score,Tony Pollard,NFL,DAL,2023-10-16
17,5.5,receiving_rec,CeeDee Lamb,NFL,DAL,2023-10-16
18,71.5,Receiving Yards,CeeDee Lamb,NFL,DAL,2023-10-16
19,75.5,rush_rec_yds,CeeDee Lamb,NFL,DAL,2023-10-16
20,28.0,receiving_yac,CeeDee Lamb,NFL,DAL,2023-10-16
21,3.5,first_downs,CeeDee Lamb,NFL,DAL,2023-10-16
22,8.0,receiving_tgts,CeeDee Lamb,NFL,DAL,2023-10-16
23,13.85,Hitter Fantasy Score,CeeDee Lamb,NFL,DAL,2023-10-16
24,35.5,Receiving Yards,Brandin Cooks,NFL,DAL,2023-10-16
25,37.5,rush_rec_yds,Brandin Cooks,NFL,DAL,2023-10-16
26,5.5,receiving_tgts,Brandin Cooks,NFL,DAL,2023-10-16
27,6.0,receiving_yac,Brandin Cooks,NFL,DAL,2023-10-16
28,3.0,receiving_rec,Michael Gallup,NFL,DAL,2023-10-16
29,36.5,Receiving Yards,Michael Gallup,NFL,DAL,2023-10-16
30,36.5,rush_rec_yds,Michael Gallup,NFL,DAL,2023-10-16
31,5.0,receiving_tgts,Michael Gallup,NFL,DAL,2023-10-16
32,15.5,receiving_yac,Michael Gallup,NFL,DAL,2023-10-16
33,3.5,receiving_rec,Jake Ferguson,NFL,DAL,2023-10-16
34,37.5,Receiving Yards,Jake Ferguson,NFL,DAL,2023-10-16
35,5.5,receiving_tgts,Jake Ferguson,NFL,DAL,2023-10-16
36,23.0,receiving_yac,Jake Ferguson,NFL,DAL,2023-10-16
37,1.5,field_goals_made,Brandon Aubrey,NFL,DAL,2023-10-16
38,2.5,extra_points_made,Brandon Aubrey,NFL,DAL,2023-10-16
39,6.5,kicking_points,Brandon Aubrey,NFL,DAL,2023-10-16
40,2.5,Tackles,Micah Parsons,NFL,DAL,2023-10-16
41,1.5,AST,Micah Parsons,NFL,DAL,2023-10-16
42,4.5,Tackles,Damone Clark,NFL,DAL,2023-10-16
43,3.0,AST,Damone Clark,NFL,DAL,2023-10-16
44,3.5,Tackles,Donovan Wilson,NFL,DAL,2023-10-16
45,2.0,AST,Donovan Wilson,NFL,DAL,2023-10-16
46,5.5,tackles_and_assists,Donovan Wilson,NFL,DAL,2023-10-16
47,4.5,tackles_and_assists,Malik Jefferson,NFL,DAL,2023-10-16
48,3.0,Tackles,Malik Hooker,NFL,DAL,2023-10-16
49,1.5,AST,Malik Hooker,NFL,DAL,2023-10-16
50,4.5,tackles_and_assists,Malik Hooker,NFL,DAL,2023-10-16
51,3.0,Tackles,Jayron Kearse,NFL,DAL,2023-10-16
52,4.5,tackles_and_assists,Jayron Kearse,NFL,DAL,2023-10-16
53,3.5,Tackles,DaRon Bland,NFL,DAL,2023-10-16
54,4.5,tackles_and_assists,DaRon Bland,NFL,DAL,2023-10-16
