,line,stat,player,league,team,date
0,3.0,Pitcher Strikeouts,Bryce Elder,MLB,ATL,2023-10-11
1,11.5,pitch_outs,Bryce Elder,MLB,ATL,2023-10-11
2,2.5,runs_allowed,Bryce Elder,MLB,ATL,2023-10-11
3,4.0,hits_allowed,Bryce Elder,MLB,ATL,2023-10-11
4,10.0,Hitter Fantasy Score,Ronald Acuna,other,Ronald Acuna,
5,1.5,Total Bases,Ronald Acuna,other,Ronald Acuna,
6,7.0,Hitter Fantasy Score,Matt Olson,MLB,ATL,2023-10-11
7,1.5,PTS,Matt Olson,MLB,ATL,2023-10-11
8,0.5,runs,Matt Olson,MLB,ATL,2023-10-11
9,0.5,Walks Allowed,Matt Olson,MLB,ATL,2023-10-11
10,8.0,Hitter Fantasy Score,Austin Riley,MLB,ATL,2023-10-11
11,1.5,PTS,Austin Riley,MLB,ATL,2023-10-11
12,7.0,Hitter Fantasy Score,Ozzie Albies,MLB,ATL,2023-10-11
13,1.5,PTS,Marcell Ozuna,MLB,ATL,2023-10-11
14,27.5,Hitter Fantasy Score,Aaron Nola,MLB,PHI,2023-10-11
15,5.0,Pitcher Strikeouts,Aaron Nola,MLB,PHI,2023-10-11
16,2.5,runs_allowed,Aaron Nola,MLB,PHI,2023-10-11
17,4.5,hits_allowed,Aaron Nola,MLB,PHI,2023-10-11
18,9.0,Hitter Fantasy Score,Bryce Harper,MLB,PHI,2023-10-11
19,0.5,runs,Bryce Harper,MLB,PHI,2023-10-11
20,0.5,Singles,Bryce Harper,MLB,PHI,2023-10-11
21,8.5,Hitter Fantasy Score,Trea Turner,MLB,PHI,2023-10-11
22,1.5,Total Bases,Trea Turner,MLB,PHI,2023-10-11
23,2.0,PTS,Trea Turner,MLB,PHI,2023-10-11
24,1.5,PTS,Kyle Schwarber,MLB,PHI,2023-10-11
25,1.5,PTS,Nick Castellanos,MLB,PHI,2023-10-11
26,7.5,Hitter Fantasy Score,J.T. Realmuto,MLB,PHI,2023-10-11
27,1.5,PTS,J.T. Realmuto,MLB,PHI,2023-10-11
28,1.5,PTS,Bryson Stott,MLB,PHI,2023-10-11
29,0.5,Singles,Bryson Stott,MLB,PHI,2023-10-11
30,0.5,Singles,Johan Rojas,MLB,PHI,2023-10-11
31,17.5,Hitter Fantasy Score,Jose Urquidy,MLB,Jose Urquidy,
32,3.5,Pitcher Strikeouts,Jose Urquidy,MLB,Jose Urquidy,
33,2.0,runs_allowed,Jose Urquidy,MLB,Jose Urquidy,
34,3.5,hits_allowed,Jose Urquidy,MLB,Jose Urquidy,
35,1.5,walks_allowed,Jose Urquidy,MLB,Jose Urquidy,
36,10.5,Hitter Fantasy Score,Yordan Alvarez,MLB,HOU,2023-10-11
37,1.5,Total Bases,Yordan Alvarez,MLB,HOU,2023-10-11
38,2.0,PTS,Yordan Alvarez,MLB,HOU,2023-10-11
39,0.5,runs,Yordan Alvarez,MLB,HOU,2023-10-11
40,0.5,Walks Allowed,Yordan Alvarez,MLB,HOU,2023-10-11
41,7.5,Hitter Fantasy Score,Jose Altuve,MLB,HOU,2023-10-11
42,1.5,PTS,Jose Altuve,MLB,HOU,2023-10-11
43,0.5,Singles,Jose Altuve,MLB,HOU,2023-10-11
44,7.0,Hitter Fantasy Score,Kyle Tucker,MLB,HOU,2023-10-11
45,1.5,PTS,Kyle Tucker,MLB,HOU,2023-10-11
46,8.0,Hitter Fantasy Score,Alex Bregman,MLB,HOU,2023-10-11
47,1.5,PTS,Alex Bregman,MLB,HOU,2023-10-11
48,0.5,Singles,Alex Bregman,MLB,HOU,2023-10-11
49,7.0,Hitter Fantasy Score,Jose Abreu,MLB,Jose Abreu,
50,0.5,Singles,Jose Abreu,MLB,Jose Abreu,
51,0.5,Singles,Jeremy Pena,MLB,Jeremy Pena,
52,0.5,Singles,Yainer Diaz,MLB,HOU,2023-10-11
53,1.5,PTS,Mauricio Dubon,MLB,Mauricio Dubon,
54,0.5,Singles,Mauricio Dubon,MLB,Mauricio Dubon,
55,4.5,Pitcher Strikeouts,Joe Ryan,MLB,MIN,2023-10-11
56,14.0,pitch_outs,Joe Ryan,MLB,MIN,2023-10-11
57,4.5,hits_allowed,Joe Ryan,MLB,MIN,2023-10-11
58,8.0,Hitter Fantasy Score,Carlos Correa,MLB,MIN,2023-10-11
59,1.5,PTS,Carlos Correa,MLB,MIN,2023-10-11
60,0.5,Singles,Carlos Correa,MLB,MIN,2023-10-11
61,1.5,PTS,Max Kepler,MLB,MIN,2023-10-11
62,7.5,Hitter Fantasy Score,Royce Lewis,MLB,MIN,2023-10-11
63,0.5,Total Bases,Edouard Julien,MLB,MIN,2023-10-11
64,1.5,PTS,Royce Lewis,MLB,MIN,2023-10-11
65,0.5,runs,Edouard Julien,MLB,MIN,2023-10-11
66,0.5,runs,Royce Lewis,MLB,MIN,2023-10-11
67,0.5,Singles,Royce Lewis,MLB,MIN,2023-10-11
68,7.0,Hitter Fantasy Score,Jorge Polanco,MLB,MIN,2023-10-11
69,1.5,PTS,Jorge Polanco,MLB,MIN,2023-10-11
70,0.5,runs,Jorge Polanco,MLB,MIN,2023-10-11
71,0.5,Singles,Donovan Solano,MLB,MIN,2023-10-11
72,0.5,Walks Allowed,Jorge Polanco,MLB,MIN,2023-10-11
73,19.5,Hitter Fantasy Score,Lance Lynn,MLB,LAD,2023-10-11
74,4.0,Pitcher Strikeouts,Lance Lynn,MLB,LAD,2023-10-11
75,12.0,pitch_outs,Lance Lynn,MLB,LAD,2023-10-11
76,4.0,hits_allowed,Lance Lynn,MLB,LAD,2023-10-11
77,9.0,Hitter Fantasy Score,Mookie Betts,MLB,LAD,2023-10-11
78,1.5,Total Bases,Mookie Betts,MLB,LAD,2023-10-11
79,2.0,PTS,Mookie Betts,MLB,LAD,2023-10-11
80,0.5,runs,Mookie Betts,MLB,LAD,2023-10-11
81,0.5,Singles,Mookie Betts,MLB,LAD,2023-10-11
82,8.5,Hitter Fantasy Score,Freddie Freeman,MLB,LAD,2023-10-11
83,1.5,Total Bases,Freddie Freeman,MLB,LAD,2023-10-11
84,2.0,PTS,Freddie Freeman,MLB,LAD,2023-10-11
85,0.5,runs,Freddie Freeman,MLB,LAD,2023-10-11
86,7.0,Hitter Fantasy Score,Will Smith,MLB,LAD,2023-10-11
87,1.5,Total Bases,Will Smith,MLB,LAD,2023-10-11
88,0.5,Singles,Will Smith,MLB,LAD,2023-10-11
89,7.0,Hitter Fantasy Score,Max Muncy,MLB,LAD,2023-10-11
90,1.5,PTS,Max Muncy,MLB,LAD,2023-10-11
91,0.5,runs,Max Muncy,MLB,LAD,2023-10-11
92,0.5,Walks Allowed,Max Muncy,MLB,LAD,2023-10-11
93,7.5,Hitter Fantasy Score,J.D. Martinez + M. Muncy,MLB,3566eb7e-69fd-4f9f-a5ea-6f8db014b027,
94,1.5,PTS,J.D. Martinez + M. Muncy,MLB,3566eb7e-69fd-4f9f-a5ea-6f8db014b027,
95,0.5,batter_strikeouts,Jason Heyward,MLB,LAD,2023-10-11
96,0.5,batter_strikeouts,David Peralta,MLB,LAD,2023-10-11
97,0.5,Singles,Miguel Rojas,MLB,LAD,2023-10-11
98,17.5,Hitter Fantasy Score,Brandon Pfaadt,MLB,ARI,2023-10-11
99,3.5,Pitcher Strikeouts,Brandon Pfaadt,MLB,ARI,2023-10-11
100,11.5,pitch_outs,Brandon Pfaadt,MLB,ARI,2023-10-11
101,4.5,hits_allowed,Brandon Pfaadt,MLB,ARI,2023-10-11
102,10.0,Hitter Fantasy Score,Corbin Carroll,MLB,ARI,2023-10-11
103,0.5,runs,Corbin Carroll,MLB,ARI,2023-10-11
104,0.5,Singles,Corbin Carroll,MLB,ARI,2023-10-11
105,8.0,Hitter Fantasy Score,Ketel Marte,MLB,ARI,2023-10-11
106,0.5,runs,Ketel Marte,MLB,ARI,2023-10-11
107,0.5,Singles,Ketel Marte,MLB,ARI,2023-10-11
108,8.0,Hitter Fantasy Score,Christian Walker,MLB,ARI,2023-10-11
109,1.5,PTS,Christian Walker,MLB,ARI,2023-10-11
110,1.5,PTS,Tommy Pham,MLB,ARI,2023-10-11
111,0.5,Singles,Tommy Pham,MLB,ARI,2023-10-11
112,1.5,PTS,Gabriel Moreno,MLB,ARI,2023-10-11
113,0.5,Singles,Gabriel Moreno,MLB,ARI,2023-10-11
114,0.5,Total Bases,Evan Longoria,MLB,ARI,2023-10-11
115,0.5,Total Bases,Geraldo Perdomo,MLB,ARI,2023-10-11
116,1.5,PTS,Lourdes Gurriel Jr.,other,ARI,2023-10-11
117,0.5,Singles,Alek Thomas,MLB,ARI,2023-10-11
118,31.5,Goalie Saves,Joonas Korpisalo,NHL,OTT,2023-10-11
119,11.55,Hitter Fantasy Score,Joonas Korpisalo,NHL,OTT,2023-10-11
120,3.5,Shots,Brady Tkachuk,NHL,OTT,2023-10-11
121,7.55,Hitter Fantasy Score,Brady Tkachuk,NHL,OTT,2023-10-11
122,7.55,Hitter Fantasy Score,Tim Stutzle,NHL,OTT,2023-10-11
123,2.5,Shots,Drake Batherson,NHL,OTT,2023-10-11
124,2.0,Shots,Vladimir Tarasenko,NHL,OTT,2023-10-11
125,5.05,Hitter Fantasy Score,Vladimir Tarasenko,NHL,OTT,2023-10-11
126,2.5,Shots,Claude Giroux,NHL,OTT,2023-10-11
127,6.55,Hitter Fantasy Score,Claude Giroux,NHL,OTT,2023-10-11
128,2.0,blocked_shots,Travis Hamonic,NHL,OTT,2023-10-11
129,26.5,Goalie Saves,Frederik Andersen,NHL,CAR,2023-10-11
130,12.55,Hitter Fantasy Score,Frederik Andersen,NHL,CAR,2023-10-11
131,7.55,Hitter Fantasy Score,Sebastian Aho,NHL,CAR,2023-10-11
132,0.5,AST,Brent Burns,NHL,CAR,2023-10-11
133,3.5,Shots,Brent Burns,NHL,CAR,2023-10-11
134,8.55,Hitter Fantasy Score,Brent Burns,NHL,CAR,2023-10-11
135,3.0,Shots,Martin Necas,NHL,CAR,2023-10-11
136,7.55,Hitter Fantasy Score,Martin Necas,NHL,CAR,2023-10-11
137,2.5,Shots,Seth Jarvis,NHL,CAR,2023-10-11
138,0.5,PTS,Teuvo Teravainen,NHL,CAR,2023-10-11
139,2.0,Shots,Teuvo Teravainen,NHL,CAR,2023-10-11
140,2.5,Shots,Brady Skjei,NHL,CAR,2023-10-11
141,0.5,PTS,Michael Bunting,NHL,CAR,2023-10-11
142,3.5,Goal Against,Jake Allen,NHL,MTL,2023-10-11
143,30.5,Goalie Saves,Jake Allen,NHL,MTL,2023-10-11
144,10.05,Hitter Fantasy Score,Jake Allen,NHL,MTL,2023-10-11
145,0.5,PTS,Cole Caufield,NHL,MTL,2023-10-11
146,3.0,Shots,Cole Caufield,NHL,MTL,2023-10-11
147,7.05,Hitter Fantasy Score,Cole Caufield,NHL,MTL,2023-10-11
