,line,stat,player,league,team,date
0,251.5,Pass Yards,Jimmy Garoppolo,NFL,LV,2023-10-30
1,4.5,Rush Yards,Jimmy Garoppolo,NFL,LV,2023-10-30
2,34.5,passing_att,Jimmy Garoppolo,NFL,LV,2023-10-30
3,22.5,passing_comps,Jimmy Garoppolo,NFL,LV,2023-10-30
4,257.5,passing_and_rushing_yds,Jimmy Garoppolo,NFL,LV,2023-10-30
5,14.95,Hitter Fantasy Score,Jimmy Garoppolo,NFL,LV,2023-10-30
6,63.5,Rush Yards,Josh Jacobs,NFL,LV,2023-10-30
7,16.5,rushing_att,Josh Jacobs,NFL,LV,2023-10-30
8,3.5,receiving_rec,Josh Jacobs,NFL,LV,2023-10-30
9,19.5,Receiving Yards,Josh Jacobs,NFL,LV,2023-10-30
10,86.5,rush_rec_yds,Josh Jacobs,NFL,LV,2023-10-30
11,13.55,Hitter Fantasy Score,Josh Jacobs,NFL,LV,2023-10-30
12,6.0,receiving_rec,Davante Adams,NFL,LV,2023-10-30
13,75.5,Receiving Yards,Davante Adams,NFL,LV,2023-10-30
14,12.65,Hitter Fantasy Score,Davante Adams,NFL,LV,2023-10-30
15,5.0,receiving_rec,Jakobi Meyers,NFL,LV,2023-10-30
16,61.5,Receiving Yards,Jakobi Meyers,NFL,LV,2023-10-30
17,8.5,Receiving Yards,Hunter Renfrow,NFL,LV,2023-10-30
18,3.0,first_downs,Jakobi Meyers,NFL,LV,2023-10-30
19,10.55,Hitter Fantasy Score,Jakobi Meyers,NFL,LV,2023-10-30
20,11.5,Receiving Yards,Austin Hooper,NFL,LV,2023-10-30
21,5.5,kicking_points,Daniel Carlson,NFL,LV,2023-10-30
22,21.5,Receiving Yards,Michael Mayer,NFL,LV,2023-10-30
23,4.0,tackles_and_assists,Marcus Peters,NFL,LV,2023-10-30
24,4.5,Tackles,Robert Spillane,NFL,LV,2023-10-30
25,3.0,AST,Robert Spillane,NFL,LV,2023-10-30
26,7.5,tackles_and_assists,Robert Spillane,NFL,LV,2023-10-30
27,3.0,Tackles,Marcus Epps,NFL,LV,2023-10-30
28,1.5,AST,Marcus Epps,NFL,LV,2023-10-30
29,4.5,tackles_and_assists,Marcus Epps,NFL,LV,2023-10-30
30,3.0,Tackles,Tre'von Moehrig,NFL,LV,2023-10-30
31,4.5,tackles_and_assists,Tre'von Moehrig,NFL,LV,2023-10-30
32,264.5,Pass Yards,Jared Goff,NFL,DET,2023-10-30
33,1.5,Rush Yards,Jared Goff,NFL,DET,2023-10-30
34,32.5,passing_att,Jared Goff,NFL,DET,2023-10-30
35,23.0,passing_comps,Jared Goff,NFL,DET,2023-10-30
36,2.0,passing_times_sacked,Jared Goff,NFL,DET,2023-10-30
37,70.1,passing_comp_pct,Jared Goff,NFL,DET,2023-10-30
38,12.0,passing_first_downs,Jared Goff,NFL,DET,2023-10-30
39,269.5,passing_and_rushing_yds,Jared Goff,NFL,DET,2023-10-30
40,20.25,Hitter Fantasy Score,Jared Goff,NFL,DET,2023-10-30
41,70.5,Rush Yards,Jahmyr Gibbs,NFL,DET,2023-10-30
42,15.5,rushing_att,Jahmyr Gibbs,NFL,DET,2023-10-30
43,26.5,Receiving Yards,Jahmyr Gibbs,NFL,DET,2023-10-30
44,102.5,rush_rec_yds,Jahmyr Gibbs,NFL,DET,2023-10-30
45,15.75,Hitter Fantasy Score,Jahmyr Gibbs,NFL,DET,2023-10-30
46,15.85,Hitter Fantasy Score,Amon-Ra St. Brown,other,DET,2023-10-30
47,26.5,Receiving Yards,Jameson Williams,NFL,DET,2023-10-30
48,27.5,rush_rec_yds,Jameson Williams,NFL,DET,2023-10-30
49,4.0,receiving_rec,Sam LaPorta,NFL,DET,2023-10-30
50,44.5,Receiving Yards,Sam LaPorta,NFL,DET,2023-10-30
51,6.0,receiving_tgts,Sam LaPorta,NFL,DET,2023-10-30
52,8.75,Hitter Fantasy Score,Sam LaPorta,NFL,DET,2023-10-30
53,2.5,receiving_rec,Josh Reynolds,NFL,DET,2023-10-30
54,35.5,Receiving Yards,Josh Reynolds,NFL,DET,2023-10-30
55,6.05,Hitter Fantasy Score,Josh Reynolds,NFL,DET,2023-10-30
56,1.5,field_goals_made,Riley Patterson,NFL,DET,2023-10-30
