,line,stat,player,league,team,date
0,22.5,PTS,Jalen Brunson,NBA,NYK,2023-10-31
1,30.5,PTS+TRB+AST,Jalen Brunson,NBA,NYK,2023-10-31
2,5.0,AST,Jalen Brunson,NBA,NYK,2023-10-31
3,8.5,TRB+AST,Jalen Brunson,NBA,NYK,2023-10-31
4,25.5,PTS+TRB,Jalen Brunson,NBA,NYK,2023-10-31
5,27.5,PTS+AST,Jalen Brunson,NBA,NYK,2023-10-31
6,0.5,STL,Jalen Brunson,NBA,NYK,2023-10-31
7,16.5,field_goals_att,Jalen Brunson,NBA,NYK,2023-10-31
8,6.0,three_points_att,Jalen Brunson,NBA,NYK,2023-10-31
9,19.5,PTS,Julius Randle,NBA,NYK,2023-10-31
10,33.5,PTS+TRB+AST,Julius Randle,NBA,NYK,2023-10-31
11,4.0,AST,Julius Randle,NBA,NYK,2023-10-31
12,9.0,TRB,Julius Randle,NBA,NYK,2023-10-31
13,12.5,TRB+AST,Julius Randle,NBA,NYK,2023-10-31
14,24.5,PTS+AST,Julius Randle,NBA,NYK,2023-10-31
15,29.5,PTS+TRB,Julius Randle,NBA,NYK,2023-10-31
16,16.5,field_goals_att,Julius Randle,NBA,NYK,2023-10-31
17,2.5,personal_fouls,Julius Randle,NBA,NYK,2023-10-31
18,6.5,three_points_att,Julius Randle,NBA,NYK,2023-10-31
19,18.5,PTS,RJ Barrett,NBA,NYK,2023-10-31
20,25.5,PTS+TRB+AST,RJ Barrett,NBA,NYK,2023-10-31
21,4.0,TRB,RJ Barrett,NBA,NYK,2023-10-31
22,6.5,TRB+AST,RJ Barrett,NBA,NYK,2023-10-31
23,1.5,3PM,RJ Barrett,NBA,NYK,2023-10-31
24,22.5,PTS+TRB,RJ Barrett,NBA,NYK,2023-10-31
25,21.5,PTS+AST,RJ Barrett,NBA,NYK,2023-10-31
26,0.5,STL,RJ Barrett,NBA,NYK,2023-10-31
27,5.0,three_points_att,RJ Barrett,NBA,NYK,2023-10-31
28,15.0,field_goals_att,RJ Barrett,NBA,NYK,2023-10-31
29,6.5,PTS,Mitchell Robinson,NBA,NYK,2023-10-31
30,16.5,PTS+TRB+AST,Mitchell Robinson,NBA,NYK,2023-10-31
31,9.5,TRB,Mitchell Robinson,NBA,NYK,2023-10-31
32,7.5,PTS+AST,Mitchell Robinson,NBA,NYK,2023-10-31
33,15.5,PTS+TRB,Mitchell Robinson,NBA,NYK,2023-10-31
34,4.5,field_goals_att,Mitchell Robinson,NBA,NYK,2023-10-31
35,2.5,personal_fouls,Mitchell Robinson,NBA,NYK,2023-10-31
36,1.5,BLK,Mitchell Robinson,NBA,NYK,2023-10-31
37,7.5,PTS,Quentin Grimes,NBA,NYK,2023-10-31
