,player,team,line,stat,league,date,time
0,Adin Hill,SEA,26.5,Goalie Saves,8,2023-10-10,2023-10-10 15:57:00
1,Davi Bittencourt (DWCS),Lucas Rocha,11.5,Fight Time (Mins),12,2023-10-10,2023-10-10 15:57:00
2,Lebron James,2023-2024 Season,4.5,Triple-Doubles,173,2023-10-24,2023-10-10 15:57:00
3,Breanna Stewart,LVA,9.0,TRB,3,2023-10-11,2023-10-10 15:57:00
4,Breanna Stewart,LVA,21.0,PTS,3,2023-10-11,2023-10-10 15:57:00
5,Lebron James,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
6,Nikita Kucherov,2023-2024 Season,34.5,Goals,236,2023-10-10,2023-10-10 15:57:00
7,Nicolas Jarry,D. Schwartzman (Shanghai),8.5,Aces,5,2023-10-11,2023-10-10 15:57:00
8,Breanna Stewart,LVA 1st Half,10.5,PTS,193,2023-10-11,2023-10-10 15:57:00
9,Nicolas Jarry,D. Schwartzman (Shanghai),22.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
10,Nicholas Vattiato,LT,1.5,Pass TDs,15,2023-10-10,2023-10-10 15:57:00
11,Nicholas Vattiato,LT,270.5,Pass Yards,15,2023-10-10,2023-10-10 15:57:00
12,Lebron James,2023-2024 Season,6.8,Assists Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
13,Lebron James,2023-2024 Season,1.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
14,Lebron James,2023-2024 Season,7.9,Rebounds Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
15,Juuse Saros,2023-2024 Season,28.5,Goalie Wins,236,2023-10-10,2023-10-10 15:57:00
16,Cristian Javier,MIN 4th Inning,16.5,Pitches Thrown,231,2023-10-10,2023-10-10 15:57:00
17,Lebron James,2023-2024 Season,2.3,3PT Made Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
18,Connor Bedard + Corey Seager,PIT/BAL (GM 3),5.0,Shots On Goal + Total Bases,266,2023-10-10,2023-10-10 15:57:00
19,Jamal Murray	,2023-2024 Season,4.5,Double-Doubles,173,2023-10-24,2023-10-10 15:57:00
20,Lebron James,2023-2024 Season,27.1,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
21,Nicolas Jarry,D. Schwartzman (Shanghai),3.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
22,Davi Bittencourt (DWCS),Lucas Rocha,2.0,Takedowns,12,2023-10-10,2023-10-10 15:57:00
23,Davi Bittencourt (DWCS),Lucas Rocha,35.5,Significant Strikes,12,2023-10-10,2023-10-10 15:57:00
24,Austin Reaves ,2023-2024 Season,1.5,Double-Doubles,173,2023-10-24,2023-10-10 15:57:00
25,Brayden Point,2023-2024 Season,38.5,Goals,236,2023-10-10,2023-10-10 15:57:00
26,Nikola Jokic,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
27,Dean Kremer + Jonathan Marchessault,TEX (GM 3)/SEA,6.5,Strikeouts + Shots On Goal,266,2023-10-10,2023-10-10 15:57:00
28,A'ja Wilson,NYL,22.0,PTS,3,2023-10-11,2023-10-10 15:57:00
29,Issa Isakov (DWCS),Marquel Mederos,10.0,Fight Time (Mins),12,2023-10-10,2023-10-10 15:57:00
30,A'ja Wilson,NYL,9.0,TRB,3,2023-10-11,2023-10-10 15:57:00
31,A'ja Wilson,NYL 1st Half,11.0,PTS,193,2023-10-11,2023-10-10 15:57:00
32,Issa Isakov (DWCS),Marquel Mederos,32.5,Significant Strikes,12,2023-10-10,2023-10-10 15:57:00
33,Ugo Humbert,J. Wolf (Shanghai),7.5,Aces,5,2023-10-11,2023-10-10 15:57:00
34,Nikola Jokic,2023-2024 Season,25.6,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
35,Ugo Humbert,J. Wolf (Shanghai),22.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
36,Nikola Jokic,2023-2024 Season,11.9,Rebounds Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
37,Nikola Jokic,2023-2024 Season,9.4,Assists Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
38,Jack Turner,MTS,231.5,Pass Yards,15,2023-10-10,2023-10-10 15:57:00
39,Ugo Humbert,J. Wolf (Shanghai),2.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
40,Corey Seager + Adolis Garcia + Adley Rutschman,BAL/BAL/TEX,0.5,Home Runs (Combo),2,2023-10-10,2023-10-10 15:57:00
41,Nikola Jokic,2023-2024 Season,5.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
42,Nikola Jokic,2023-2024 Season,16.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
43,Sonny Gray,HOU 4th Inning,15.5,Pitches Thrown,231,2023-10-10,2023-10-10 15:57:00
44,Nikola Jokic,2023-2024 Season,24.5,Triple-Doubles,173,2023-10-24,2023-10-10 15:57:00
45,Sabrina Ionescu,LVA,4.5,AST,3,2023-10-11,2023-10-10 15:57:00
46,Aaron Gordon ,2023-2024 Season,6.5,Technical Fouls,173,2023-10-24,2023-10-10 15:57:00
47,Tyre Shelton,MTS,85.5,Rush Yards,15,2023-10-10,2023-10-10 15:57:00
48,Carlos Alcaraz,G. Dimitrov (Shanghai),3.0,Aces,5,2023-10-11,2023-10-10 15:57:00
49,Anthony Davis,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
50,Torrez Finney (DWCS),Yuri Panferov,24.5,Significant Strikes,12,2023-10-10,2023-10-10 15:57:00
51,Sabrina Ionescu,LVA,16.0,PTS,3,2023-10-11,2023-10-10 15:57:00
52,Sabrina Ionescu,LVA,4.5,TRB,3,2023-10-11,2023-10-10 15:57:00
53,Dean Kremer,TEX,3.5,Pitcher Strikeouts,2,2023-10-10,2023-10-10 15:57:00
54,Torrez Finney (DWCS),Yuri Panferov,6.5,Fight Time (Mins),12,2023-10-10,2023-10-10 15:57:00
55,Dean Kremer,TEX,11.5,Pitching Outs,2,2023-10-10,2023-10-10 15:57:00
56,Anthony Davis,2023-2024 Season,25.5,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
57,Steven Stamkos,2023-2024 Season,33.5,Goals,236,2023-10-10,2023-10-10 15:57:00
58,Dean Kremer,TEX,3.5,Hits Allowed,2,2023-10-10,2023-10-10 15:57:00
59,Carlos Alcaraz,G. Dimitrov (Shanghai),21.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
60,Carlos Alcaraz,G. Dimitrov (Shanghai),3.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
61,Sabrina Ionescu,LVA 1st Half,8.0,PTS,193,2023-10-11,2023-10-10 15:57:00
62,Anthony Davis,2023-2024 Season,17.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
63,Aaron Gordon ,2023-2024 Season,1.5,30+ Point Games,173,2023-10-24,2023-10-10 15:57:00
64,Anthony Davis,2023-2024 Season,11.7,Rebounds Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
65,Nathan Eovaldi,BAL,4.5,Hits Allowed,2,2023-10-10,2023-10-10 15:57:00
66,Nathan Eovaldi,BAL,24.5,Pitcher Fantasy Score,2,2023-10-10,2023-10-10 15:57:00
67,Andrey Rublev,T. Paul (Shanghai),6.0,Aces,5,2023-10-11,2023-10-10 15:57:00
68,Kelsey Plum,NYL 1st Half,9.5,PTS,193,2023-10-11,2023-10-10 15:57:00
69,Jair Farias	 (DWCS),Connor Matthews,35.5,Significant Strikes,12,2023-10-10,2023-10-10 15:57:00
70,Jair Farias	 (DWCS),Connor Matthews,7.5,Fight Time (Mins),12,2023-10-10,2023-10-10 15:57:00
71,Marcelo Weigandt,Belgrano,1.5,Tackles,82,2023-10-10,2023-10-10 15:57:00
72,Ulises Sanchez,Boca Juniors,1.5,Shots Assisted,82,2023-10-10,2023-10-10 15:57:00
73,Santiago Longo,Boca Juniors,3.0,Tackles,82,2023-10-10,2023-10-10 15:57:00
74,Ulises Sanchez,Boca Juniors,1.5,Shots,82,2023-10-10,2023-10-10 15:57:00
75,Matias Marin,Boca Juniors,1.5,Shots,82,2023-10-10,2023-10-10 15:57:00
76,Lucas Passerini,Boca Juniors,2.0,Shots,82,2023-10-10,2023-10-10 15:57:00
77,Juan Ramirez,Belgrano,0.5,Shots Assisted,82,2023-10-10,2023-10-10 15:57:00
78,Dario Benedetto,Belgrano,1.5,Shots,82,2023-10-10,2023-10-10 15:57:00
79,Lucas Janson,Belgrano,1.5,Shots,82,2023-10-10,2023-10-10 15:57:00
80,Sergio Romero,Belgrano,3.0,Goalie Saves,82,2023-10-10,2023-10-10 15:57:00
81,Nathan Eovaldi,BAL,4.5,Pitcher Strikeouts,2,2023-10-10,2023-10-10 15:57:00
82,Andrey Rublev,T. Paul (Shanghai),3.0,Break Points Won,5,2023-10-11,2023-10-10 15:57:00
83,Nicolas Valentini,Belgrano,3.5,Clearances,82,2023-10-10,2023-10-10 15:57:00
84,Bruno Valdez,Belgrano,59.5,Passes Attempted,82,2023-10-10,2023-10-10 15:57:00
85,Nahuel Losada,Boca Juniors,2.5,Goalie Saves,82,2023-10-10,2023-10-10 15:57:00
86,Santiago Longo,Boca Juniors,40.5,Passes Attempted,82,2023-10-10,2023-10-10 15:57:00
87,Alejandro Rebola,Boca Juniors,4.0,Clearances,82,2023-10-10,2023-10-10 15:57:00
88,Sidney Crosby,2023-2024 Season,31.5,Goals,236,2023-10-10,2023-10-10 15:57:00
89,Kelsey Plum,NYL,4.0,AST,3,2023-10-11,2023-10-10 15:57:00
90,Juan Barinaga,Boca Juniors,2.5,Tackles,82,2023-10-10,2023-10-10 15:57:00
91,Jorman Campuzano,Belgrano,2.0,Tackles,82,2023-10-10,2023-10-10 15:57:00
92,Kelsey Plum,NYL,19.0,PTS,3,2023-10-11,2023-10-10 15:57:00
93,Andrey Rublev,T. Paul (Shanghai),22.5,Total Games,5,2023-10-11,2023-10-10 15:57:00
94,Nathan Eovaldi,BAL,1.5,Walks Allowed,2,2023-10-10,2023-10-10 15:57:00
95,Courtney Vandersloot,LVA 1st Half,4.5,PTS,193,2023-10-11,2023-10-10 15:57:00
96,Stephen Curry,2023-2024 Season,6.0,Assists Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
97,Andre Lima (DWCS),Rickson Thai Zenidim,10.0,Fight Time (Mins),12,2023-10-10,2023-10-10 15:57:00
98,Stephen Curry,2023-2024 Season,1.5,50+ Point Games,173,2023-10-24,2023-10-10 15:57:00
99,Connor Bedard,2023-2024 Season,30.5,Goals,236,2023-10-10,2023-10-10 15:57:00
100,Stephen Curry,2023-2024 Season,28.9,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
101,Courtney Vandersloot,LVA,6.5,AST,3,2023-10-11,2023-10-10 15:57:00
102,Holden Willis,LT,60.5,Receiving Yards,15,2023-10-10,2023-10-10 15:57:00
103,Travis Kelce,DEN,0.5,Pass+Rush+Rec TDs,9,2023-10-12,2023-10-10 15:57:00
104,Stephen Curry,2023-2024 Season,4.8,3PT Made Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
105,Damian Lillard,2023-2024 Season,27.2,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
106,Andre Lima (DWCS),Rickson Thai Zenidim,45.5,Significant Strikes,12,2023-10-10,2023-10-10 15:57:00
107,Claire Liu,A. Rus (Seoul),2.5,Aces,5,2023-10-10,2023-10-10 15:57:00
108,Claire Liu,A. Rus (Seoul),21.5,Total Games,5,2023-10-10,2023-10-10 15:57:00
109,Stephen Curry,2023-2024 Season,0.5,Triple-Doubles,173,2023-10-24,2023-10-10 15:57:00
110,Courtney Vandersloot,LVA,9.5,PTS,3,2023-10-11,2023-10-10 15:57:00
111,Claire Liu,A. Rus (Seoul),4.0,Break Points Won,5,2023-10-10,2023-10-10 15:57:00
112,Stephen Curry,2023-2024 Season,9.5,Double-Doubles,173,2023-10-24,2023-10-10 15:57:00
113,Kevin Durant,2023-2024 Season,26.7,Points Per Game AVG,173,2023-10-24,2023-10-10 15:57:00
114,Chelsea Gray,NYL,7.5,AST,3,2023-10-11,2023-10-10 15:57:00
