,game_id,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_id,player1_name,player1_team_abbreviation,player2_id,player2_name,player2_team_abbreviation,player3_id,player3_name,player3_team_abbreviation,timeinseconds,play_elapsed_time,total_elapsed_time,max_time,time_remaining,h_lineup,a_lineup
0,0022200916,2,12,0,1,12:00,,Start of 1st Period (7:46 PM EST),,,0,0,,,0,,,0,,,720,0.0,0.0,2880.0,2880.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
1,0022200916,4,10,0,1,12:00,Jump Ball Looney vs. Reid: Tip to Thompson,,,,0,1626172,Kevon Looney,GSW,1629675,Naz Reid,MIN,202691,Klay Thompson,GSW,720,0.0,0.0,2880.0,2880.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
2,0022200916,7,5,1,1,11:38,Kuminga Bad Pass Turnover (P1.T1),,McDaniels STEAL (1 STL),,0,1630228,Jonathan Kuminga,GSW,1630183,Jaden McDaniels,MIN,0,,,698,22.0,22.0,2880.0,2858.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
3,0022200916,9,1,50,1,11:35,,,McDaniels 3' Running Dunk (2 PTS),2 - 0,-2,1630183,Jaden McDaniels,MIN,0,,,0,,,695,3.0,25.0,2880.0,2855.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
4,0022200916,10,2,78,1,11:14,MISS Thompson 9' Floating Jump Shot,,,,0,202691,Klay Thompson,GSW,0,,,0,,,674,21.0,46.0,2880.0,2834.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
5,0022200916,11,4,0,1,11:12,,,Reid REBOUND (Off:0 Def:1),,0,1629675,Naz Reid,MIN,0,,,0,,,672,2.0,48.0,2880.0,2832.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
6,0022200916,12,6,1,1,11:12,Thompson P.FOUL (P1.T1) (T.Brothers),,,,0,202691,Klay Thompson,GSW,1629675,Naz Reid,MIN,0,,,672,0.0,48.0,2880.0,2832.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
7,0022200916,14,2,1,1,10:53,,,MISS Anderson 27' 3PT Jump Shot,,0,203937,Kyle Anderson,MIN,0,,,0,,,653,19.0,67.0,2880.0,2813.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
8,0022200916,15,4,0,1,10:50,Kuminga REBOUND (Off:0 Def:1),,,,0,1630228,Jonathan Kuminga,GSW,0,,,0,,,650,3.0,70.0,2880.0,2810.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
9,0022200916,16,2,6,1,10:43,MISS Kuminga 4' Driving Layup,,,,0,1630228,Jonathan Kuminga,GSW,0,,,0,,,643,7.0,77.0,2880.0,2803.0,"(202691, 1626172, 1628978, 1629673, 1630228)","(201144, 203937, 1629675, 1630162, 1630183)"
