,game_id,eventnum,eventmsgtype,eventmsgactiontype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_id,player1_name,player1_team_abbreviation,player2_id,player2_name,player2_team_abbreviation,player3_id,player3_name,player3_team_abbreviation,timeinseconds,play_elapsed_time,total_elapsed_time,max_time,time_remaining,h_lineup,a_lineup
0,0022201135,2,12,0,1,12:00,,Start of 1st Period (10:03 PM EST),,,0,0,,,0,,,0,,,720,0.0,0.0,2880.0,2880.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
1,0022201135,4,10,0,1,12:00,Jump Ball Kuminga vs. Valanciunas: Tip to Ingram,,,,0,1630228,Jonathan Kuminga,GSW,202685,Jonas Valanciunas,NOP,1627742,Brandon Ingram,NOP,720,0.0,0.0,2880.0,2880.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
2,0022201135,7,5,1,1,11:44,DiVincenzo STEAL (1 STL),,Valanciunas Bad Pass Turnover (P1.T1),,0,202685,Jonas Valanciunas,NOP,1628978,Donte DiVincenzo,GSW,0,,,704,16.0,16.0,2880.0,2864.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
3,0022201135,9,1,41,1,11:42,DiVincenzo 4' Running Layup (2 PTS),,,0 - 2,2,1628978,Donte DiVincenzo,GSW,0,,,0,,,702,2.0,18.0,2880.0,2862.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
4,0022201135,10,2,6,1,11:23,Kuminga BLOCK (1 BLK),,MISS McCollum 6' Driving Layup,,0,203468,CJ McCollum,NOP,0,,,1630228,Jonathan Kuminga,GSW,683,19.0,37.0,2880.0,2843.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
5,0022201135,11,4,0,1,11:20,Kuminga REBOUND (Off:0 Def:1),,,,0,1630228,Jonathan Kuminga,GSW,0,,,0,,,680,3.0,40.0,2880.0,2840.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
6,0022201135,12,1,1,1,11:05,Curry 27' 3PT Jump Shot (3 PTS) (D. Green 1 AST),,,0 - 5,5,201939,Stephen Curry,GSW,203110,Draymond Green,GSW,0,,,665,15.0,55.0,2880.0,2825.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
7,0022201135,16,1,79,1,10:48,,,Ingram 9' Pullup Jump Shot (2 PTS) (Jones 1 AST),2 - 5,3,1627742,Brandon Ingram,NOP,1630529,Herbert Jones,NOP,0,,,648,17.0,72.0,2880.0,2808.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
8,0022201135,18,2,1,1,10:37,MISS DiVincenzo 25' 3PT Jump Shot,,,,0,1628978,Donte DiVincenzo,GSW,0,,,0,,,637,11.0,83.0,2880.0,2797.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
9,0022201135,19,4,0,1,10:34,,,Murphy III REBOUND (Off:0 Def:1),,0,1630530,Trey Murphy III,NOP,0,,,0,,,634,3.0,86.0,2880.0,2794.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
10,0022201135,20,1,78,1,10:26,,,Valanciunas 7' Floating Jump Shot (2 PTS) (Murphy III 1 AST),4 - 5,1,202685,Jonas Valanciunas,NOP,1630530,Trey Murphy III,NOP,0,,,626,8.0,94.0,2880.0,2786.0,"(201939, 202691, 203110, 1628978, 1630228)","(202685, 203468, 1627742, 1630529, 1630530)"
