,player,team,line,stat,league,date,event_time,time,prop_id
0,Nicolo Cambiaghi,Atalanta,1.5,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,e943bc50-3
1,Aleksey Miranchuk,Empoli,1.5,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,f5493391-6
2,Adolis Garcia,ARI,7.5,Hitter Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,31fc29b1-6
3,Ademola Lookman,Empoli,2.0,Shots,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,3b010320-1
4,Corey Seager + Jared Goff,ARI/LV,3.5,Total Bases + Pass TDs,266,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,8b6bbb98-d
5,Shai Gilgeous-Alexander + Jahmyr Gibbs,DET/LV,9.5,Assists + Receptions,266,2023-10-30 19:00:00-05:00,2023-10-30 19:00:00-05:00,2023-10-30 09:39:00,ae8911fd-6
6,Teun Koopmeiners,Empoli,50.5,Passes Attempted,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,73d61496-7
7,Brandon Pfaadt,TEX,4.5,Pitcher Strikeouts,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,779f84f3-5
8,Luka Doncic + Adolis Garcia,MEM/ARI,5.0,3-PT Made + Total Bases,266,2023-10-30 19:00:00-05:00,2023-10-30 19:00:00-05:00,2023-10-30 09:39:00,9a95e1f1-6
9,Brandon Pfaadt + Jakobi Meyers,TEX/DET,9.5,Strikeouts + Receptions,266,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,f3d7dbdc-3
10,Anthony Edwards + Sam LaPorta,ATL/LV,7.5,3-PT Made + Receptions,266,2023-10-30 18:30:00-05:00,2023-10-30 18:30:00-05:00,2023-10-30 09:39:00,bc59b8db-1
11,Brandon Pfaadt,TEX,4.0,Hits Allowed,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,9c506f0e-5
12,Corey Seager,ARI,1.5,Total Bases,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,6c792b18-c
13,Corbin Carroll,TEX,1.5,Hits+Runs+RBIS,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,0c3244b6-7
14,Brandon Pfaadt,TEX,22.5,Pitcher Fantasy Score,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,3f3337c2-6
15,Brandon Pfaadt,TEX,13.5,Pitching Outs,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,9fb984f1-3
16,Marc Diakiese,Kaue Fernandes,45.5,Significant Strikes,12,2023-11-04 17:10:00-05:00,2023-11-04 17:10:00-05:00,2023-10-30 09:39:00,94ae847c-e
17,Adolis Garcia,ARI,0.5,Runs,2,2023-10-30 19:03:00-05:00,2023-10-30 19:03:00-05:00,2023-10-30 09:39:00,8effffa4-b
18,Marc Diakiese,Kaue Fernandes,2.0,Takedowns,12,2023-11-04 17:10:00-05:00,2023-11-04 17:10:00-05:00,2023-10-30 09:39:00,4a69b423-8
19,Sebastiano Luperto,Atalanta,43.5,Passes Attempted,82,2023-10-30 12:30:00-05:00,2023-10-30 12:30:00-05:00,2023-10-30 09:39:00,fd5f36c4-b
