,player,opp,line,stat,league,date,scrape_time
0,Stephen Curry,PHX,28.5,PTS,7,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
1,Lebron James,2023-2024 Season,0.5,50+ Point Games,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
2,Lebron James,2023-2024 Season,7.9,Rebounds Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
3,Yatoro,VP (MAPS 1-2 Kills),19.5,MAPS 1-2 Kills,174,2023-10-20 00:00:00-05:00,2023-10-16 16:55:00-05:00
4,Connor Bedard + Zac Gallen,TOR/PHI,9.5,Shots On Goal + Strikeouts,266,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
5,Tyrese Haliburton,ATL,12.5,PTS,237,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
6,Jamal Murray	,2023-2024 Season,4.5,Double-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
7,Sharabutdin Magomedov	,Bruno Silva,40.5,Significant Strikes,12,2023-10-21 00:00:00-05:00,2023-10-16 16:55:00-05:00
8,Lebron James,2023-2024 Season,2.3,3PT Made Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
9,Lebron James,2023-2024 Season,1.5,Technical Fouls,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
10,EliGE + INS,Grayhound/Complexity,60.5,MAPS 1-2 Kills (Combo),265,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
11,Jack Draper,A. De Minaur (Tokyo),22.5,Total Games,5,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
12,Sharabutdin Magomedov	,Bruno Silva,6.5,Fight Time (Mins),12,2023-10-21 00:00:00-05:00,2023-10-16 16:55:00-05:00
13,Lebron James,2023-2024 Season,6.8,Assists Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
14,Jack Draper,A. De Minaur (Tokyo),6.5,Aces,5,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
15,Lebron James,2023-2024 Season,4.5,Triple-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
16,Lebron James,2023-2024 Season,27.1,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
17,Trea Turner + Dak Prescott,ARI/LAC,3.5,Total Bases + Passing TDs,266,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
18,Jack Draper,A. De Minaur (Tokyo),2.5,Break Points Won,5,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
19,m0NESY + sh1ro,Cloud9/G2,69.5,MAPS 1-2 Kills (Combo),265,2023-10-16 00:00:00-05:00,2023-10-16 16:55:00-05:00
20,Nikola Jokic,2023-2024 Season,25.6,Points Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
21,Nikola Jokic,2023-2024 Season,11.9,Rebounds Per Game AVG,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
22,Nikola Jokic,2023-2024 Season,24.5,Triple-Doubles,173,2023-10-24 00:00:00-05:00,2023-10-16 16:55:00-05:00
23,Victoria Dudakova	,Jinh Yu Frey,33.5,Significant Strikes,12,2023-10-21 00:00:00-05:00,2023-10-16 16:55:00-05:00
